initializer,status,train_scenario_count,validation_scenario_count,expected_cost,avg_latency,p95_latency,p99_latency,violation_rate,cvar_value,solver_runtime_sec,num_iterations,active_scenario_count,selection_feasible,selection_rank,error,workflow,quality_level
qbr,INFEASIBLE_REUSED_LAST_FEASIBLE,40000,10000,20.28754961834186,14771.792902961919,39341.17520522814,65443.56160427725,0.0412,7842.866756552215,34.93507549999049,2.0,10000.0,True,"[0.0, 20.28754961834186, 0.0412]",,workflow1,Q3
qbw,ERROR,40000,10000,,,,,,,,,,,,RuntimeError: Decomposition infeasible at iteration 1 (status=INFEASIBLE),workflow1,Q3
qbb,INFEASIBLE_REUSED_LAST_FEASIBLE,40000,10000,20.287402225752523,15642.5529617321,42009.203484717196,69920.0378580482,0.0611,10664.54088622227,29.799224248999963,2.0,10000.0,False,"[1.0, 0.0611, 20.287402225752523]",,workflow1,Q3
qbq,INFEASIBLE_REUSED_LAST_FEASIBLE,40000,10000,20.287402225752523,15642.5529617321,42009.203484717196,69920.0378580482,0.0611,10664.54088622227,29.847824999000295,2.0,10000.0,False,"[1.0, 0.0611, 20.287402225752523]",,workflow1,Q3
