initializer,status,train_scenario_count,validation_scenario_count,expected_cost,avg_latency,p95_latency,p99_latency,violation_rate,cvar_value,solver_runtime_sec,num_iterations,active_scenario_count,selection_feasible,selection_rank,error,workflow,quality_level
qbr,INFEASIBLE_REUSED_LAST_FEASIBLE,40000,10000,20.8902843076996,14887.35168395566,39011.68646962442,65278.84218907486,0.0395,8402.705800831862,374.25688449999143,2.0,10000.0,True,"[0.0, 20.8902843076996, 0.0395]",,workflow2,Q3
qbu,ERROR,40000,10000,,,,,,,,,,,,RuntimeError: Decomposition infeasible at iteration 1 (status=INFEASIBLE),workflow2,Q3
qbm,INFEASIBLE_REUSED_LAST_FEASIBLE,40000,10000,20.890284292287017,14887.477625183887,39011.81614631102,65278.961449632574,0.0395,8402.80514364458,355.36871299998893,2.0,10000.0,True,"[0.0, 20.890284292287017, 0.0395]",,workflow2,Q3
