run_id,node_id,provider,region,video_id,filename,object_key,input_uri,size_bytes,duration_sec,submit_start_ts,submit_end_ts,complete_ts,submit_wall_ms,job_elapsed_ms,client_wall_ms,poll_interval_sec,poll_count,job_id,status,shot_count,result_bytes,error_type,error_message
20260623_132955,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:29:55.921+00:00,,2026-06-23T05:29:55.921+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133006,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:30:06.049+00:00,,2026-06-23T05:30:06.049+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133016,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:30:16.181+00:00,,2026-06-23T05:30:16.181+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133026,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:30:26.309+00:00,,2026-06-23T05:30:26.309+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133036,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:30:36.431+00:00,,2026-06-23T05:30:36.431+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133046,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:30:46.562+00:00,,2026-06-23T05:30:46.562+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133056,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:30:56.685+00:00,,2026-06-23T05:30:56.685+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133106,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:31:06.798+00:00,,2026-06-23T05:31:06.798+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133116,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:31:16.922+00:00,,2026-06-23T05:31:16.922+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133126,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:31:26.965+00:00,,2026-06-23T05:31:26.965+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133137,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:31:37.087+00:00,,2026-06-23T05:31:37.087+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133147,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:31:47.203+00:00,,2026-06-23T05:31:47.203+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133157,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:31:57.319+00:00,,2026-06-23T05:31:57.319+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133207,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:32:07.439+00:00,,2026-06-23T05:32:07.439+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133217,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:32:17.564+00:00,,2026-06-23T05:32:17.564+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133227,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:32:27.692+00:00,,2026-06-23T05:32:27.692+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133237,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:32:37.836+00:00,,2026-06-23T05:32:37.836+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133247,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:32:47.959+00:00,,2026-06-23T05:32:47.959+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133258,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:32:58.081+00:00,,2026-06-23T05:32:58.081+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133308,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:33:08.200+00:00,,2026-06-23T05:33:08.200+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133318,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:33:18.313+00:00,,2026-06-23T05:33:18.313+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133328,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:33:28.432+00:00,,2026-06-23T05:33:28.432+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133338,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:33:38.555+00:00,,2026-06-23T05:33:38.555+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133348,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:33:48.669+00:00,,2026-06-23T05:33:48.669+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133358,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:33:58.785+00:00,,2026-06-23T05:33:58.785+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133408,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:34:08.900+00:00,,2026-06-23T05:34:08.900+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133419,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:34:19.013+00:00,,2026-06-23T05:34:19.013+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133429,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:34:29.140+00:00,,2026-06-23T05:34:29.140+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133439,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:34:39.341+00:00,,2026-06-23T05:34:39.341+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133449,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:34:49.476+00:00,,2026-06-23T05:34:49.476+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133459,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:34:59.605+00:00,,2026-06-23T05:34:59.605+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133509,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:35:09.731+00:00,,2026-06-23T05:35:09.731+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133519,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:35:19.829+00:00,,2026-06-23T05:35:19.829+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133529,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:35:29.951+00:00,,2026-06-23T05:35:29.951+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133540,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:35:40.064+00:00,,2026-06-23T05:35:40.064+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
20260623_133550,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,,12812931,49.272744,2026-06-23T05:35:50.184+00:00,,2026-06-23T05:35:50.184+00:00,,,,10,,,error,,,FileNotFoundError,[Errno 2] No such file or directory: 'gcloud'
