workflow,quality_level,iteration,active_scenario_count,objective_value,max_violation,num_violated_scenarios,runtime_sec
workflow1,Q1,1,1000,1.690610562284316,0.0,0,0.0
workflow1,Q1,2,1000,1.690610562284316,0.0,0,0.0
workflow1,Q1,3,1000,1.690602530235547,0.0,0,0.0
workflow1,Q1,4,1000,1.690602530235547,0.0,0,0.0
workflow1,Q1,5,1000,1.690602530235547,0.0,0,0.0
workflow1,Q1,6,1000,1.690602530235547,0.0,0,0.0
workflow1,Q1,7,1000,1.690602530235547,0.0,0,0.0
workflow1,Q1,8,1000,1.690602530235547,0.0,0,0.0
workflow1,Q1,9,1000,1.690602530235547,0.0,0,0.0
workflow1,Q1,10,1000,1.690602530235547,0.0,0,0.0
workflow1,Q1,11,1000,1.690602530235547,0.0,0,0.0
workflow1,Q1,12,1000,1.690602530235547,0.0,0,0.0
workflow1,Q1,13,1000,1.690602530235547,0.0,0,0.0
workflow1,Q1,14,1000,1.690602530235547,0.0,0,0.0
workflow1,Q1,15,1000,1.690602530235547,0.0,0,0.0
workflow1,Q1,16,1000,1.690602530235547,0.0,0,0.0
