workflow,quality_level,logical_node,endpoint_id,provider,region,model_name
workflow1,Q2,Shot Detection,shot_detection_aliyun_cn-shanghai_q2,Aliyun,cn-shanghai,
workflow1,Q2,Video Split & Sample,video_split_and_sample_aws_ap-southeast-1_q2,AWS,ap-southeast-1,
workflow1,Q2,Video Caption,video_caption_anthropic_global_q2,Anthropic,global,Claude Sonnet 4.5
workflow1,Q2,Q/A,q_a_aws_ap-southeast-1_q2,AWS,ap-southeast-1,Claude Sonnet 4.5
