workflow,quality_level,iteration,active_scenario_count,objective_value,max_violation,num_violated_scenarios,runtime_sec
workflow1,Q1,1,350,1.8874971268907383,0.0,0,0.0
workflow1,Q1,2,350,1.8874971268907383,0.0,0,0.0
workflow1,Q1,3,350,1.8874971268907383,0.0,0,0.0
workflow1,Q1,4,350,1.8874971268907383,0.0,0,0.0
workflow1,Q1,5,350,1.8874971268907383,0.0,0,0.0
workflow1,Q1,6,350,1.8874971268907383,0.0,0,0.0
workflow1,Q1,7,350,1.8874971268907383,0.0,0,0.0
workflow1,Q1,8,350,1.8874971268907383,0.0,0,0.0
workflow1,Q1,9,350,1.8874971268907383,0.0,0,0.0
workflow1,Q1,10,350,1.8874971268907383,0.0,0,0.0
workflow1,Q1,11,350,1.887323662125309,0.0,0,0.0
workflow1,Q1,12,350,1.887323662125309,0.0,0,0.0
workflow1,Q1,13,350,1.887323662125309,0.0,0,0.0
workflow1,Q1,14,350,1.887323662125309,0.0,0,0.0
workflow1,Q1,15,350,1.887323662125309,0.0,0,0.0
workflow1,Q1,16,350,1.887323662125309,0.0,0,0.0
