initializer,status,train_scenario_count,validation_scenario_count,expected_cost,avg_latency,p95_latency,p99_latency,violation_rate,cvar_value,solver_runtime_sec,num_iterations,active_scenario_count,selection_feasible,selection_rank,error,workflow,quality_level
qbr,INFEASIBLE_REUSED_LAST_FEASIBLE,40000,10000,7.016957842741327,10644.641660904,27281.13554563085,42574.03482357563,0.0608,6908.1911861533135,55.346380583010614,2.0,10000.0,False,"[1.0, 0.0608, 7.016957842741327]",,workflow1,Q2
qbw,ERROR,40000,10000,,,,,,,,,,,,RuntimeError: Decomposition infeasible at iteration 1 (status=INFEASIBLE),workflow1,Q2
qbb,INFEASIBLE_REUSED_LAST_FEASIBLE,40000,10000,7.016957842741327,10644.641660904,27281.13554563085,42574.03482357563,0.0608,6908.1911861533135,54.57606191698869,2.0,10000.0,False,"[1.0, 0.0608, 7.016957842741327]",,workflow1,Q2
qbq,INFEASIBLE_REUSED_LAST_FEASIBLE,40000,10000,7.016957842741327,10644.641660904,27281.13554563085,42574.03482357563,0.0608,6908.1911861533135,55.90244341699872,2.0,10000.0,False,"[1.0, 0.0608, 7.016957842741327]",,workflow1,Q2
