workflow,quality_level,logical_node,endpoint_id,provider,region,model_name
workflow2,Q2,Speech Transcription,speech_transcription_aws_us-west-2_q2,AWS,us-west-2,
workflow2,Q2,Shot Detection,shot_detection_aws_us-west-2_q2,AWS,us-west-2,
workflow2,Q2,Video Split & Sample,video_split_and_sample_aws_us-west-2_q2,AWS,us-west-2,
workflow2,Q2,Video Caption,video_caption_aws_us-west-2_q2,AWS,us-west-2,Claude Sonnet 4.5
workflow2,Q2,OCR,ocr_aws_us-west-2_q2,AWS,us-west-2,
workflow2,Q2,Label Detection,label_detection_aws_us-west-2_q2,AWS,us-west-2,
workflow2,Q2,Database,database_aws_us-west-2_q2,AWS,us-west-2,
workflow2,Q2,Q/A,q_a_aws_us-west-2_q2,AWS,us-west-2,Claude Sonnet 4.5
