run_id,node_id,provider,region,video_id,filename,object_key,input_uri,size_bytes,duration_sec,submit_start_ts,submit_end_ts,complete_ts,submit_wall_ms,job_elapsed_ms,client_wall_ms,poll_interval_sec,poll_count,job_id,status,shot_count,result_bytes,error_type,error_message
20260623_131723,aliyun_cn_shanghai,aliyun,cn-shanghai,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,oss://skyflow-prototype-aliyun-cn-shanghai/profile/videos/-ZBsdK10Trs.mp4,12812931,49.272744,2026-06-23T05:17:23.597+00:00,2026-06-23T05:17:23.967+00:00,2026-06-23T05:17:34.203+00:00,370,10235,10606,10,1,4973104B-DBC5-5A24-8E0D-9D4EFDB302B8,success,,285,,
20260623_131723,aws_ap_southeast_1,aws,ap-southeast-1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,s3://skyflow-prototype-aws-ap-southeast-1/profile/videos/-ZBsdK10Trs.mp4,12812931,49.272744,2026-06-23T05:17:23.758+00:00,2026-06-23T05:17:25.878+00:00,2026-06-23T05:17:57.808+00:00,2120,31929,34050,10,3,0fa4fc17b018fa3892b927ce1efda2a07e5bc25d3b6c192ae853b434884d827d,success,66,272,,
20260623_131723,gcp_asia_east1,gcp,asia-east1,-ZBsdK10Trs,-ZBsdK10Trs.mp4,profile/videos/-ZBsdK10Trs.mp4,gs://skyflow-prototype-gcp-asia-east1/profile/videos/-ZBsdK10Trs.mp4,12812931,49.272744,2026-06-23T05:17:24.548+00:00,2026-06-23T05:17:32.311+00:00,2026-06-23T05:18:05.670+00:00,7762,33358,41121,10,2,projects/360779988854/locations/asia-east1/operations/17414089003520540068,success,36,3088,,
