batch_id,duration_minutes,duration_sec,trial_index,run_id,utc_iso,success,error_message,node_truncate_sec,node_upload_sec,node_segment_execute_sec,node_split_execute_http_observed_sec,segment_shot_count,split_segments_used_count,split_output_count,segment_pid,split_pid,bucket,gcs_uri,segment_result_location,detail_json_path
20260607_094403_3cfb480d,2.0,120.0,2,20260607_094403_3cfb480d,2026-06-07T09:51:35.850479+00:00,True,,,0,,79.750764,,24,60,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_2min.mkv,,sample_fps=0.5
20260607_094403_3cfb480d,2.0,120.0,3,20260607_094403_3cfb480d,2026-06-07T09:53:08.306137+00:00,True,,,0,,85.995974,,24,60,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_2min.mkv,,sample_fps=0.5
20260607_094403_3cfb480d,2.0,120.0,1,20260607_094403_3cfb480d,2026-06-07T09:54:37.729334+00:00,True,,,0,,83.22939,,24,120,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_2min.mkv,,sample_fps=1.0
20260607_094403_3cfb480d,2.0,120.0,2,20260607_094403_3cfb480d,2026-06-07T09:56:04.655428+00:00,True,,,0,,80.382839,,24,120,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_2min.mkv,,sample_fps=1.0
20260607_094403_3cfb480d,2.0,120.0,3,20260607_094403_3cfb480d,2026-06-07T09:57:30.878324+00:00,True,,,0,,79.80371,,24,120,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_2min.mkv,,sample_fps=1.0
20260607_094403_3cfb480d,4.0,240.0,1,20260607_094403_3cfb480d,2026-06-07T10:00:06.937495+00:00,True,,,0,,149.833245,,46,48,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_4min.mkv,,sample_fps=0.2
20260607_094403_3cfb480d,4.0,240.0,2,20260607_094403_3cfb480d,2026-06-07T10:02:43.836785+00:00,True,,,0,,150.365222,,46,48,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_4min.mkv,,sample_fps=0.2
20260607_094403_3cfb480d,4.0,240.0,3,20260607_094403_3cfb480d,2026-06-07T10:05:34.622995+00:00,True,,,0,,164.429434,,46,48,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_4min.mkv,,sample_fps=0.2
20260607_094403_3cfb480d,4.0,240.0,1,20260607_094403_3cfb480d,2026-06-07T10:08:15.085048+00:00,True,,,0,,153.832551,,46,120,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_4min.mkv,,sample_fps=0.5
20260607_094403_3cfb480d,4.0,240.0,2,20260607_094403_3cfb480d,2026-06-07T10:10:54.119516+00:00,True,,,0,,152.83839,,46,120,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_4min.mkv,,sample_fps=0.5
20260607_094403_3cfb480d,4.0,240.0,3,20260607_094403_3cfb480d,2026-06-07T10:13:40.844306+00:00,True,,,0,,160.491013,,46,120,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_4min.mkv,,sample_fps=0.5
20260607_114842_8b6e6044,4.0,240.0,1,20260607_114842_8b6e6044,2026-06-07T11:51:18.411523+00:00,True,,,0,,151.039148,,46,240,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_4min.mkv,,sample_fps=1.0
20260607_114842_8b6e6044,4.0,240.0,2,20260607_114842_8b6e6044,2026-06-07T11:54:05.750124+00:00,True,,,0,,161.140211,,46,240,,gcp_cloud_run_single_pass_fps,skyflow-ae,gs://skyflow-ae/gvi_shot_measure/perfect_planet_4min.mkv,,sample_fps=1.0
