trial_id,round,order_in_round,timestamp_start_utc,timestamp_end_utc,node_id,provider,region,bucket,direction,size_mib,size_bytes,elapsed_sec,throughput_mib_per_sec,throughput_mbps,status,verified_size_bytes,object_uri,error_type,error_message,cleanup_error
r003-aliyun_cn_beijing-download-001mib,3,27,2026-06-24T14:16:23.268+00:00,2026-06-24T14:16:23.830+00:00,aliyun_cn_beijing,aliyun,cn-beijing,skyflow-prototype-aliyun-cn-beijing,download,1,1048576,0.5194529999862425,1.9251019823284967,16.148925889776685,success,1048576,oss://skyflow-prototype-aliyun-cn-beijing/network_measurement/reference/payload_001mib.bin,,,
r003-aws_eu_central_1-download-001mib,3,28,2026-06-24T14:16:24.342+00:00,2026-06-24T14:16:40.469+00:00,aws_eu_central_1,aws,eu-central-1,skyflow-prototype-aws-eu-central-1,download,1,1048576,16.097066899994388,0.06212311883976506,0.5211264916842039,success,1048576,s3://skyflow-prototype-aws-eu-central-1/network_measurement/reference/payload_001mib.bin,,,
r003-aws_us_west_2-upload-005mib,3,29,2026-06-24T14:16:40.978+00:00,2026-06-24T14:17:05.270+00:00,aws_us_west_2,aws,us-west-2,skyflow-prototype-aws-us-west-2,upload,5,5242880,9.440942000015639,0.5296081683365619,4.44267531777343,success,5242880,s3://skyflow-prototype-aws-us-west-2/network_measurement/runs/20260624_211539/r003-aws_us_west_2-upload-005mib.bin,,,
r003-aws_ap_southeast_1-download-010mib,3,30,2026-06-24T14:17:05.779+00:00,2026-06-24T14:17:22.806+00:00,aws_ap_southeast_1,aws,ap-southeast-1,skyflow-prototype-aws-ap-southeast-1,download,10,10485760,16.994634600006975,0.5884210067097233,4.936033164253239,success,10485760,s3://skyflow-prototype-aws-ap-southeast-1/network_measurement/reference/payload_010mib.bin,,,
r003-aliyun_cn_shanghai-upload-001mib,3,31,2026-06-24T14:17:23.309+00:00,2026-06-24T14:17:24.065+00:00,aliyun_cn_shanghai,aliyun,cn-shanghai,skyflow-prototype-aliyun-cn-shanghai,upload,1,1048576,0.27749529998982325,3.6036646387764897,30.229730018157568,success,1048576,oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/runs/20260624_211539/r003-aliyun_cn_shanghai-upload-001mib.bin,,,
r003-aliyun_us_east_1-download-001mib,3,32,2026-06-24T14:17:24.566+00:00,2026-06-24T14:17:27.413+00:00,aliyun_us_east_1,aliyun,us-east-1,skyflow-prototype-aliyun-us-east-1,download,1,1048576,2.8100291999871843,0.3558681881329065,2.9852387299172043,success,1048576,oss://skyflow-prototype-aliyun-us-east-1/network_measurement/reference/payload_001mib.bin,,,
r003-gcp_asia_east1-upload-005mib,3,33,2026-06-24T14:17:27.915+00:00,2026-06-24T14:17:52.753+00:00,gcp_asia_east1,gcp,asia-east1,skyflow-prototype-gcp-asia-east1,upload,5,5242880,11.662821100035217,0.428712740863778,3.596303127711815,success,5242880,gs://skyflow-prototype-gcp-asia-east1/network_measurement/runs/20260624_211539/r003-gcp_asia_east1-upload-005mib.bin,,,
r003-aliyun_cn_beijing-download-005mib,3,34,2026-06-24T14:17:53.267+00:00,2026-06-24T14:17:53.954+00:00,aliyun_cn_beijing,aliyun,cn-beijing,skyflow-prototype-aliyun-cn-beijing,download,5,5242880,0.6407756999833509,7.803042468885623,65.4566644788337,success,5242880,oss://skyflow-prototype-aliyun-cn-beijing/network_measurement/reference/payload_005mib.bin,,,
r003-gcp_europe_west1-download-010mib,3,35,2026-06-24T14:17:54.467+00:00,2026-06-24T14:18:05.538+00:00,gcp_europe_west1,gcp,europe-west1,skyflow-prototype-gcp-europe-west1,download,10,10485760,11.045424700016156,0.9053522405512731,7.594645047906335,success,10485760,gs://skyflow-prototype-gcp-europe-west1/network_measurement/reference/payload_010mib.bin,,,
r003-gcp_us_east1-download-001mib,3,36,2026-06-24T14:18:06.043+00:00,2026-06-24T14:18:15.082+00:00,gcp_us_east1,gcp,us-east1,skyflow-prototype-gcp-us-east1,download,1,1048576,9.005504100001417,0.11104320079092991,0.931497882500401,success,1048576,gs://skyflow-prototype-gcp-us-east1/network_measurement/reference/payload_001mib.bin,,,
r003-aws_us_west_2-download-010mib,3,37,2026-06-24T14:18:15.593+00:00,2026-06-24T14:18:31.479+00:00,aws_us_west_2,aws,us-west-2,skyflow-prototype-aws-us-west-2,download,10,10485760,15.853175500000361,0.6307884499228418,5.2914370373303505,success,10485760,s3://skyflow-prototype-aws-us-west-2/network_measurement/reference/payload_010mib.bin,,,
r003-aliyun_us_east_1-upload-005mib,3,38,2026-06-24T14:18:31.986+00:00,2026-06-24T14:18:37.904+00:00,aliyun_us_east_1,aliyun,us-east-1,skyflow-prototype-aliyun-us-east-1,upload,5,5242880,3.1496922000078484,1.5874567044956143,13.316552010985546,success,5242880,oss://skyflow-prototype-aliyun-us-east-1/network_measurement/runs/20260624_211539/r003-aliyun_us_east_1-upload-005mib.bin,,,
r003-gcp_us_west1-upload-001mib,3,39,2026-06-24T14:18:38.412+00:00,2026-06-24T14:19:16.551+00:00,gcp_us_west1,gcp,us-west1,skyflow-prototype-gcp-us-west1,upload,1,1048576,20.094332700013183,0.04976527536041762,0.41746138701060204,success,1048576,gs://skyflow-prototype-gcp-us-west1/network_measurement/runs/20260624_211539/r003-gcp_us_west1-upload-001mib.bin,,,
r003-aliyun_cn_shanghai-download-001mib,3,40,2026-06-24T14:19:17.055+00:00,2026-06-24T14:19:17.379+00:00,aliyun_cn_shanghai,aliyun,cn-shanghai,skyflow-prototype-aliyun-cn-shanghai,download,1,1048576,0.27471570001216605,3.6401268655403167,30.535597345286426,success,1048576,oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/reference/payload_001mib.bin,,,
r003-aliyun_us_east_1-upload-010mib,3,41,2026-06-24T14:19:17.895+00:00,2026-06-24T14:19:24.100+00:00,aliyun_us_east_1,aliyun,us-east-1,skyflow-prototype-aliyun-us-east-1,upload,10,10485760,3.4103295999811962,2.932267895764426,24.597645928552634,success,10485760,oss://skyflow-prototype-aliyun-us-east-1/network_measurement/runs/20260624_211539/r003-aliyun_us_east_1-upload-010mib.bin,,,
r003-aws_us_west_2-upload-001mib,3,42,2026-06-24T14:19:24.607+00:00,2026-06-24T14:19:46.284+00:00,aws_us_west_2,aws,us-west-2,skyflow-prototype-aws-us-west-2,upload,1,1048576,7.87732769997092,0.1269466039864879,1.0649052977738844,success,1048576,s3://skyflow-prototype-aws-us-west-2/network_measurement/runs/20260624_211539/r003-aws_us_west_2-upload-001mib.bin,,,
r003-gcp_asia_east1-download-005mib,3,43,2026-06-24T14:19:46.787+00:00,2026-06-24T14:20:06.738+00:00,gcp_asia_east1,gcp,asia-east1,skyflow-prototype-gcp-asia-east1,download,5,5242880,19.92562509997515,0.25093315642108693,2.104979883419181,success,5242880,gs://skyflow-prototype-gcp-asia-east1/network_measurement/reference/payload_005mib.bin,,,
r003-aws_eu_central_1-upload-005mib,3,44,2026-06-24T14:20:07.240+00:00,2026-06-24T14:20:33.190+00:00,aws_eu_central_1,aws,eu-central-1,skyflow-prototype-aws-eu-central-1,upload,5,5242880,10.600329499982763,0.4716834509727391,3.9567675702975276,success,5242880,s3://skyflow-prototype-aws-eu-central-1/network_measurement/runs/20260624_211539/r003-aws_eu_central_1-upload-005mib.bin,,,
r003-aliyun_us_east_1-download-005mib,3,45,2026-06-24T14:20:33.701+00:00,2026-06-24T14:20:36.713+00:00,aliyun_us_east_1,aliyun,us-east-1,skyflow-prototype-aliyun-us-east-1,download,5,5242880,2.9688297000247985,1.6841653126678957,14.127802615168413,success,5242880,oss://skyflow-prototype-aliyun-us-east-1/network_measurement/reference/payload_005mib.bin,,,
r003-aliyun_cn_shanghai-upload-005mib,3,46,2026-06-24T14:20:37.218+00:00,2026-06-24T14:20:38.179+00:00,aliyun_cn_shanghai,aliyun,cn-shanghai,skyflow-prototype-aliyun-cn-shanghai,upload,5,5242880,0.4296149000292644,11.638330047815872,97.62938854574863,success,5242880,oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/runs/20260624_211539/r003-aliyun_cn_shanghai-upload-005mib.bin,,,
r003-aws_us_west_2-download-005mib,3,47,2026-06-24T14:20:38.689+00:00,2026-06-24T14:20:54.065+00:00,aws_us_west_2,aws,us-west-2,skyflow-prototype-aws-us-west-2,download,5,5242880,15.355067900032736,0.32562539173072236,2.731543766075472,success,5242880,s3://skyflow-prototype-aws-us-west-2/network_measurement/reference/payload_005mib.bin,,,
r003-aliyun_ap_southeast_1-download-001mib,3,48,2026-06-24T14:20:54.567+00:00,2026-06-24T14:20:56.891+00:00,aliyun_ap_southeast_1,aliyun,ap-southeast-1,skyflow-prototype-aliyun-ap-southeast-1,download,1,1048576,2.257728099997621,0.442923131443974,3.7155085238159717,success,1048576,oss://skyflow-prototype-aliyun-ap-southeast-1/network_measurement/reference/payload_001mib.bin,,,
r003-gcp_us_east1-download-010mib,3,49,2026-06-24T14:20:57.406+00:00,2026-06-24T14:21:07.796+00:00,gcp_us_east1,gcp,us-east1,skyflow-prototype-gcp-us-east1,download,10,10485760,10.35012859996641,0.966171570083917,8.104834562178507,success,10485760,gs://skyflow-prototype-gcp-us-east1/network_measurement/reference/payload_010mib.bin,,,
r003-aliyun_cn_shanghai-download-010mib,3,50,2026-06-24T14:21:08.301+00:00,2026-06-24T14:21:08.728+00:00,aliyun_cn_shanghai,aliyun,cn-shanghai,skyflow-prototype-aliyun-cn-shanghai,download,10,10485760,0.385485399980098,25.941319698531473,217.6115619536587,success,10485760,oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/reference/payload_010mib.bin,,,
r003-gcp_us_east1-upload-001mib,3,51,2026-06-24T14:21:09.234+00:00,2026-06-24T14:21:30.948+00:00,gcp_us_east1,gcp,us-east1,skyflow-prototype-gcp-us-east1,upload,1,1048576,10.211994299956132,0.09792406562587837,0.8214466003017682,success,1048576,gs://skyflow-prototype-gcp-us-east1/network_measurement/runs/20260624_211539/r003-gcp_us_east1-upload-001mib.bin,,,
r003-gcp_us_east1-upload-010mib,3,52,2026-06-24T14:21:31.457+00:00,2026-06-24T14:21:55.810+00:00,gcp_us_east1,gcp,us-east1,skyflow-prototype-gcp-us-east1,upload,10,10485760,12.977535700018052,0.7705623186986178,6.463945231133775,success,10485760,gs://skyflow-prototype-gcp-us-east1/network_measurement/runs/20260624_211539/r003-gcp_us_east1-upload-010mib.bin,,,
r003-gcp_asia_east1-upload-001mib,3,53,2026-06-24T14:21:56.317+00:00,2026-06-24T14:22:26.896+00:00,gcp_asia_east1,gcp,asia-east1,skyflow-prototype-gcp-asia-east1,upload,1,1048576,11.59591100004036,0.08623729519798139,0.7234108643961482,success,1048576,gs://skyflow-prototype-gcp-asia-east1/network_measurement/runs/20260624_211539/r003-gcp_asia_east1-upload-001mib.bin,,,
r003-aws_us_east_2-upload-010mib,3,54,2026-06-24T14:22:27.405+00:00,2026-06-24T14:22:38.625+00:00,aws_us_east_2,aws,us-east-2,skyflow-prototype-aws-us-east-2,upload,10,10485760,6.143294900015462,1.6277909758124798,13.654900402028376,success,10485760,s3://skyflow-prototype-aws-us-east-2/network_measurement/runs/20260624_211539/r003-aws_us_east_2-upload-010mib.bin,,,
r003-aliyun_cn_shanghai-upload-010mib,3,55,2026-06-24T14:22:39.138+00:00,2026-06-24T14:22:40.193+00:00,aliyun_cn_shanghai,aliyun,cn-shanghai,skyflow-prototype-aliyun-cn-shanghai,upload,10,10485760,0.5106689999811351,19.58215595692986,164.2670301175495,success,10485760,oss://skyflow-prototype-aliyun-cn-shanghai/network_measurement/runs/20260624_211539/r003-aliyun_cn_shanghai-upload-010mib.bin,,,
r003-gcp_asia_east1-download-010mib,3,56,2026-06-24T14:22:40.705+00:00,2026-06-24T14:22:56.960+00:00,gcp_asia_east1,gcp,asia-east1,skyflow-prototype-gcp-asia-east1,download,10,10485760,16.22114830004284,0.6164791675058904,5.171402076373252,success,10485760,gs://skyflow-prototype-gcp-asia-east1/network_measurement/reference/payload_010mib.bin,,,
r003-gcp_us_east1-upload-005mib,3,57,2026-06-24T14:22:57.471+00:00,2026-06-24T14:23:29.110+00:00,gcp_us_east1,gcp,us-east1,skyflow-prototype-gcp-us-east1,upload,5,5242880,13.87761170003796,0.36029254226693225,3.0223529024007263,success,5242880,gs://skyflow-prototype-gcp-us-east1/network_measurement/runs/20260624_211539/r003-gcp_us_east1-upload-005mib.bin,,,
r003-aliyun_ap_southeast_1-upload-010mib,3,58,2026-06-24T14:23:29.614+00:00,2026-06-24T14:23:35.862+00:00,aliyun_ap_southeast_1,aliyun,ap-southeast-1,skyflow-prototype-aliyun-ap-southeast-1,upload,10,10485760,3.6085280000115745,2.7712130818904344,23.24662022845075,success,10485760,oss://skyflow-prototype-aliyun-ap-southeast-1/network_measurement/runs/20260624_211539/r003-aliyun_ap_southeast_1-upload-010mib.bin,,,
r003-aws_eu_central_1-download-010mib,3,59,2026-06-24T14:23:36.365+00:00,2026-06-24T14:23:52.741+00:00,aws_eu_central_1,aws,eu-central-1,skyflow-prototype-aws-eu-central-1,download,10,10485760,16.33464289997937,0.6121958135988775,5.135470699522053,success,10485760,s3://skyflow-prototype-aws-eu-central-1/network_measurement/reference/payload_010mib.bin,,,
r003-gcp_us_west1-download-005mib,3,60,2026-06-24T14:23:53.253+00:00,2026-06-24T14:24:12.234+00:00,gcp_us_west1,gcp,us-west1,skyflow-prototype-gcp-us-west1,download,5,5242880,18.924339900026098,0.26421000819125556,2.216354188393232,success,5242880,gs://skyflow-prototype-gcp-us-west1/network_measurement/reference/payload_005mib.bin,,,
r003-aliyun_us_east_1-upload-001mib,3,61,2026-06-24T14:24:12.736+00:00,2026-06-24T14:24:18.134+00:00,aliyun_us_east_1,aliyun,us-east-1,skyflow-prototype-aliyun-us-east-1,upload,1,1048576,2.6019823999959044,0.3843223536029967,3.2239295700129267,success,1048576,oss://skyflow-prototype-aliyun-us-east-1/network_measurement/runs/20260624_211539/r003-aliyun_us_east_1-upload-001mib.bin,,,
r003-aws_eu_central_1-download-005mib,3,62,2026-06-24T14:24:18.645+00:00,2026-06-24T14:24:34.668+00:00,aws_eu_central_1,aws,eu-central-1,skyflow-prototype-aws-eu-central-1,download,5,5242880,15.995241300028283,0.31259297101014405,2.6222198973594626,success,5242880,s3://skyflow-prototype-aws-eu-central-1/network_measurement/reference/payload_005mib.bin,,,
r003-gcp_europe_west1-upload-010mib,3,63,2026-06-24T14:24:35.179+00:00,2026-06-24T14:25:00.092+00:00,gcp_europe_west1,gcp,europe-west1,skyflow-prototype-gcp-europe-west1,upload,10,10485760,12.946748199989088,0.7723947237970094,6.479316559201384,success,10485760,gs://skyflow-prototype-gcp-europe-west1/network_measurement/runs/20260624_211539/r003-gcp_europe_west1-upload-010mib.bin,,,
r003-aws_us_west_2-download-001mib,3,64,2026-06-24T14:25:00.593+00:00,2026-06-24T14:25:15.435+00:00,aws_us_west_2,aws,us-west-2,skyflow-prototype-aws-us-west-2,download,1,1048576,14.81915289995959,0.06748024038558417,0.5660652843404345,success,1048576,s3://skyflow-prototype-aws-us-west-2/network_measurement/reference/payload_001mib.bin,,,
r003-aws_us_east_2-download-001mib,3,65,2026-06-24T14:25:15.940+00:00,2026-06-24T14:25:20.993+00:00,aws_us_east_2,aws,us-east-2,skyflow-prototype-aws-us-east-2,download,1,1048576,5.024660399998538,0.19901842520547078,1.6694875538260139,success,1048576,s3://skyflow-prototype-aws-us-east-2/network_measurement/reference/payload_001mib.bin,,,
r003-aliyun_ap_southeast_1-download-005mib,3,66,2026-06-24T14:25:21.499+00:00,2026-06-24T14:25:24.253+00:00,aliyun_ap_southeast_1,aliyun,ap-southeast-1,skyflow-prototype-aliyun-ap-southeast-1,download,5,5242880,2.7116179000004195,1.8439176109581024,15.467902022624026,success,5242880,oss://skyflow-prototype-aliyun-ap-southeast-1/network_measurement/reference/payload_005mib.bin,,,
r003-aws_us_west_2-upload-010mib,3,67,2026-06-24T14:25:24.762+00:00,2026-06-24T14:25:55.023+00:00,aws_us_west_2,aws,us-west-2,skyflow-prototype-aws-us-west-2,upload,10,10485760,15.660276100039482,0.6385583457225756,5.356615647395164,success,10485760,s3://skyflow-prototype-aws-us-west-2/network_measurement/runs/20260624_211539/r003-aws_us_west_2-upload-010mib.bin,,,
r003-gcp_us_west1-download-001mib,3,68,2026-06-24T14:25:55.531+00:00,2026-06-24T14:26:04.068+00:00,gcp_us_west1,gcp,us-west1,skyflow-prototype-gcp-us-west1,download,1,1048576,8.512872399995103,0.11746916352235882,0.9854027648769673,success,1048576,gs://skyflow-prototype-gcp-us-west1/network_measurement/reference/payload_001mib.bin,,,
r003-aws_ap_southeast_1-download-001mib,3,69,2026-06-24T14:26:04.576+00:00,2026-06-24T14:26:20.242+00:00,aws_ap_southeast_1,aws,ap-southeast-1,skyflow-prototype-aws-ap-southeast-1,download,1,1048576,15.635365499998443,0.06395757105902639,0.5365149922463172,success,1048576,s3://skyflow-prototype-aws-ap-southeast-1/network_measurement/reference/payload_001mib.bin,,,
r003-aws_us_east_2-download-005mib,3,70,2026-06-24T14:26:20.746+00:00,2026-06-24T14:26:26.293+00:00,aws_us_east_2,aws,us-east-2,skyflow-prototype-aws-us-east-2,download,5,5242880,5.525378299993463,0.9049154154758807,7.590980693584298,success,5242880,s3://skyflow-prototype-aws-us-east-2/network_measurement/reference/payload_005mib.bin,,,
r003-gcp_us_east1-download-005mib,3,71,2026-06-24T14:26:26.798+00:00,2026-06-24T14:26:45.749+00:00,gcp_us_east1,gcp,us-east1,skyflow-prototype-gcp-us-east1,download,5,5242880,18.924973899964243,0.26420115697012647,2.216279938968859,success,5242880,gs://skyflow-prototype-gcp-us-east1/network_measurement/reference/payload_005mib.bin,,,
r003-aws_us_east_2-download-010mib,3,72,2026-06-24T14:26:46.260+00:00,2026-06-24T14:26:51.951+00:00,aws_us_east_2,aws,us-east-2,skyflow-prototype-aws-us-east-2,download,10,10485760,5.667941199964844,1.7643090581218497,14.800097079433415,success,10485760,s3://skyflow-prototype-aws-us-east-2/network_measurement/reference/payload_010mib.bin,,,
