workflow,quality_level,query_count,eta,calibration_scenarios_per_query,test_scenarios_per_query,calibration_scenario_count,test_scenario_count,method,solver_method,status,reused_last_feasible,objective_value,expected_cost,avg_latency,p95_latency,p99_latency,violation_rate,solver_runtime_sec,wall_time_sec,max_rss_mb,num_iterations,active_scenario_count,active_scenario_fraction,assignment_signature,error,process_exitcode
workflow2,Q1,1200,0.2,50,50.0,60000,60000.0,decomposed_milp,decomposition,OPTIMAL,False,2.863990389288146,2.8627058887323,527.80169415271,1263.412460425265,1950.9243147102536,0.03155,2374.07822070003,3033.37167439994,11985.09375,4,21000,0.35,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_aws_ap-southeast-1_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow2,Q1,1200,0.2,50,,60000,,full_milp,,FAILED,False,,,,,,,,1511.6142898000544,21916.14453125,0,0,,,"GurobiError: Out of memory
Traceback (most recent call last):
  File ""D:\Document\proj\SkyBridge\src\sim\scripts\run_q_scaling_full_decomp_minp95.py"", line 89, in _worker
    result = solve_full_milp(
  File ""D:\Document\proj\SkyBridge\src\sim\src\milp_full.py"", line 48, in solve_full_milp
    x_sol, y_sol, alpha_val, z_sol, status, runtime, obj = solve_model(artifacts)
  File ""D:\Document\proj\SkyBridge\src\sim\src\milp_model.py"", line 405, in solve_model
    artifacts.model.optimize()
  File ""src/gurobipy/_model.pyx"", line 926, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Out of memory
",0
workflow2,Q1,1400,0.2,50,50.0,70000,70000.0,decomposed_milp,decomposition,OPTIMAL,False,2.8730171630849,2.8716404066075203,530.6863753621301,1267.4795751654797,1946.770087116692,0.0314428571428571,3435.8384065999417,4201.699625700014,14085.71875,4,24500,0.35,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_azure_eastus_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow2,Q1,1400,0.2,50,,70000,,full_milp,,FAILED,False,,,,,,,,1658.3066213000566,22258.0390625,0,0,,,"GurobiError: Out of memory
Traceback (most recent call last):
  File ""D:\Document\proj\SkyBridge\src\sim\scripts\run_q_scaling_full_decomp_minp95.py"", line 89, in _worker
    result = solve_full_milp(
  File ""D:\Document\proj\SkyBridge\src\sim\src\milp_full.py"", line 48, in solve_full_milp
    x_sol, y_sol, alpha_val, z_sol, status, runtime, obj = solve_model(artifacts)
  File ""D:\Document\proj\SkyBridge\src\sim\src\milp_model.py"", line 405, in solve_model
    artifacts.model.optimize()
  File ""src/gurobipy/_model.pyx"", line 926, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Out of memory
",0
workflow2,Q1,1600,0.2,50,50.0,80000,80000.0,decomposed_milp,decomposition,OPTIMAL,False,2.870959877760692,2.869782777849558,530.3418110864181,1268.812824024239,1955.6933221960887,0.0317625,6011.559590599849,7119.2380139000015,17829.1953125,5,32000,0.4,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_aws_eu-central-1_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow2,Q1,1600,0.2,50,,80000,,full_milp,,FAILED,False,,,,,,,,1864.522263600025,23487.37109375,0,0,,,"GurobiError: Out of memory
Traceback (most recent call last):
  File ""D:\Document\proj\SkyBridge\src\sim\scripts\run_q_scaling_full_decomp_minp95.py"", line 89, in _worker
    result = solve_full_milp(
  File ""D:\Document\proj\SkyBridge\src\sim\src\milp_full.py"", line 48, in solve_full_milp
    x_sol, y_sol, alpha_val, z_sol, status, runtime, obj = solve_model(artifacts)
  File ""D:\Document\proj\SkyBridge\src\sim\src\milp_model.py"", line 405, in solve_model
    artifacts.model.optimize()
  File ""src/gurobipy/_model.pyx"", line 926, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Out of memory
",0
workflow2,Q1,1800,0.2,50,50.0,90000,90000.0,decomposed_milp,decomposition,OPTIMAL,False,2.874661071087846,2.8740033069146507,531.5586019217831,1272.525402172115,1959.069246515846,0.0320888888888888,4720.998702500016,5689.230321799987,18252.703125,4,31500,0.35,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_aws_eu-central-1_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow2,Q1,1800,0.2,50,,90000,,full_milp,,FAILED,False,,,,,,,,2140.962284500012,23064.83984375,0,0,,,"GurobiError: Out of memory
Traceback (most recent call last):
  File ""D:\Document\proj\SkyBridge\src\sim\scripts\run_q_scaling_full_decomp_minp95.py"", line 89, in _worker
    result = solve_full_milp(
  File ""D:\Document\proj\SkyBridge\src\sim\src\milp_full.py"", line 48, in solve_full_milp
    x_sol, y_sol, alpha_val, z_sol, status, runtime, obj = solve_model(artifacts)
  File ""D:\Document\proj\SkyBridge\src\sim\src\milp_model.py"", line 405, in solve_model
    artifacts.model.optimize()
  File ""src/gurobipy/_model.pyx"", line 926, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Out of memory
",0
workflow2,Q1,2000,0.2,50,50.0,100000,100000.0,decomposed_milp,decomposition,OPTIMAL,False,2.873662623977144,2.8725080355069386,530.798621362817,1268.6347938536571,1951.386261662039,0.03173,5204.499043300049,6277.770874799928,19862.33203125,4,35000,0.35,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_aws_eu-central-1_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow2,Q1,2000,0.2,50,,100000,,full_milp,,FAILED,False,,,,,,,,2355.096105799894,23293.61328125,0,0,,,"GurobiError: Out of memory
Traceback (most recent call last):
  File ""D:\Document\proj\SkyBridge\src\sim\scripts\run_q_scaling_full_decomp_minp95.py"", line 89, in _worker
    result = solve_full_milp(
  File ""D:\Document\proj\SkyBridge\src\sim\src\milp_full.py"", line 48, in solve_full_milp
    x_sol, y_sol, alpha_val, z_sol, status, runtime, obj = solve_model(artifacts)
  File ""D:\Document\proj\SkyBridge\src\sim\src\milp_model.py"", line 405, in solve_model
    artifacts.model.optimize()
  File ""src/gurobipy/_model.pyx"", line 926, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Out of memory
",0
