timestamp_utc,topology_label,provider_local,region_local,provider_peer,region_peer,peer_host,ping_count,rtt_min_ms,rtt_avg_ms,rtt_max_ms,rtt_mdev_ms,packet_loss_pct,ping_ok,rtt_notes,ping_stdout_stderr
2026-04-14T09:36:12Z,cross_provider_cross_region,gcp,us-west1,aws,us-west2,18.236.144.157,10,11.634,11.766,11.932,0.124,0,1,,"PING 18.236.144.157 (18.236.144.157) 56(84) bytes of data.
64 bytes from 18.236.144.157: icmp_seq=1 ttl=61 time=11.9 ms
64 bytes from 18.236.144.157: icmp_seq=2 ttl=62 time=11.9 ms
64 bytes from 18.236.144.157: icmp_seq=3 ttl=62 time=11.9 ms
64 bytes from 18.236.144.157: icmp_seq=4 ttl=61 time=11.7 ms
64 bytes from 18.236.144.157: icmp_seq=5 ttl=61 time=11.8 ms
64 bytes from 18.236.144.157: icmp_seq=6 ttl=61 time=11.7 ms
64 bytes from 18.236.144.157: icmp_seq=7 ttl=61 time=11.6 ms
64 bytes from 18.236.144.157: icmp_seq=8 ttl=62 time=11.9 ms
64 bytes from 18.236.144.157: icmp_seq=9 ttl=61 time=11.6 ms
64 bytes from 18.236.144.157: icmp_seq=10 ttl=61 time=11.6 ms

--- 18.236.144.157 ping statistics ---
10 packets transmitted, 10 received, 0% packet loss, time 9014ms
rtt min/avg/max/mdev = 11.634/11.766/11.932/0.124 ms"
2026-04-14T09:41:31Z,cross_provider_cross_region,gcp,us-west1,aws,us-west2,18.236.144.157,10,11.736,11.802,12.010,0.076,0,1,,"PING 18.236.144.157 (18.236.144.157) 56(84) bytes of data.
64 bytes from 18.236.144.157: icmp_seq=1 ttl=61 time=12.0 ms
64 bytes from 18.236.144.157: icmp_seq=2 ttl=61 time=11.8 ms
64 bytes from 18.236.144.157: icmp_seq=3 ttl=61 time=11.8 ms
64 bytes from 18.236.144.157: icmp_seq=4 ttl=61 time=11.8 ms
64 bytes from 18.236.144.157: icmp_seq=5 ttl=62 time=11.7 ms
64 bytes from 18.236.144.157: icmp_seq=6 ttl=62 time=11.7 ms
64 bytes from 18.236.144.157: icmp_seq=7 ttl=61 time=11.8 ms
64 bytes from 18.236.144.157: icmp_seq=8 ttl=61 time=11.8 ms
64 bytes from 18.236.144.157: icmp_seq=9 ttl=61 time=11.8 ms
64 bytes from 18.236.144.157: icmp_seq=10 ttl=61 time=11.8 ms

--- 18.236.144.157 ping statistics ---
10 packets transmitted, 10 received, 0% packet loss, time 9016ms
rtt min/avg/max/mdev = 11.736/11.802/12.010/0.076 ms"
2026-04-14T09:46:50Z,cross_provider_cross_region,gcp,us-west1,aws,us-west2,18.236.144.157,10,10.647,10.858,11.067,0.180,0,1,,"PING 18.236.144.157 (18.236.144.157) 56(84) bytes of data.
64 bytes from 18.236.144.157: icmp_seq=1 ttl=61 time=11.0 ms
64 bytes from 18.236.144.157: icmp_seq=2 ttl=61 time=10.7 ms
64 bytes from 18.236.144.157: icmp_seq=3 ttl=61 time=10.7 ms
64 bytes from 18.236.144.157: icmp_seq=4 ttl=61 time=10.7 ms
64 bytes from 18.236.144.157: icmp_seq=5 ttl=62 time=11.1 ms
64 bytes from 18.236.144.157: icmp_seq=6 ttl=62 time=11.1 ms
64 bytes from 18.236.144.157: icmp_seq=7 ttl=62 time=11.0 ms
64 bytes from 18.236.144.157: icmp_seq=8 ttl=61 time=10.7 ms
64 bytes from 18.236.144.157: icmp_seq=9 ttl=61 time=10.6 ms
64 bytes from 18.236.144.157: icmp_seq=10 ttl=62 time=11.1 ms

--- 18.236.144.157 ping statistics ---
10 packets transmitted, 10 received, 0% packet loss, time 9013ms
rtt min/avg/max/mdev = 10.647/10.858/11.067/0.180 ms"
2026-04-14T09:52:09Z,cross_provider_cross_region,gcp,us-west1,aws,us-west2,18.236.144.157,10,10.989,11.501,11.929,0.327,0,1,,"PING 18.236.144.157 (18.236.144.157) 56(84) bytes of data.
64 bytes from 18.236.144.157: icmp_seq=1 ttl=61 time=11.9 ms
64 bytes from 18.236.144.157: icmp_seq=2 ttl=61 time=11.7 ms
64 bytes from 18.236.144.157: icmp_seq=3 ttl=62 time=11.0 ms
64 bytes from 18.236.144.157: icmp_seq=4 ttl=62 time=11.0 ms
64 bytes from 18.236.144.157: icmp_seq=5 ttl=61 time=11.6 ms
64 bytes from 18.236.144.157: icmp_seq=6 ttl=61 time=11.7 ms
64 bytes from 18.236.144.157: icmp_seq=7 ttl=61 time=11.7 ms
64 bytes from 18.236.144.157: icmp_seq=8 ttl=62 time=11.0 ms
64 bytes from 18.236.144.157: icmp_seq=9 ttl=61 time=11.7 ms
64 bytes from 18.236.144.157: icmp_seq=10 ttl=61 time=11.7 ms

--- 18.236.144.157 ping statistics ---
10 packets transmitted, 10 received, 0% packet loss, time 9013ms
rtt min/avg/max/mdev = 10.989/11.501/11.929/0.327 ms"
2026-04-14T09:57:29Z,cross_provider_cross_region,gcp,us-west1,aws,us-west2,18.236.144.157,10,10.720,10.882,11.206,0.146,0,1,,"PING 18.236.144.157 (18.236.144.157) 56(84) bytes of data.
64 bytes from 18.236.144.157: icmp_seq=1 ttl=61 time=11.2 ms
64 bytes from 18.236.144.157: icmp_seq=2 ttl=62 time=10.8 ms
64 bytes from 18.236.144.157: icmp_seq=3 ttl=62 time=10.7 ms
64 bytes from 18.236.144.157: icmp_seq=4 ttl=62 time=10.8 ms
64 bytes from 18.236.144.157: icmp_seq=5 ttl=62 time=10.7 ms
64 bytes from 18.236.144.157: icmp_seq=6 ttl=62 time=10.8 ms
64 bytes from 18.236.144.157: icmp_seq=7 ttl=61 time=11.0 ms
64 bytes from 18.236.144.157: icmp_seq=8 ttl=61 time=11.0 ms
64 bytes from 18.236.144.157: icmp_seq=9 ttl=62 time=10.8 ms
64 bytes from 18.236.144.157: icmp_seq=10 ttl=61 time=11.0 ms

--- 18.236.144.157 ping statistics ---
10 packets transmitted, 10 received, 0% packet loss, time 9015ms
rtt min/avg/max/mdev = 10.720/10.882/11.206/0.146 ms"
2026-04-14T10:02:48Z,cross_provider_cross_region,gcp,us-west1,aws,us-west2,18.236.144.157,10,11.007,11.230,11.450,0.175,0,1,,"PING 18.236.144.157 (18.236.144.157) 56(84) bytes of data.
64 bytes from 18.236.144.157: icmp_seq=1 ttl=62 time=11.2 ms
64 bytes from 18.236.144.157: icmp_seq=2 ttl=62 time=11.1 ms
64 bytes from 18.236.144.157: icmp_seq=3 ttl=62 time=11.0 ms
64 bytes from 18.236.144.157: icmp_seq=4 ttl=62 time=11.0 ms
64 bytes from 18.236.144.157: icmp_seq=5 ttl=61 time=11.5 ms
64 bytes from 18.236.144.157: icmp_seq=6 ttl=62 time=11.0 ms
64 bytes from 18.236.144.157: icmp_seq=7 ttl=61 time=11.4 ms
64 bytes from 18.236.144.157: icmp_seq=8 ttl=61 time=11.4 ms
64 bytes from 18.236.144.157: icmp_seq=9 ttl=61 time=11.4 ms
64 bytes from 18.236.144.157: icmp_seq=10 ttl=61 time=11.4 ms

--- 18.236.144.157 ping statistics ---
10 packets transmitted, 10 received, 0% packet loss, time 9012ms
rtt min/avg/max/mdev = 11.007/11.230/11.450/0.175 ms"
2026-04-14T10:08:07Z,cross_provider_cross_region,gcp,us-west1,aws,us-west2,18.236.144.157,10,11.671,12.030,12.391,0.254,0,1,,"PING 18.236.144.157 (18.236.144.157) 56(84) bytes of data.
64 bytes from 18.236.144.157: icmp_seq=1 ttl=61 time=12.3 ms
64 bytes from 18.236.144.157: icmp_seq=2 ttl=61 time=11.7 ms
64 bytes from 18.236.144.157: icmp_seq=3 ttl=61 time=11.7 ms
64 bytes from 18.236.144.157: icmp_seq=4 ttl=61 time=11.7 ms
64 bytes from 18.236.144.157: icmp_seq=5 ttl=61 time=12.0 ms
64 bytes from 18.236.144.157: icmp_seq=6 ttl=61 time=12.1 ms
64 bytes from 18.236.144.157: icmp_seq=7 ttl=62 time=12.4 ms
64 bytes from 18.236.144.157: icmp_seq=8 ttl=61 time=12.1 ms
64 bytes from 18.236.144.157: icmp_seq=9 ttl=62 time=12.4 ms
64 bytes from 18.236.144.157: icmp_seq=10 ttl=61 time=12.0 ms

--- 18.236.144.157 ping statistics ---
10 packets transmitted, 10 received, 0% packet loss, time 9014ms
rtt min/avg/max/mdev = 11.671/12.030/12.391/0.254 ms"
2026-04-14T10:13:26Z,cross_provider_cross_region,gcp,us-west1,aws,us-west2,18.236.144.157,10,11.643,11.992,12.293,0.216,0,1,,"PING 18.236.144.157 (18.236.144.157) 56(84) bytes of data.
64 bytes from 18.236.144.157: icmp_seq=1 ttl=61 time=12.1 ms
64 bytes from 18.236.144.157: icmp_seq=2 ttl=62 time=11.7 ms
64 bytes from 18.236.144.157: icmp_seq=3 ttl=61 time=11.9 ms
64 bytes from 18.236.144.157: icmp_seq=4 ttl=62 time=11.6 ms
64 bytes from 18.236.144.157: icmp_seq=5 ttl=62 time=11.7 ms
64 bytes from 18.236.144.157: icmp_seq=6 ttl=62 time=12.0 ms
64 bytes from 18.236.144.157: icmp_seq=7 ttl=62 time=12.1 ms
64 bytes from 18.236.144.157: icmp_seq=8 ttl=61 time=12.3 ms
64 bytes from 18.236.144.157: icmp_seq=9 ttl=61 time=12.3 ms
64 bytes from 18.236.144.157: icmp_seq=10 ttl=62 time=12.1 ms

--- 18.236.144.157 ping statistics ---
10 packets transmitted, 10 received, 0% packet loss, time 9012ms
rtt min/avg/max/mdev = 11.643/11.992/12.293/0.216 ms"
2026-04-14T10:18:45Z,cross_provider_cross_region,gcp,us-west1,aws,us-west2,18.236.144.157,10,11.078,11.676,12.239,0.484,0,1,,"PING 18.236.144.157 (18.236.144.157) 56(84) bytes of data.
64 bytes from 18.236.144.157: icmp_seq=1 ttl=61 time=12.2 ms
64 bytes from 18.236.144.157: icmp_seq=2 ttl=62 time=11.1 ms
64 bytes from 18.236.144.157: icmp_seq=3 ttl=61 time=12.0 ms
64 bytes from 18.236.144.157: icmp_seq=4 ttl=61 time=12.0 ms
64 bytes from 18.236.144.157: icmp_seq=5 ttl=62 time=11.1 ms
64 bytes from 18.236.144.157: icmp_seq=6 ttl=61 time=12.0 ms
64 bytes from 18.236.144.157: icmp_seq=7 ttl=62 time=11.1 ms
64 bytes from 18.236.144.157: icmp_seq=8 ttl=61 time=12.0 ms
64 bytes from 18.236.144.157: icmp_seq=9 ttl=62 time=11.1 ms
64 bytes from 18.236.144.157: icmp_seq=10 ttl=61 time=12.1 ms

--- 18.236.144.157 ping statistics ---
10 packets transmitted, 10 received, 0% packet loss, time 9011ms
rtt min/avg/max/mdev = 11.078/11.676/12.239/0.484 ms"
2026-04-14T10:24:04Z,cross_provider_cross_region,gcp,us-west1,aws,us-west2,18.236.144.157,10,10.779,11.314,11.828,0.468,0,1,,"PING 18.236.144.157 (18.236.144.157) 56(84) bytes of data.
64 bytes from 18.236.144.157: icmp_seq=1 ttl=62 time=11.1 ms
64 bytes from 18.236.144.157: icmp_seq=2 ttl=62 time=10.8 ms
64 bytes from 18.236.144.157: icmp_seq=3 ttl=61 time=11.7 ms
64 bytes from 18.236.144.157: icmp_seq=4 ttl=62 time=10.8 ms
64 bytes from 18.236.144.157: icmp_seq=5 ttl=61 time=11.7 ms
64 bytes from 18.236.144.157: icmp_seq=6 ttl=61 time=11.8 ms
64 bytes from 18.236.144.157: icmp_seq=7 ttl=62 time=10.8 ms
64 bytes from 18.236.144.157: icmp_seq=8 ttl=62 time=10.8 ms
64 bytes from 18.236.144.157: icmp_seq=9 ttl=61 time=11.8 ms
64 bytes from 18.236.144.157: icmp_seq=10 ttl=61 time=11.8 ms

--- 18.236.144.157 ping statistics ---
10 packets transmitted, 10 received, 0% packet loss, time 9017ms
rtt min/avg/max/mdev = 10.779/11.314/11.828/0.468 ms"
