workflow,quality_level,query_count,sample_count,full_wall_sec,decomp_wall_sec,full_solver_sec,decomp_solver_sec,full_rss_mb,decomp_rss_mb
workflow1,Q2,10,2,1.1739202919998206,2.263365624996368,0.0129089160473085,0.0062817090074531,193.890625,240.8125
workflow1,Q2,10,6,1.175285375036765,2.2776700420072302,0.0249147080467082,0.0272204169887118,192.484375,242.15625
workflow1,Q2,10,10,1.1833743749884889,2.3158984160399996,0.0354567500180564,0.0284522079746238,198.8125,239.046875
workflow1,Q2,25,2,1.1544907499919643,2.287945666990709,0.021886333997827,0.0237641250132583,196.71875,244.3125
workflow1,Q2,25,6,1.2815302920062095,2.384575625008438,0.0487598750041797,0.033962083980441,198.109375,238.546875
workflow1,Q2,25,10,1.348450999998022,2.4696176249999553,0.0712593329953961,0.0453742910176515,200.71875,241.0625
workflow1,Q2,40,2,1.199736375012435,2.320178041001782,0.0304926250246353,0.0283443339867517,194.4375,240.234375
workflow1,Q2,40,6,1.2833754169987517,3.0824713750043884,0.0671725409920327,0.0652967079658992,195.421875,245.984375
workflow1,Q2,40,10,1.4512410839670338,2.5504522919654846,0.1229445420322008,0.0632439169567078,222.234375,245.796875
workflow1,Q2,50,2,1.220703291008249,1.7118223340366967,0.0350412089610472,0.0152959590195678,198.046875,233.375
workflow1,Q2,50,6,1.3704020410077646,2.5207550420309417,0.0831240839906968,0.0513876669574528,203.5625,245.09375
workflow1,Q2,50,10,1.4866860840120353,2.632991000020411,0.1403418339905329,0.0723450829973444,225.484375,250.234375
workflow2,Q2,10,2,1.2308651669882238,1.9027332499972545,0.045935958973132,0.0176301249885,202.15625,240.34375
workflow2,Q2,10,6,1.3523217089823447,1.8175022500217892,0.0612417089869268,0.0238915830268524,212.4375,248.71875
workflow2,Q2,10,10,1.4755765829468146,1.9150520829716695,0.0968733329791575,0.030583374958951,225.453125,244.734375
workflow2,Q2,25,2,1.4250431670225223,1.8389818749856204,0.0517120000440627,0.0196719159721396,215.0625,239.21875
workflow2,Q2,40,2,1.4550821669981815,1.9413556670187972,0.0799067500047385,0.0280752500402741,217.0625,244.65625
workflow2,Q2,50,2,1.5354026249842718,2.1395512919989415,0.0945292079704813,0.0331084170029498,219.421875,247.71875
workflow2,Q2,100,5,20.566210699966177,16.244346999912523,8.264013300067745,2.1727037000237037,482.76953125,552.6640625
workflow2,Q2,100,10,35.531775400042534,21.6702101000119,18.643720399937592,4.928375500021502,761.421875,620.96484375
workflow2,Q2,100,20,65.87919359991793,33.0705697000958,39.817993900040165,10.51582089997828,1260.03125,779.921875
workflow2,Q2,250,5,45.38041969994083,24.768648299970664,25.66837729990948,6.0798282999312505,895.265625,654.01171875
workflow2,Q2,250,10,81.53301470004953,39.3945794000756,50.645006399950944,13.594381600036286,1561.43359375,889.79296875
workflow2,Q2,250,20,154.877145400038,69.26690249994863,100.91462629998568,29.016386799979955,2877.62890625,1413.484375
workflow2,Q2,500,5,82.54988880001474,39.73104320000857,50.23884690005798,13.272797699901275,1566.4296875,894.73828125
workflow2,Q2,500,10,158.98631219996605,69.37477160000708,101.4055063999258,28.531823699944653,3182.140625,1419.51953125
workflow2,Q2,500,20,325.6738056000322,129.552852599998,224.90838719997555,59.99900309997611,5993.06640625,2470.8515625
workflow2,Q2,1000,10,333.5599709999515,139.05113109992817,229.58479510003235,60.59520710003562,6072.5625,2478.9140625
