workflow,quality_level,iteration,active_scenario_count,objective_value,max_violation,num_violated_scenarios,runtime_sec
workflow2,Q2,1,10000,33.09218172965834,187366.79078891428,4467,316.1666924159799
workflow2,Q2,2,12500,inf,62.77380828885725,42,114.39156079199164
workflow2,Q2,3,12542,inf,0.0,0,120.8333964170015
workflow2,Q2,1,10000,4.556235973043633,31016.784087085493,4442,180.77946487500049
workflow2,Q2,2,12500,inf,0.0,0,131.86283849999927
workflow2,Q2,1,10000,4.370580909869522,31016.755241699077,4442,202.86846883399994
workflow2,Q2,2,12500,inf,0.0,0,131.52425441700325
