workflow,quality_level,iteration,active_scenario_count,objective_value,max_violation,num_violated_scenarios,runtime_sec
workflow2,Q1,1,10000,4.050472745718957,10818.828890907971,625,286.7510840000032
workflow2,Q1,2,10625,4.050472745718957,110.22132033749784,1372,305.9221712919971
workflow2,Q1,3,11997,4.050485273405672,544.6858914334385,7192,371.36925837500894
workflow2,Q1,4,14497,4.0504796709972855,122.10508207171688,20,545.3242197090003
workflow2,Q1,5,14517,4.050472745718957,15.366103352774815,14,514.2347039580054
workflow2,Q1,6,14531,4.050472745718957,0.0,0,495.3167333330057
