timestamp_utc,topology_label,provider_local,region_local,provider_peer,region_peer,peer_host,iperf_port,iperf_seconds,bw_out_mbits_per_sec,bw_in_mbits_per_sec,iperf_ok,bw_notes,iperf_stdout_stderr
2026-04-14T08:43:01Z,cross_provider_cross_region,gcp,us-west1,aws,us-west2,18.236.144.157,5201,10,1383.000000,1379.000000,1,,"Connecting to host 18.236.144.157, port 5201
[  5] local 10.138.0.5 port 38156 connected to 18.236.144.157 port 5201
[  7] local 10.138.0.5 port 38170 connected to 18.236.144.157 port 5201
[ ID][Role] Interval           Transfer     Bitrate         Retr  Cwnd
[  5][TX-C]   0.00-1.00   sec   252 MBytes  2116 Mbits/sec    0   7.54 MBytes       
[  7][RX-C]   0.00-1.00   sec   209 MBytes  1757 Mbits/sec                  
[  5][TX-C]   1.00-2.00   sec   289 MBytes  2422 Mbits/sec    0   7.54 MBytes       
[  7][RX-C]   1.00-2.00   sec   224 MBytes  1883 Mbits/sec                  
[  5][TX-C]   2.00-3.00   sec   280 MBytes  2349 Mbits/sec    0   7.54 MBytes       
[  7][RX-C]   2.00-3.00   sec   218 MBytes  1827 Mbits/sec                  
[  5][TX-C]   3.00-4.00   sec   282 MBytes  2370 Mbits/sec    0   7.54 MBytes       
[  7][RX-C]   3.00-4.00   sec   175 MBytes  1469 Mbits/sec                  
[  5][TX-C]   4.00-5.00   sec   282 MBytes  2370 Mbits/sec    0   7.54 MBytes       
[  7][RX-C]   4.00-5.00   sec   175 MBytes  1466 Mbits/sec                  
[  5][TX-C]   5.00-6.00   sec   269 MBytes  2254 Mbits/sec    0   7.54 MBytes       
[  7][RX-C]   5.00-6.00   sec   181 MBytes  1522 Mbits/sec                  
[  5][TX-C]   6.00-7.00   sec   279 MBytes  2338 Mbits/sec    0   7.54 MBytes       
[  7][RX-C]   6.00-7.00   sec   149 MBytes  1246 Mbits/sec                  
[  5][TX-C]   7.00-8.00   sec   278 MBytes  2328 Mbits/sec    0   7.54 MBytes       
[  7][RX-C]   7.00-8.00   sec   103 MBytes   862 Mbits/sec                  
[  5][TX-C]   8.00-9.00   sec   278 MBytes  2328 Mbits/sec    0   7.54 MBytes       
[  7][RX-C]   8.00-9.00   sec   105 MBytes   883 Mbits/sec                  
[  5][TX-C]   9.00-10.00  sec   291 MBytes  2443 Mbits/sec    0   7.54 MBytes       
[  7][RX-C]   9.00-10.00  sec   106 MBytes   888 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID][Role] Interval           Transfer     Bitrate         Retr
[  5][TX-C]   0.00-10.00  sec  2.71 GBytes  2332 Mbits/sec    0             sender
[  5][TX-C]   0.00-10.01  sec  2.71 GBytes  2329 Mbits/sec                  receiver
[  7][RX-C]   0.00-10.00  sec  1.61 GBytes  1383 Mbits/sec  394             sender
[  7][RX-C]   0.00-10.01  sec  1.61 GBytes  1379 Mbits/sec                  receiver

iperf Done."
2026-04-14T08:48:20Z,cross_provider_cross_region,gcp,us-west1,aws,us-west2,18.236.144.157,5201,10,558.000000,555.000000,1,,"Connecting to host 18.236.144.157, port 5201
[  5] local 10.138.0.5 port 53924 connected to 18.236.144.157 port 5201
[  7] local 10.138.0.5 port 53932 connected to 18.236.144.157 port 5201
[ ID][Role] Interval           Transfer     Bitrate         Retr  Cwnd
[  5][TX-C]   0.00-1.00   sec   231 MBytes  1940 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   0.00-1.00   sec   102 MBytes   854 Mbits/sec                  
[  5][TX-C]   1.00-2.00   sec   264 MBytes  2213 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   1.00-2.00   sec  51.6 MBytes   433 Mbits/sec                  
[  5][TX-C]   2.00-3.00   sec   274 MBytes  2296 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   2.00-3.00   sec  55.3 MBytes   464 Mbits/sec                  
[  5][TX-C]   3.00-4.00   sec   274 MBytes  2296 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   3.00-4.00   sec  58.9 MBytes   494 Mbits/sec                  
[  5][TX-C]   4.00-5.00   sec   272 MBytes  2286 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   4.00-5.00   sec  62.1 MBytes   521 Mbits/sec                  
[  5][TX-C]   5.00-6.00   sec   274 MBytes  2296 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   5.00-6.00   sec  66.2 MBytes   555 Mbits/sec                  
[  5][TX-C]   6.00-7.00   sec   272 MBytes  2286 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   6.00-7.00   sec  69.9 MBytes   586 Mbits/sec                  
[  5][TX-C]   7.00-8.00   sec   269 MBytes  2254 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   7.00-8.00   sec  73.0 MBytes   612 Mbits/sec                  
[  5][TX-C]   8.00-9.00   sec   266 MBytes  2234 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   8.00-9.00   sec  60.4 MBytes   507 Mbits/sec                  
[  5][TX-C]   9.00-10.00  sec   276 MBytes  2317 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   9.00-10.00  sec  62.6 MBytes   525 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID][Role] Interval           Transfer     Bitrate         Retr
[  5][TX-C]   0.00-10.00  sec  2.61 GBytes  2242 Mbits/sec    0             sender
[  5][TX-C]   0.00-10.01  sec  2.61 GBytes  2239 Mbits/sec                  receiver
[  7][RX-C]   0.00-10.00  sec   665 MBytes   558 Mbits/sec  397             sender
[  7][RX-C]   0.00-10.01  sec   662 MBytes   555 Mbits/sec                  receiver

iperf Done."
2026-04-14T08:53:39Z,cross_provider_cross_region,gcp,us-west1,aws,us-west2,18.236.144.157,5201,10,1230.000000,1225.000000,1,,"Connecting to host 18.236.144.157, port 5201
[  5] local 10.138.0.5 port 36866 connected to 18.236.144.157 port 5201
[  7] local 10.138.0.5 port 36874 connected to 18.236.144.157 port 5201
[ ID][Role] Interval           Transfer     Bitrate         Retr  Cwnd
[  5][TX-C]   0.00-1.00   sec   232 MBytes  1948 Mbits/sec    0   7.22 MBytes       
[  7][RX-C]   0.00-1.00   sec   210 MBytes  1760 Mbits/sec                  
[  5][TX-C]   1.00-2.00   sec   275 MBytes  2307 Mbits/sec    0   7.22 MBytes       
[  7][RX-C]   1.00-2.00   sec   233 MBytes  1951 Mbits/sec                  
[  5][TX-C]   2.00-3.00   sec   275 MBytes  2307 Mbits/sec    0   7.22 MBytes       
[  7][RX-C]   2.00-3.00   sec   204 MBytes  1714 Mbits/sec                  
[  5][TX-C]   3.00-4.00   sec   278 MBytes  2328 Mbits/sec    0   7.22 MBytes       
[  7][RX-C]   3.00-4.00   sec   125 MBytes  1046 Mbits/sec                  
[  5][TX-C]   4.00-5.00   sec   278 MBytes  2328 Mbits/sec    0   7.22 MBytes       
[  7][RX-C]   4.00-5.00   sec   131 MBytes  1099 Mbits/sec                  
[  5][TX-C]   5.00-6.00   sec   274 MBytes  2296 Mbits/sec    0   7.22 MBytes       
[  7][RX-C]   5.00-6.00   sec   126 MBytes  1059 Mbits/sec                  
[  5][TX-C]   6.00-7.00   sec   275 MBytes  2307 Mbits/sec    0   7.22 MBytes       
[  7][RX-C]   6.00-7.00   sec   101 MBytes   850 Mbits/sec                  
[  5][TX-C]   7.00-8.00   sec   278 MBytes  2328 Mbits/sec    0   7.22 MBytes       
[  7][RX-C]   7.00-8.00   sec   107 MBytes   899 Mbits/sec                  
[  5][TX-C]   8.00-9.00   sec   275 MBytes  2307 Mbits/sec    0   7.22 MBytes       
[  7][RX-C]   8.00-9.00   sec   111 MBytes   931 Mbits/sec                  
[  5][TX-C]   9.00-10.00  sec   278 MBytes  2327 Mbits/sec    0   7.22 MBytes       
[  7][RX-C]   9.00-10.00  sec   114 MBytes   959 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID][Role] Interval           Transfer     Bitrate         Retr
[  5][TX-C]   0.00-10.00  sec  2.65 GBytes  2278 Mbits/sec    0             sender
[  5][TX-C]   0.00-10.01  sec  2.65 GBytes  2275 Mbits/sec                  receiver
[  7][RX-C]   0.00-10.00  sec  1.43 GBytes  1230 Mbits/sec  171             sender
[  7][RX-C]   0.00-10.01  sec  1.43 GBytes  1225 Mbits/sec                  receiver

iperf Done."
2026-04-14T08:58:58Z,cross_provider_cross_region,gcp,us-west1,aws,us-west2,18.236.144.157,5201,10,569.000000,565.000000,1,,"Connecting to host 18.236.144.157, port 5201
[  5] local 10.138.0.5 port 47194 connected to 18.236.144.157 port 5201
[  7] local 10.138.0.5 port 47196 connected to 18.236.144.157 port 5201
[ ID][Role] Interval           Transfer     Bitrate         Retr  Cwnd
[  5][TX-C]   0.00-1.00   sec   254 MBytes  2128 Mbits/sec    0   7.59 MBytes       
[  7][RX-C]   0.00-1.00   sec  72.9 MBytes   611 Mbits/sec                  
[  5][TX-C]   1.00-2.00   sec   280 MBytes  2349 Mbits/sec    0   7.59 MBytes       
[  7][RX-C]   1.00-2.00   sec  67.2 MBytes   564 Mbits/sec                  
[  5][TX-C]   2.00-3.00   sec   291 MBytes  2443 Mbits/sec    0   7.59 MBytes       
[  7][RX-C]   2.00-3.00   sec  71.0 MBytes   596 Mbits/sec                  
[  5][TX-C]   3.00-4.00   sec   294 MBytes  2464 Mbits/sec    0   7.59 MBytes       
[  7][RX-C]   3.00-4.00   sec  66.6 MBytes   559 Mbits/sec                  
[  5][TX-C]   4.00-5.00   sec   289 MBytes  2422 Mbits/sec    0   7.59 MBytes       
[  7][RX-C]   4.00-5.00   sec  59.0 MBytes   495 Mbits/sec                  
[  5][TX-C]   5.00-6.00   sec   286 MBytes  2401 Mbits/sec    0   7.59 MBytes       
[  7][RX-C]   5.00-6.00   sec  65.4 MBytes   548 Mbits/sec                  
[  5][TX-C]   6.00-7.00   sec   295 MBytes  2475 Mbits/sec    0   7.59 MBytes       
[  7][RX-C]   6.00-7.00   sec  70.2 MBytes   589 Mbits/sec                  
[  5][TX-C]   7.00-8.00   sec   295 MBytes  2475 Mbits/sec    0   7.59 MBytes       
[  7][RX-C]   7.00-8.00   sec  72.8 MBytes   611 Mbits/sec                  
[  5][TX-C]   8.00-9.00   sec   292 MBytes  2454 Mbits/sec    0   7.59 MBytes       
[  7][RX-C]   8.00-9.00   sec  71.4 MBytes   599 Mbits/sec                  
[  5][TX-C]   9.00-10.00  sec   294 MBytes  2464 Mbits/sec    0   7.59 MBytes       
[  7][RX-C]   9.00-10.00  sec  58.1 MBytes   487 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID][Role] Interval           Transfer     Bitrate         Retr
[  5][TX-C]   0.00-10.00  sec  2.80 GBytes  2408 Mbits/sec    0             sender
[  5][TX-C]   0.00-10.01  sec  2.80 GBytes  2404 Mbits/sec                  receiver
[  7][RX-C]   0.00-10.00  sec   678 MBytes   569 Mbits/sec  326             sender
[  7][RX-C]   0.00-10.01  sec   675 MBytes   565 Mbits/sec                  receiver

iperf Done."
2026-04-14T09:04:17Z,cross_provider_cross_region,gcp,us-west1,aws,us-west2,18.236.144.157,5201,10,734.000000,730.000000,1,,"Connecting to host 18.236.144.157, port 5201
[  5] local 10.138.0.5 port 47352 connected to 18.236.144.157 port 5201
[  7] local 10.138.0.5 port 47362 connected to 18.236.144.157 port 5201
[ ID][Role] Interval           Transfer     Bitrate         Retr  Cwnd
[  5][TX-C]   0.00-1.00   sec   239 MBytes  2008 Mbits/sec    0   7.55 MBytes       
[  7][RX-C]   0.00-1.00   sec  85.5 MBytes   717 Mbits/sec                  
[  5][TX-C]   1.00-2.00   sec   272 MBytes  2286 Mbits/sec    0   7.55 MBytes       
[  7][RX-C]   1.00-2.00   sec  91.2 MBytes   765 Mbits/sec                  
[  5][TX-C]   2.00-3.00   sec   274 MBytes  2296 Mbits/sec    0   7.55 MBytes       
[  7][RX-C]   2.00-3.00   sec  95.8 MBytes   803 Mbits/sec                  
[  5][TX-C]   3.00-4.00   sec   274 MBytes  2296 Mbits/sec    0   7.55 MBytes       
[  7][RX-C]   3.00-4.00   sec  82.7 MBytes   694 Mbits/sec                  
[  5][TX-C]   4.00-5.00   sec   275 MBytes  2306 Mbits/sec    0   7.55 MBytes       
[  7][RX-C]   4.00-5.00   sec  75.2 MBytes   630 Mbits/sec                  
[  5][TX-C]   5.00-6.00   sec   262 MBytes  2203 Mbits/sec    0   7.55 MBytes       
[  7][RX-C]   5.00-6.00   sec  77.4 MBytes   650 Mbits/sec                  
[  5][TX-C]   6.00-7.00   sec   269 MBytes  2254 Mbits/sec    0   7.55 MBytes       
[  7][RX-C]   6.00-7.00   sec  83.2 MBytes   698 Mbits/sec                  
[  5][TX-C]   7.00-8.00   sec   275 MBytes  2307 Mbits/sec    0   7.55 MBytes       
[  7][RX-C]   7.00-8.00   sec  88.5 MBytes   742 Mbits/sec                  
[  5][TX-C]   8.00-9.00   sec   274 MBytes  2297 Mbits/sec    0   7.55 MBytes       
[  7][RX-C]   8.00-9.00   sec  93.6 MBytes   786 Mbits/sec                  
[  5][TX-C]   9.00-10.00  sec   269 MBytes  2254 Mbits/sec    0   7.55 MBytes       
[  7][RX-C]   9.00-10.00  sec  98.4 MBytes   826 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID][Role] Interval           Transfer     Bitrate         Retr
[  5][TX-C]   0.00-10.00  sec  2.62 GBytes  2251 Mbits/sec    0             sender
[  5][TX-C]   0.00-10.01  sec  2.62 GBytes  2247 Mbits/sec                  receiver
[  7][RX-C]   0.00-10.00  sec   875 MBytes   734 Mbits/sec  628             sender
[  7][RX-C]   0.00-10.01  sec   872 MBytes   730 Mbits/sec                  receiver

iperf Done."
2026-04-14T09:09:36Z,cross_provider_cross_region,gcp,us-west1,aws,us-west2,18.236.144.157,5201,10,722.000000,719.000000,1,,"Connecting to host 18.236.144.157, port 5201
[  5] local 10.138.0.5 port 44770 connected to 18.236.144.157 port 5201
[  7] local 10.138.0.5 port 44782 connected to 18.236.144.157 port 5201
[ ID][Role] Interval           Transfer     Bitrate         Retr  Cwnd
[  5][TX-C]   0.00-1.00   sec   257 MBytes  2155 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   0.00-1.00   sec   108 MBytes   906 Mbits/sec                  
[  5][TX-C]   1.00-2.00   sec   286 MBytes  2401 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   1.00-2.00   sec   123 MBytes  1029 Mbits/sec                  
[  5][TX-C]   2.00-3.00   sec   292 MBytes  2454 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   2.00-3.00   sec   121 MBytes  1018 Mbits/sec                  
[  5][TX-C]   3.00-4.00   sec   274 MBytes  2296 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   3.00-4.00   sec  95.1 MBytes   797 Mbits/sec                  
[  5][TX-C]   4.00-5.00   sec   279 MBytes  2338 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   4.00-5.00   sec  86.9 MBytes   729 Mbits/sec                  
[  5][TX-C]   5.00-6.00   sec   286 MBytes  2401 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   5.00-6.00   sec  70.1 MBytes   588 Mbits/sec                  
[  5][TX-C]   6.00-7.00   sec   292 MBytes  2454 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   6.00-7.00   sec  58.1 MBytes   487 Mbits/sec                  
[  5][TX-C]   7.00-8.00   sec   292 MBytes  2454 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   7.00-8.00   sec  61.7 MBytes   518 Mbits/sec                  
[  5][TX-C]   8.00-9.00   sec   290 MBytes  2433 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   8.00-9.00   sec  65.5 MBytes   549 Mbits/sec                  
[  5][TX-C]   9.00-10.00  sec   290 MBytes  2433 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   9.00-10.00  sec  68.8 MBytes   577 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID][Role] Interval           Transfer     Bitrate         Retr
[  5][TX-C]   0.00-10.00  sec  2.77 GBytes  2382 Mbits/sec    0             sender
[  5][TX-C]   0.00-10.01  sec  2.77 GBytes  2379 Mbits/sec                  receiver
[  7][RX-C]   0.00-10.00  sec   861 MBytes   722 Mbits/sec  226             sender
[  7][RX-C]   0.00-10.01  sec   858 MBytes   719 Mbits/sec                  receiver

iperf Done."
2026-04-14T09:14:55Z,cross_provider_cross_region,gcp,us-west1,aws,us-west2,18.236.144.157,5201,10,959.000000,955.000000,1,,"Connecting to host 18.236.144.157, port 5201
[  5] local 10.138.0.5 port 38540 connected to 18.236.144.157 port 5201
[  7] local 10.138.0.5 port 38556 connected to 18.236.144.157 port 5201
[ ID][Role] Interval           Transfer     Bitrate         Retr  Cwnd
[  5][TX-C]   0.00-1.00   sec   230 MBytes  1932 Mbits/sec    0   7.24 MBytes       
[  7][RX-C]   0.00-1.00   sec   129 MBytes  1083 Mbits/sec                  
[  5][TX-C]   1.00-2.00   sec   266 MBytes  2233 Mbits/sec    0   7.24 MBytes       
[  7][RX-C]   1.00-2.00   sec   122 MBytes  1023 Mbits/sec                  
[  5][TX-C]   2.00-3.00   sec   262 MBytes  2202 Mbits/sec    0   7.24 MBytes       
[  7][RX-C]   2.00-3.00   sec   127 MBytes  1067 Mbits/sec                  
[  5][TX-C]   3.00-4.00   sec   261 MBytes  2191 Mbits/sec    0   7.24 MBytes       
[  7][RX-C]   3.00-4.00   sec   131 MBytes  1096 Mbits/sec                  
[  5][TX-C]   4.00-5.00   sec   254 MBytes  2129 Mbits/sec    0   7.24 MBytes       
[  7][RX-C]   4.00-5.00   sec   127 MBytes  1062 Mbits/sec                  
[  5][TX-C]   5.00-6.00   sec   261 MBytes  2192 Mbits/sec    0   7.24 MBytes       
[  7][RX-C]   5.00-6.00   sec  98.5 MBytes   826 Mbits/sec                  
[  5][TX-C]   6.00-7.00   sec   259 MBytes  2171 Mbits/sec    0   7.24 MBytes       
[  7][RX-C]   6.00-7.00   sec   105 MBytes   885 Mbits/sec                  
[  5][TX-C]   7.00-8.00   sec   262 MBytes  2202 Mbits/sec    0   7.24 MBytes       
[  7][RX-C]   7.00-8.00   sec   109 MBytes   911 Mbits/sec                  
[  5][TX-C]   8.00-9.00   sec   264 MBytes  2212 Mbits/sec    0   7.24 MBytes       
[  7][RX-C]   8.00-9.00   sec   112 MBytes   941 Mbits/sec                  
[  5][TX-C]   9.00-10.00  sec   265 MBytes  2223 Mbits/sec    0   7.24 MBytes       
[  7][RX-C]   9.00-10.00  sec  79.8 MBytes   670 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID][Role] Interval           Transfer     Bitrate         Retr
[  5][TX-C]   0.00-10.00  sec  2.52 GBytes  2169 Mbits/sec    0             sender
[  5][TX-C]   0.00-10.01  sec  2.52 GBytes  2166 Mbits/sec                  receiver
[  7][RX-C]   0.00-10.00  sec  1.12 GBytes   959 Mbits/sec  263             sender
[  7][RX-C]   0.00-10.01  sec  1.11 GBytes   955 Mbits/sec                  receiver

iperf Done."
2026-04-14T09:20:15Z,cross_provider_cross_region,gcp,us-west1,aws,us-west2,18.236.144.157,5201,10,499.000000,496.000000,1,,"Connecting to host 18.236.144.157, port 5201
[  5] local 10.138.0.5 port 50904 connected to 18.236.144.157 port 5201
[  7] local 10.138.0.5 port 50910 connected to 18.236.144.157 port 5201
[ ID][Role] Interval           Transfer     Bitrate         Retr  Cwnd
[  5][TX-C]   0.00-1.00   sec   263 MBytes  2205 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   0.00-1.00   sec  94.8 MBytes   796 Mbits/sec                  
[  5][TX-C]   1.00-2.00   sec   301 MBytes  2527 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   1.00-2.00   sec  91.2 MBytes   765 Mbits/sec                  
[  5][TX-C]   2.00-3.00   sec   284 MBytes  2381 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   2.00-3.00   sec  68.1 MBytes   571 Mbits/sec                  
[  5][TX-C]   3.00-4.00   sec   299 MBytes  2506 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   3.00-4.00   sec  73.4 MBytes   615 Mbits/sec                  
[  5][TX-C]   4.00-5.00   sec   299 MBytes  2506 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   4.00-5.00   sec  57.8 MBytes   485 Mbits/sec                  
[  5][TX-C]   5.00-6.00   sec   294 MBytes  2464 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   5.00-6.00   sec  45.6 MBytes   383 Mbits/sec                  
[  5][TX-C]   6.00-7.00   sec   292 MBytes  2454 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   6.00-7.00   sec  38.2 MBytes   321 Mbits/sec                  
[  5][TX-C]   7.00-8.00   sec   300 MBytes  2517 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   7.00-8.00   sec  36.2 MBytes   304 Mbits/sec                  
[  5][TX-C]   8.00-9.00   sec   301 MBytes  2527 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   8.00-9.00   sec  41.0 MBytes   344 Mbits/sec                  
[  5][TX-C]   9.00-10.00  sec   298 MBytes  2496 Mbits/sec    0   7.51 MBytes       
[  7][RX-C]   9.00-10.00  sec  45.0 MBytes   377 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID][Role] Interval           Transfer     Bitrate         Retr
[  5][TX-C]   0.00-10.00  sec  2.86 GBytes  2458 Mbits/sec    0             sender
[  5][TX-C]   0.00-10.01  sec  2.86 GBytes  2455 Mbits/sec                  receiver
[  7][RX-C]   0.00-10.00  sec   594 MBytes   499 Mbits/sec  265             sender
[  7][RX-C]   0.00-10.01  sec   591 MBytes   496 Mbits/sec                  receiver

iperf Done."
2026-04-14T09:25:34Z,cross_provider_cross_region,gcp,us-west1,aws,us-west2,18.236.144.157,5201,10,1092.000000,1088.000000,1,,"Connecting to host 18.236.144.157, port 5201
[  5] local 10.138.0.5 port 48026 connected to 18.236.144.157 port 5201
[  7] local 10.138.0.5 port 48040 connected to 18.236.144.157 port 5201
[ ID][Role] Interval           Transfer     Bitrate         Retr  Cwnd
[  5][TX-C]   0.00-1.00   sec   243 MBytes  2038 Mbits/sec    0   7.53 MBytes       
[  7][RX-C]   0.00-1.00   sec   226 MBytes  1897 Mbits/sec                  
[  5][TX-C]   1.00-2.00   sec   266 MBytes  2234 Mbits/sec    0   7.53 MBytes       
[  7][RX-C]   1.00-2.00   sec   145 MBytes  1217 Mbits/sec                  
[  5][TX-C]   2.00-3.00   sec   279 MBytes  2338 Mbits/sec    0   7.53 MBytes       
[  7][RX-C]   2.00-3.00   sec   140 MBytes  1176 Mbits/sec                  
[  5][TX-C]   3.00-4.00   sec   255 MBytes  2139 Mbits/sec    0   7.53 MBytes       
[  7][RX-C]   3.00-4.00   sec   119 MBytes   996 Mbits/sec                  
[  5][TX-C]   4.00-5.00   sec   271 MBytes  2275 Mbits/sec    0   7.53 MBytes       
[  7][RX-C]   4.00-5.00   sec   111 MBytes   929 Mbits/sec                  
[  5][TX-C]   5.00-6.00   sec   279 MBytes  2338 Mbits/sec    0   7.53 MBytes       
[  7][RX-C]   5.00-6.00   sec   116 MBytes   969 Mbits/sec                  
[  5][TX-C]   6.00-7.00   sec   278 MBytes  2328 Mbits/sec    0   7.53 MBytes       
[  7][RX-C]   6.00-7.00   sec   120 MBytes  1008 Mbits/sec                  
[  5][TX-C]   7.00-8.00   sec   266 MBytes  2233 Mbits/sec    0   7.53 MBytes       
[  7][RX-C]   7.00-8.00   sec   123 MBytes  1035 Mbits/sec                  
[  5][TX-C]   8.00-9.00   sec   276 MBytes  2317 Mbits/sec    0   7.53 MBytes       
[  7][RX-C]   8.00-9.00   sec  94.7 MBytes   795 Mbits/sec                  
[  5][TX-C]   9.00-10.00  sec   260 MBytes  2181 Mbits/sec    0   7.53 MBytes       
[  7][RX-C]   9.00-10.00  sec   104 MBytes   869 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID][Role] Interval           Transfer     Bitrate         Retr
[  5][TX-C]   0.00-10.00  sec  2.61 GBytes  2242 Mbits/sec    0             sender
[  5][TX-C]   0.00-10.01  sec  2.61 GBytes  2240 Mbits/sec                  receiver
[  7][RX-C]   0.00-10.00  sec  1.27 GBytes  1092 Mbits/sec  121             sender
[  7][RX-C]   0.00-10.01  sec  1.27 GBytes  1088 Mbits/sec                  receiver

iperf Done."
2026-04-14T09:30:53Z,cross_provider_cross_region,gcp,us-west1,aws,us-west2,18.236.144.157,5201,10,883.000000,880.000000,1,,"Connecting to host 18.236.144.157, port 5201
[  5] local 10.138.0.5 port 52706 connected to 18.236.144.157 port 5201
[  7] local 10.138.0.5 port 52720 connected to 18.236.144.157 port 5201
[ ID][Role] Interval           Transfer     Bitrate         Retr  Cwnd
[  5][TX-C]   0.00-1.00   sec   236 MBytes  1978 Mbits/sec    0   7.35 MBytes       
[  7][RX-C]   0.00-1.00   sec   211 MBytes  1771 Mbits/sec                  
[  5][TX-C]   1.00-2.00   sec   270 MBytes  2265 Mbits/sec    0   7.35 MBytes       
[  7][RX-C]   1.00-2.00   sec   137 MBytes  1151 Mbits/sec                  
[  5][TX-C]   2.00-3.00   sec   274 MBytes  2296 Mbits/sec    0   7.35 MBytes       
[  7][RX-C]   2.00-3.00   sec   105 MBytes   883 Mbits/sec                  
[  5][TX-C]   3.00-4.00   sec   274 MBytes  2296 Mbits/sec    0   7.35 MBytes       
[  7][RX-C]   3.00-4.00   sec   111 MBytes   928 Mbits/sec                  
[  5][TX-C]   4.00-5.00   sec   276 MBytes  2317 Mbits/sec    0   7.35 MBytes       
[  7][RX-C]   4.00-5.00   sec  96.3 MBytes   808 Mbits/sec                  
[  5][TX-C]   5.00-6.00   sec   276 MBytes  2317 Mbits/sec    0   7.35 MBytes       
[  7][RX-C]   5.00-6.00   sec  87.2 MBytes   731 Mbits/sec                  
[  5][TX-C]   6.00-7.00   sec   272 MBytes  2286 Mbits/sec    0   7.35 MBytes       
[  7][RX-C]   6.00-7.00   sec  73.7 MBytes   619 Mbits/sec                  
[  5][TX-C]   7.00-8.00   sec   276 MBytes  2317 Mbits/sec    0   7.35 MBytes       
[  7][RX-C]   7.00-8.00   sec  70.5 MBytes   591 Mbits/sec                  
[  5][TX-C]   8.00-9.00   sec   271 MBytes  2275 Mbits/sec    0   7.35 MBytes       
[  7][RX-C]   8.00-9.00   sec  75.9 MBytes   637 Mbits/sec                  
[  5][TX-C]   9.00-10.00  sec   281 MBytes  2359 Mbits/sec    0   7.35 MBytes       
[  7][RX-C]   9.00-10.00  sec  81.9 MBytes   687 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID][Role] Interval           Transfer     Bitrate         Retr
[  5][TX-C]   0.00-10.00  sec  2.64 GBytes  2271 Mbits/sec    0             sender
[  5][TX-C]   0.00-10.01  sec  2.64 GBytes  2268 Mbits/sec                  receiver
[  7][RX-C]   0.00-10.00  sec  1.03 GBytes   883 Mbits/sec  611             sender
[  7][RX-C]   0.00-10.01  sec  1.03 GBytes   880 Mbits/sec                  receiver

iperf Done."
