eta,setting,status,cost,svr_pct,mean_latency,p95_latency,cost_delta_vs_eta010_pct,svr_delta_vs_eta010_pp
0.05,workflow1_Q1,INFEASIBLE,1.6868229267271648,6.22,3750.5945212242223,6955.40135980191,-0.0018199504024929425,2.674
0.075,workflow1_Q1,OPTIMAL,1.6868536266265322,3.546,3732.3708626648067,6922.701954297392,0.0,0.0
0.1,workflow1_Q1,OPTIMAL,1.6868536266265322,3.546,3732.3708626648067,6922.701954297392,0.0,0.0
0.125,workflow1_Q1,OPTIMAL,1.6868536266265322,3.546,3732.3708626648067,6922.701954297392,0.0,0.0
0.15,workflow1_Q1,OPTIMAL,1.6868229267271648,6.22,3750.5945212242223,6955.40135980191,-0.0018199504024929425,2.674
0.05,workflow1_Q2,OPTIMAL,6.06417035382211,0.8460000000000001,4512.827894818881,8490.272492015703,0.0,0.0
0.075,workflow1_Q2,OPTIMAL,6.06417035382211,0.8460000000000001,4512.827894818881,8490.272492015703,0.0,0.0
0.1,workflow1_Q2,OPTIMAL,6.06417035382211,0.8460000000000001,4512.827894818881,8490.272492015703,0.0,0.0
0.125,workflow1_Q2,OPTIMAL,6.06417035382211,0.8460000000000001,4512.827894818881,8490.272492015703,0.0,0.0
0.15,workflow1_Q2,OPTIMAL,6.06417035382211,0.8460000000000001,4512.827894818881,8490.272492015703,0.0,0.0
0.05,workflow1_Q3,INFEASIBLE,17.807902731011264,4.334,5396.314267870649,10455.72262498446,2.987251342316588,0.242
0.075,workflow1_Q3,INFEASIBLE,17.765543870918957,4.376,5396.969786482843,10456.340321764708,2.7422801833432375,0.2840000000000007
0.1,workflow1_Q3,OPTIMAL,17.291366163196308,4.092,5409.0345084704795,10464.582744524881,0.0,0.0
0.125,workflow1_Q3,OPTIMAL,17.291366163196308,4.092,5409.0345084704795,10464.582744524881,0.0,0.0
0.15,workflow1_Q3,OPTIMAL,17.291366163196308,4.092,5409.0345084704795,10464.582744524881,0.0,0.0
0.05,workflow2_Q1,OPTIMAL,3.3967006623159977,2.92,3720.6574794858243,6958.890174261503,0.005811402381517006,-0.5340000000000003
0.075,workflow2_Q1,OPTIMAL,3.3965032778436206,3.454,3726.5380003460073,6969.570798106226,0.0,0.0
0.1,workflow2_Q1,OPTIMAL,3.3965032778436206,3.454,3726.5380003460073,6969.570798106226,0.0,0.0
0.125,workflow2_Q1,OPTIMAL,3.3965032778436206,3.454,3726.5380003460073,6969.570798106226,0.0,0.0
0.15,workflow2_Q1,OPTIMAL,3.3964724341362076,6.260000000000001,3744.5373137419815,7001.7862634165485,-0.0009081018002898844,2.8060000000000005
0.05,workflow2_Q2,OPTIMAL,8.394268972562678,0.8059999999999999,4509.540043343962,8439.501709826558,0.0,0.0
0.075,workflow2_Q2,OPTIMAL,8.394268987988642,0.848,4514.179462551366,8448.069427268007,1.8376782318085816e-07,0.04200000000000004
0.1,workflow2_Q2,OPTIMAL,8.394268972562678,0.8059999999999999,4509.540043343962,8439.501709826558,0.0,0.0
0.125,workflow2_Q2,OPTIMAL,8.394268972862978,0.8059999999999999,4509.542828128673,8439.504459247357,3.5774494477891494e-09,0.0
0.15,workflow2_Q2,OPTIMAL,8.394269558034434,0.848,4514.179462551366,8448.069427268007,6.974660426983803e-06,0.04200000000000004
0.05,workflow2_Q3,INFEASIBLE,21.289251977191018,4.218,5491.549347060653,10464.322058182817,2.191341010818171,0.14400000000000013
0.075,workflow2_Q3,INFEASIBLE,21.28831351070498,4.292,5492.29813863425,10465.070871104204,2.1868362424587895,0.21799999999999997
0.1,workflow2_Q3,OPTIMAL,20.832735696204725,4.074,5505.355184002818,10497.736848266979,0.0,0.0
0.125,workflow2_Q3,OPTIMAL,20.832735696204725,4.074,5505.355184002818,10497.736848266979,0.0,0.0
0.15,workflow2_Q3,OPTIMAL,20.83273627349037,4.088,5505.450859788555,10497.811975508095,2.771050588989965e-06,0.014000000000000234
