eta,setting,status,cost,svr_pct,mean_latency,p95_latency
0.075,workflow1_Q1,OPTIMAL,1.6868536266265322,3.546,3732.3708626648067,6922.701954297392
0.075,workflow1_Q2,OPTIMAL,6.06417035382211,0.8460000000000001,4512.827894818881,8490.272492015703
0.075,workflow1_Q3,INFEASIBLE,17.765543870918957,4.376,5396.969786482843,10456.340321764708
0.075,workflow2_Q1,OPTIMAL,3.3965032778436206,3.454,3726.5380003460073,6969.570798106226
0.075,workflow2_Q2,OPTIMAL,8.394268987988642,0.848,4514.179462551366,8448.069427268007
0.075,workflow2_Q3,INFEASIBLE,21.28831351070498,4.292,5492.29813863425,10465.070871104204
0.1,workflow1_Q1,OPTIMAL,1.6868536266265322,3.546,3732.3708626648067,6922.701954297392
0.1,workflow1_Q2,OPTIMAL,6.06417035382211,0.8460000000000001,4512.827894818881,8490.272492015703
0.1,workflow1_Q3,OPTIMAL,17.291366163196308,4.092,5409.0345084704795,10464.582744524881
0.1,workflow2_Q1,OPTIMAL,3.3965032778436206,3.454,3726.5380003460073,6969.570798106226
0.1,workflow2_Q2,OPTIMAL,8.394268972562678,0.8059999999999999,4509.540043343962,8439.501709826558
0.1,workflow2_Q3,OPTIMAL,20.832735696204725,4.074,5505.355184002818,10497.736848266979
0.125,workflow1_Q1,OPTIMAL,1.6868536266265322,3.546,3732.3708626648067,6922.701954297392
0.125,workflow1_Q2,OPTIMAL,6.06417035382211,0.8460000000000001,4512.827894818881,8490.272492015703
0.125,workflow1_Q3,OPTIMAL,17.291366163196308,4.092,5409.0345084704795,10464.582744524881
0.125,workflow2_Q1,OPTIMAL,3.3965032778436206,3.454,3726.5380003460073,6969.570798106226
0.125,workflow2_Q2,OPTIMAL,8.394268972862978,0.8059999999999999,4509.542828128673,8439.504459247357
0.125,workflow2_Q3,OPTIMAL,20.832735696204725,4.074,5505.355184002818,10497.736848266979
0.15,workflow1_Q1,OPTIMAL,1.6868229267271648,6.22,3750.5945212242223,6955.40135980191
0.15,workflow1_Q2,OPTIMAL,6.06417035382211,0.8460000000000001,4512.827894818881,8490.272492015703
0.15,workflow1_Q3,OPTIMAL,17.291366163196308,4.092,5409.0345084704795,10464.582744524881
0.15,workflow2_Q1,OPTIMAL,3.3964724341362076,6.260000000000001,3744.5373137419815,7001.7862634165485
0.15,workflow2_Q2,OPTIMAL,8.394269558034434,0.848,4514.179462551366,8448.069427268007
0.15,workflow2_Q3,OPTIMAL,20.83273627349037,4.088,5505.450859788555,10497.811975508095
