workflow,quality_level,iteration,active_scenario_count,objective_value,max_violation,num_violated_scenarios,runtime_sec
workflow2,Q1,1,10000,2.0922857446780387,217.2028986010295,9498,349.0381131999893
workflow2,Q1,2,12500,inf,0.0,0,139.14800609997474
