workflow,query_count,full_wall_min,decomp_wall_min,wall_ratio_full_over_decomp,full_rss_gb,decomp_rss_gb,rss_ratio_full_over_decomp,full_status,decomp_status
workflow1,200,0.4524491633327367,0.5799568949985162,0.780142743770456,0.921417236328125,0.5482368469238281,1.6806919153614395,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE
workflow1,400,0.9432582800004942,0.9337761816665685,1.0101545729266754,1.6238861083984375,0.7152519226074219,2.2703694419703573,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE
workflow1,600,1.6512145516676051,1.462800086667994,1.1288039744574987,2.33404541015625,0.9388771057128906,2.4859967251880173,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE
workflow1,800,5.183427131664939,2.1121228316662988,2.4541314804005143,3.1454734802246094,1.2038078308105469,2.6129365499364643,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE
workflow1,1000,2.6713881716656034,1.994846485000259,1.3391447370774783,3.876842498779297,1.4239616394042969,2.7225750971782805,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE
workflow1,1200,3.3043418166673892,3.1271988566673827,1.0566458892188217,4.677574157714844,1.6292381286621094,2.8710193282524967,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE
workflow1,1400,5.373984298333138,3.961247779999394,1.356639270450777,5.432132720947266,1.9180717468261719,2.832080045981492,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE
workflow1,1600,4.879003795001578,3.6428868433324775,1.3393234554983633,6.159358978271484,2.0549278259277344,2.9973602481589494,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE
workflow1,1800,11.750217804999556,5.749297203333117,2.043765940328749,6.784030914306641,2.3695220947265625,2.863037626618756,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE
workflow1,2000,12.418671570000393,8.904410656667702,1.3946651888411257,7.727012634277344,2.490894317626953,3.102103762330142,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE
workflow2,200,5.41670337000008,2.4538259016679755,2.2074521938651412,5.084354400634766,1.2137069702148438,4.189111972995229,OPTIMAL,OPTIMAL
workflow2,400,11.91601658166619,4.822552245001619,2.470894243606518,10.277088165283203,2.519542694091797,4.07894979885932,OPTIMAL,OPTIMAL
workflow2,600,8.537754098333728,6.422638260000773,1.3293219628303807,10.612770080566406,3.36505126953125,3.153821214154862,FAILED,OPTIMAL
workflow2,800,9.769748808332952,9.106278496666345,1.0728585570833893,12.02187728881836,4.1542816162109375,2.8938522708490204,FAILED,OPTIMAL
workflow2,1000,11.216019614999338,11.95532344999956,0.9381611180916858,14.880523681640625,5.537944793701172,2.6870119215644133,FAILED,OPTIMAL
workflow2,1200,13.365276158333291,16.881812435000516,0.7916967570747023,15.578895568847656,7.252079010009766,2.1481971648881246,FAILED,OPTIMAL
workflow2,1400,14.141234035000283,52.08347787666523,0.271510939966164,19.028427124023438,11.661540985107422,1.6317249279768453,FAILED,TIME_LIMIT_REUSED_LAST_FEASIBLE
