workflow,quality_level,iteration,active_scenario_count,objective_value,max_violation,num_violated_scenarios,runtime_sec
workflow1,Q3,1,10,7.96156025592536,0.0,0,0.0024522080202586
workflow1,Q3,1,10,7.96156025592536,0.0,0,0.0023947499576024
workflow1,Q3,1,10,7.520893030053117,0.0,0,0.0158072079648263
workflow1,Q3,1,10,7.468954112669558,0.0,0,0.0149797089979983
workflow1,Q3,1,10,7.468951861368122,6.039388987428502,14,0.0122245419770479
workflow1,Q3,2,20,7.468951861368122,2.0498608079234115,25,0.0126977500040084
workflow1,Q3,3,30,7.468951861368122,5.438542887383981,132,0.017561457992997
workflow1,Q3,4,40,inf,0.0,0,0.0194176660152152
workflow1,Q3,1,10,7.468954112669558,0.0,0,0.0129602089873515
workflow1,Q3,1,10,7.46895453555608,0.0,0,0.0125820419634692
workflow1,Q3,1,50,7.470875699412537,2.8471313500913817,7,0.0193325420259498
workflow1,Q3,2,57,inf,0.0,0,0.0211035839747637
workflow1,Q3,1,50,7.470875699412537,0.0,0,0.018627792014740407
