multiplier,mean_cost,mean_cost_delta_pct,mean_svr_pct,mean_svr_delta_pp,optimal_count,count
1.0,9.773186270605038,0.0,3.224,0.0,3,6
1.1,9.610910519168408,-0.84235204198671,0.018,-3.2059999999999995,6,6
1.2,9.610910524209919,-0.8423520001153629,0.0,-3.224,6,6
1.3,9.610910521689352,-0.8423520119549818,0.0,-3.224,6,6
1.4,9.610910521689352,-0.8423520119549818,0.0,-3.224,6,6
1.5,9.610910521689352,-0.8423520119549818,0.0,-3.224,6,6
