node_id,provider,region,direction,size_mib,sample_count,success_count,failure_count,failure_rate,elapsed_sec_mean,elapsed_sec_std,elapsed_sec_p50,elapsed_sec_p90,elapsed_sec_p95,elapsed_sec_min,elapsed_sec_max,throughput_mib_per_sec_mean,throughput_mib_per_sec_p10,throughput_mib_per_sec_p50
aliyun_ap_southeast_1,aliyun,ap-southeast-1,download,1,20,20,0,0.0,2.312215079998714,0.10336786433964813,2.2992107499740086,2.4555185600009284,2.467363670028863,2.1697142000193708,2.4987529999925755,0.43330078660477983,0.4072467314466759,0.4349474769284962
aliyun_ap_southeast_1,aliyun,ap-southeast-1,download,5,20,20,0,0.0,2.825908779987367,0.07885415196266925,2.821604600001592,2.95093188000028,2.96211997497594,2.6935484999557957,2.9863919999916106,1.7706404623864103,1.6943821311287877,1.772041380804332
aliyun_ap_southeast_1,aliyun,ap-southeast-1,download,10,20,20,0,0.0,3.153584480000427,0.188921307361339,3.089870850002626,3.381333420035662,3.4037947750126483,2.943007200025022,3.7000328000285663,3.1811384894761026,2.9574145273469146,3.236390987756459
aliyun_ap_southeast_1,aliyun,ap-southeast-1,download,20,20,20,0,0.0,3.356911634997232,0.12839323275365908,3.3194768999819644,3.499425880040508,3.529824374956661,3.131670299975667,3.62760739994701,5.966092337726617,5.71525606280309,6.025067394734496
aliyun_ap_southeast_1,aliyun,ap-southeast-1,download,40,20,20,0,0.0,4.0645635249995395,0.43862152815845457,3.95272329999716,4.754532109986758,4.804560265009059,3.547320200013928,5.093477400019765,9.941527543568519,8.413075342774523,10.12020761747058
aliyun_ap_southeast_1,aliyun,ap-southeast-1,download,60,20,20,0,0.0,5.493632545007858,0.7372571413168295,5.451354749966413,5.898321649967693,6.107387750048657,4.287680400011595,7.959970399970189,11.087520213609347,10.172782900897047,11.006523474782046
aliyun_ap_southeast_1,aliyun,ap-southeast-1,download,80,20,20,0,0.0,8.337900270000683,7.1034380455571045,6.468319350009551,9.496186490013496,11.318580669982495,5.625901699997485,38.021453699911945,11.653605779997937,8.426171749448608,12.36799694229154
aliyun_ap_southeast_1,aliyun,ap-southeast-1,download,100,20,20,0,0.0,5.2239944400003875,0.20741855564105388,5.241560349997599,5.468007509992457,5.493977770002676,4.979306099994574,5.697189799975604,19.170653308503415,18.288213084898175,19.0784053994764
aliyun_ap_southeast_1,aliyun,ap-southeast-1,upload,1,20,20,0,0.0,2.438327769996249,0.040666462526937924,2.432648699992569,2.4832456700038166,2.5001516650430857,2.3697590999654494,2.507277900003828,0.41022541076432273,0.40270075050472914,0.4110823393823327
aliyun_ap_southeast_1,aliyun,ap-southeast-1,upload,5,20,20,0,0.0,3.076657984996564,0.20765664707089768,3.059910449985182,3.307190339983208,3.3866935249883685,2.8300613000174053,3.5839158999733627,1.631932685832814,1.5119293909528573,1.6340895226606174
aliyun_ap_southeast_1,aliyun,ap-southeast-1,upload,10,20,20,0,0.0,3.435567334992811,0.30896835799088884,3.368340549990535,3.7357731599593533,3.800215130031575,3.118966299982276,4.504693900002167,2.9298904914224644,2.6768379133699307,2.968823729757296
aliyun_ap_southeast_1,aliyun,ap-southeast-1,upload,20,20,20,0,0.0,3.7652597050007897,0.3179478365886508,3.6579962999967393,3.9600648000079675,4.100916370016058,3.439273399999365,4.929116300016176,5.3420180791339735,5.050753703821804,5.467490433558838
aliyun_ap_southeast_1,aliyun,ap-southeast-1,upload,40,20,20,0,0.0,4.6216064149979506,0.8392863725601782,4.2994271499919705,5.59435274997377,6.510337054976845,4.085413500026334,7.253637099987827,8.85769661969358,7.167239733006753,9.303631420956684
aliyun_ap_southeast_1,aliyun,ap-southeast-1,upload,60,20,20,0,0.0,5.292316025000764,0.4607522529038079,5.196319050010061,5.868704019970028,6.044626564992359,4.630951499973889,6.150651599979028,11.417684248534272,10.224655320087086,11.547002125340768
aliyun_ap_southeast_1,aliyun,ap-southeast-1,upload,80,20,20,0,0.0,6.470363084995188,1.513998904470603,5.957209349959157,8.273215549957243,9.71229347999033,5.06136609998066,10.337640099984128,12.894685029118165,9.696798763491552,13.429666568048047
aliyun_ap_southeast_1,aliyun,ap-southeast-1,upload,100,20,20,0,0.0,5.608503274997929,0.9818950115494905,5.328643550019478,6.014329799980624,6.294651425001214,5.147217100020498,9.631314099999145,18.16022096106509,16.627507947274413,18.766502081582985
aliyun_cn_beijing,aliyun,cn-beijing,download,1,20,20,0,0.0,0.5594949299906148,0.07645667285569573,0.558646299992688,0.5978836900088937,0.683391679963097,0.4661672000074759,0.8119662000099197,1.8142350188600451,1.6754566557771222,1.7900413912290376
aliyun_cn_beijing,aliyun,cn-beijing,download,5,20,20,0,0.0,0.6845372750045499,0.1804725498604435,0.6366698000056203,0.7979231200122744,1.08556077995745,0.5198922999552451,1.2647209000424482,7.6428818757460295,6.331556753693812,7.853387039346993
aliyun_cn_beijing,aliyun,cn-beijing,download,10,20,20,0,0.0,0.7155619399942225,0.058312061543114704,0.7079127999895718,0.7917398500139825,0.8031138450285653,0.6219808000023477,0.8583856999175623,14.060519146859402,12.630570277204216,14.1260336483217
aliyun_cn_beijing,aliyun,cn-beijing,download,20,20,20,0,0.0,1.173532044995227,1.1818536042777612,0.8836845500045456,1.0424978199647745,1.625713660003388,0.777459800010547,6.164282799989451,21.351879729899427,19.366174399607083,22.632843414547835
aliyun_cn_beijing,aliyun,cn-beijing,download,40,20,20,0,0.0,1.172908884997014,0.16655145548999364,1.1309099500067532,1.3402466200350318,1.3623210750316506,1.033108000003267,1.7606993000372313,34.61797441196468,29.84525566631427,35.37119870791821
aliyun_cn_beijing,aliyun,cn-beijing,download,60,20,20,0,0.0,1.8090817849995802,0.7500003486944566,1.5266199500183575,2.020418840018101,2.219855030035253,1.3757132000173442,4.8002171000116505,35.9429042022115,29.69999647000233,39.303349333384446
aliyun_cn_beijing,aliyun,cn-beijing,download,80,20,20,0,0.0,1.9381432849972042,0.22607719663037978,1.8638695499685127,2.2327959299902433,2.3332799199735743,1.6581364999874495,2.4953465000144206,41.77108154052536,35.83603202202125,42.9260219749209
aliyun_cn_beijing,aliyun,cn-beijing,download,100,20,20,0,0.0,2.9752134100010155,0.7432708271437916,3.0888818499806803,3.9423985900008125,4.214587800006848,1.9270176000427455,4.280586200009566,35.67156351727587,25.377620513925255,32.38441113008223
aliyun_cn_beijing,aliyun,cn-beijing,upload,1,20,20,0,0.0,0.597495259999414,0.05151169071451946,0.5927276000147685,0.6671686699613929,0.6680394999799318,0.51962919998914,0.6819227999658324,1.6854840667877968,1.4988713498172401,1.687226886151882
aliyun_cn_beijing,aliyun,cn-beijing,upload,5,20,20,0,0.0,0.7334042599977693,0.10994770002590738,0.697376299998723,0.8255036199698227,0.9497318900132088,0.6416399999870919,1.114425600040704,6.927266276708533,6.068660177542352,7.169735870556712
aliyun_cn_beijing,aliyun,cn-beijing,upload,10,20,20,0,0.0,0.9633597349922638,0.37141200405349206,0.8477090500236955,1.0906812100089163,1.612243314995431,0.763518700026907,2.3607162999687716,11.150035991274548,9.313775347843775,11.797991944987574
aliyun_cn_beijing,aliyun,cn-beijing,upload,20,20,20,0,0.0,1.3286476700130152,0.6066936114367197,1.12954885000363,2.1222519300295972,2.2843875800143008,1.0180916999815963,3.4878928000107408,16.664498926979526,9.426131279800389,17.706996952056343
aliyun_cn_beijing,aliyun,cn-beijing,upload,40,20,20,0,0.0,2.4522594549984205,2.2161660779645613,1.5991388499969617,4.547417719959049,5.613464984929309,1.5094029000028968,10.772223100007977,21.760321845362427,8.822102534530545,25.01346809634814
aliyun_cn_beijing,aliyun,cn-beijing,upload,60,20,20,0,0.0,4.0768307100079255,4.879549388461949,2.0841641500010155,8.880502400029222,11.872945020048071,1.9606568000162952,21.58155970001826,24.407824490188055,6.80365623121248,28.788955452380627
aliyun_cn_beijing,aliyun,cn-beijing,upload,80,20,20,0,0.0,4.64594252500101,5.331340478858218,2.581456949992571,8.875820899993418,11.942180045018914,2.3865064999554306,24.754264699993655,26.525776119421238,9.072315638790514,30.99060710650828
aliyun_cn_beijing,aliyun,cn-beijing,upload,100,20,20,0,0.0,1.849359165003989,0.23706053173525843,1.791630499996245,1.9429008100123615,2.1544620100030447,1.6565100000007078,2.7280284999869764,54.72690213849065,51.51549116061932,55.81508076234878
aliyun_cn_shanghai,aliyun,cn-shanghai,download,1,20,20,0,0.0,0.2802105399983702,0.04444590130073351,0.2644373999792151,0.33462103003403176,0.36356164001917934,0.21434900001622736,0.3851065000053495,3.648270179267552,2.99059208991003,3.781620111797733
aliyun_cn_shanghai,aliyun,cn-shanghai,download,5,20,20,0,0.0,0.3692365049966611,0.052749116389639056,0.3621747000142932,0.42703047000104566,0.4554571649874561,0.26553959999000654,0.4852712999563664,13.80957646631814,11.713642076051787,13.8062064115085
aliyun_cn_shanghai,aliyun,cn-shanghai,download,10,20,20,0,0.0,0.3954568249959266,0.0446726788273788,0.37987850001081824,0.4607396099891048,0.46287112998543306,0.31984720000764355,0.48076209996361285,25.5881761984844,21.70424937847684,26.32420680587076
aliyun_cn_shanghai,aliyun,cn-shanghai,download,20,20,20,0,0.0,0.5375974999944446,0.060029346844446,0.5196347500022966,0.6159750600112602,0.6280488599644741,0.449263000045903,0.6586190999951214,37.63468199991277,32.469872845109535,38.48866907251883
