workflow,quality_level,iteration,active_scenario_count,objective_value,max_violation,num_violated_scenarios,runtime_sec
workflow2,Q3,1,1000,21.06817699473971,0.0,0,0.0
workflow2,Q3,2,1000,21.06817699473971,0.0,0,0.0
workflow2,Q3,3,1000,21.019982281366005,0.0,0,0.0
workflow2,Q3,4,1000,20.841548245947777,0.0,0,0.0
workflow2,Q3,5,1000,20.841548245947777,0.0,0,0.0
workflow2,Q3,6,1000,20.841548245947777,0.0,0,0.0
workflow2,Q3,7,1000,20.841548245947777,0.0,0,0.0
workflow2,Q3,8,1000,20.841548245947777,0.0,0,0.0
workflow2,Q3,9,1000,20.841548245947777,0.0,0,0.0
workflow2,Q3,10,1000,20.841548245947777,0.0,0,0.0
workflow2,Q3,11,1000,20.841548245947777,0.0,0,0.0
workflow2,Q3,12,1000,20.841548136467733,0.0,0,0.0
workflow2,Q3,13,1000,20.84154813646773,0.0,0,0.0
workflow2,Q3,14,1000,20.84154813646773,0.0,0,0.0
workflow2,Q3,15,1000,20.84154813646773,0.0,0,0.0
workflow2,Q3,16,1000,20.84154813646773,0.0,0,0.0
