workflow,quality_level,iteration,active_scenario_count,objective_value,max_violation,num_violated_scenarios,runtime_sec
workflow2,Q1,1,10,2.0823697195207136,0.0,0,0.0123492499697022
workflow2,Q1,1,10,2.0823697195207136,0.0,0,0.0116238750051707
workflow2,Q1,1,10,2.1486650269169676,0.0,0,0.0225816660095006
workflow2,Q1,1,10,2.1486413759584044,11.19305975978368,88,0.0281507089966908
workflow2,Q1,2,20,2.148641545124029,3.1434299293915187,39,0.0378453750163316
workflow2,Q1,3,30,2.1486413726204217,6.018220731197218,96,0.0490052920067682
workflow2,Q1,4,40,3.3810037868374416,0.0430514711643539,2,0.111828958033584
workflow2,Q1,5,42,3.3810037868374416,0.0,0,0.1188547079800628
workflow2,Q1,1,10,2.148642043287892,3.0334048259077235,2,0.0231301659950986
workflow2,Q1,2,12,2.1486413726204217,0.0,0,0.0269084169995039
workflow2,Q1,1,10,2.148664831801429,4.007354197356904,2,0.0243797919829376
workflow2,Q1,2,12,2.1486419847318157,0.0,0,0.0264367079944349
workflow2,Q1,1,50,2.1464864633370095,1.6704292752799006,3,0.0744280419894494
workflow2,Q1,2,53,2.1483183899813407,0.0,0,0.0777430420275777
workflow2,Q1,1,50,2.1464864633370095,0.0,0,0.07409175002248958
