Timestamp,Latency_Avg_ms,TPS
2026-05-08 14:27:16,0.786,
2026-05-08 14:27:46,0.735,
2026-05-08 14:28:16,0.746,
2026-05-08 14:28:46,0.781,
2026-05-08 14:29:16,0.794,
2026-05-08 14:29:46,0.772,
2026-05-08 14:30:16,0.766,
2026-05-08 14:30:46,0.784,
2026-05-08 14:31:16,0.816,
2026-05-08 14:31:46,0.777,
2026-05-08 14:32:16,0.756,
2026-05-08 14:32:46,0.800,
2026-05-08 14:33:16,0.788,
2026-05-08 14:33:46,0.779,
2026-05-08 14:34:16,0.771,
2026-05-08 14:34:46,0.762,
2026-05-08 14:35:16,0.743,
2026-05-08 14:35:46,0.759,
2026-05-08 14:36:16,0.765,
2026-05-08 14:36:46,0.799,
2026-05-08 14:37:16,0.769,
2026-05-08 14:37:46,0.744,
2026-05-08 14:38:16,0.800,
2026-05-08 14:38:46,0.746,
2026-05-08 14:39:16,0.733,
2026-05-08 14:39:46,0.747,
2026-05-08 14:40:16,0.757,
2026-05-08 14:40:46,0.750,
2026-05-08 14:41:16,0.728,
2026-05-08 14:41:46,0.743,
2026-05-08 14:42:16,0.773,
2026-05-08 14:42:46,0.772,
2026-05-08 14:43:16,0.782,
2026-05-08 14:43:46,0.753,
2026-05-08 14:44:16,0.727,
2026-05-08 14:44:46,0.797,
2026-05-08 14:45:16,0.777,
2026-05-08 14:45:46,0.753,
2026-05-08 14:46:16,0.739,
2026-05-08 14:46:46,0.725,
2026-05-08 14:47:16,0.731,
2026-05-08 14:47:46,0.747,
2026-05-08 14:48:16,0.730,
2026-05-08 14:48:46,0.784,
2026-05-08 14:49:16,0.783,
2026-05-08 14:49:46,0.764,
2026-05-08 14:50:16,0.747,
2026-05-08 14:50:46,0.773,
2026-05-08 14:51:16,0.756,
2026-05-08 14:51:47,0.739,
2026-05-08 14:52:16,0.748,
2026-05-08 14:52:46,0.746,
2026-05-08 14:53:16,0.784,
2026-05-08 14:53:46,0.757,
2026-05-08 14:54:16,0.752,
2026-05-08 14:54:46,0.745,
2026-05-08 14:55:16,0.748,
2026-05-08 14:55:46,0.754,
2026-05-08 14:56:16,0.791,
2026-05-08 14:56:46,0.791,
2026-05-08 14:57:16,0.750,
2026-05-08 14:57:46,0.747,
2026-05-08 14:58:16,0.753,
2026-05-08 14:58:46,0.716,
2026-05-08 14:59:16,0.749,
2026-05-08 14:59:46,0.717,
2026-05-08 15:00:16,0.788,
2026-05-08 15:00:46,0.761,
2026-05-08 15:01:16,0.789,
2026-05-08 15:01:46,0.757,
2026-05-08 15:02:16,0.767,
2026-05-08 15:02:46,0.740,
2026-05-08 15:03:16,0.766,
2026-05-08 15:03:46,0.784,
2026-05-08 15:04:16,0.723,
2026-05-08 15:04:46,0.762,
2026-05-08 15:05:16,0.760,
2026-05-08 15:05:46,0.763,
2026-05-08 15:06:16,0.761,
2026-05-08 15:06:46,0.742,
2026-05-08 15:07:16,0.753,
2026-05-08 15:07:46,0.778,
2026-05-08 15:08:16,0.841,
2026-05-08 15:08:46,0.843,
2026-05-08 15:09:16,0.813,
2026-05-08 15:09:46,0.794,
2026-05-08 15:10:16,0.782,
2026-05-08 15:10:46,0.809,
2026-05-08 15:11:16,0.789,
2026-05-08 15:11:46,0.750,
2026-05-08 15:12:16,0.772,
2026-05-08 15:12:46,0.772,
2026-05-08 15:13:16,0.755,
2026-05-08 15:13:46,0.827,
2026-05-08 15:14:16,0.802,
2026-05-08 15:14:46,0.796,
2026-05-08 15:15:16,0.804,
2026-05-08 15:15:46,0.775,
2026-05-08 15:16:16,0.816,
2026-05-08 15:16:46,0.783,
2026-05-08 15:17:16,0.770,
2026-05-08 15:17:46,0.770,
2026-05-08 15:18:16,0.780,
2026-05-08 15:18:46,0.782,
2026-05-08 15:19:16,0.807,
2026-05-08 15:19:46,0.792,
2026-05-08 15:20:16,0.814,
2026-05-08 15:20:46,0.775,
2026-05-08 15:21:16,0.771,
2026-05-08 15:21:46,0.742,
2026-05-08 15:22:16,0.756,
2026-05-08 15:22:46,0.737,
2026-05-08 15:23:16,0.720,
2026-05-08 15:23:46,0.756,
2026-05-08 15:24:16,0.742,
2026-05-08 15:24:46,0.727,
2026-05-08 15:25:16,0.765,
2026-05-08 15:25:46,0.765,
2026-05-08 15:26:16,0.785,
2026-05-08 15:26:46,0.820,
