workflow,quality_level,query_id,budget_factor,best_baseline,baseline_p90_min,sla_sec_old,sla_sec_new,p90_greedy,p90_murakkab_profile,p90_single_cloud
workflow1,Q1,workflow1_Q1_q0000,1.1,single_cloud,34.217677773080226,1238.437123190504,37.63944555038825,40.26952036343133,42.32830873793584,34.217677773080226
workflow1,Q1,workflow1_Q1_q0001,1.1,greedy,69.73866521542709,1741.424531326721,76.71253173696981,69.73866521542709,78.04337108978541,82.09563296653783
workflow1,Q1,workflow1_Q1_q0002,1.1,greedy,79.42298942868192,1901.8053757732955,87.36528837155011,79.42298942868192,87.84561093321436,97.67619050939177
workflow1,Q1,workflow1_Q1_q0003,1.1,single_cloud,34.77840579803543,1263.1927870808126,38.25624637783898,43.172003565744944,45.87134898148576,34.77840579803543
workflow1,Q1,workflow1_Q1_q0004,1.1,greedy,64.98946093320576,1629.7365797476405,71.48840702652635,64.98946093320576,69.30321577291504,69.69415050023828
workflow1,Q1,workflow1_Q1_q0005,1.1,greedy,91.77991264000087,2117.095993044325,100.95790390400097,91.77991264000087,103.45150163166453,117.9482072473955
workflow1,Q1,workflow1_Q1_q0006,1.1,greedy,80.77087758458623,1896.2102295318768,88.84796534304486,80.77087758458623,88.3021848228545,94.95057171511912
workflow1,Q1,workflow1_Q1_q0007,1.1,single_cloud,54.38759636524432,1468.331146273549,59.82635600176876,55.394325912931784,58.5943312732862,54.38759636524432
workflow1,Q1,workflow1_Q1_q0008,1.1,greedy,89.44635675655266,2074.842193817066,98.39099243220794,89.44635675655266,101.14997630540323,112.4610866546977
workflow1,Q1,workflow1_Q1_q0009,1.1,greedy,61.9731059533954,1577.1589834817812,68.17041654873495,61.9731059533954,65.49498572278512,66.03847149891807
workflow1,Q1,workflow1_Q1_q0010,1.1,greedy,87.2944441559419,2075.3978457480425,96.0238885715361,87.2944441559419,101.05643475786685,115.65572316251027
workflow1,Q1,workflow1_Q1_q0011,1.1,greedy,55.45070772836298,1528.7584400032408,60.99577850119928,55.45070772836298,59.88285341395048,60.94500098014932
workflow1,Q1,workflow1_Q1_q0012,1.1,greedy,74.56697562619786,1816.055767370785,82.02367318881765,74.56697562619786,83.43544705122902,88.89433929546949
workflow1,Q1,workflow1_Q1_q0013,1.1,greedy,63.97892413745918,1625.3829067993645,70.37681655120511,63.97892413745918,71.06235971345937,71.40158191396465
workflow1,Q1,workflow1_Q1_q0014,1.1,greedy,57.07038051539594,1504.977500044496,62.77741856693554,57.07038051539594,60.74272639227462,59.252223728203134
workflow1,Q1,workflow1_Q1_q0015,1.1,greedy,92.63756108579345,2108.1457563014637,101.90131719437281,92.63756108579345,104.87878112415127,119.2583299690233
workflow1,Q1,workflow1_Q1_q0016,1.1,greedy,49.12418852965268,1418.9673703923386,54.03660738261795,49.12418852965268,51.85589592657349,50.77534863198625
workflow1,Q1,workflow1_Q1_q0017,1.1,single_cloud,40.79124287329864,1317.6242289584625,44.87036716062851,45.39066906004763,46.850956238547305,40.79124287329864
workflow1,Q1,workflow1_Q1_q0018,1.1,greedy,62.62327109762741,1571.139961406021,68.88559820739016,62.62327109762741,65.76350908826919,64.44076336950103
workflow1,Q1,workflow1_Q1_q0019,1.1,greedy,84.55427974890564,1941.5921995745853,93.00970772379621,84.55427974890564,91.82132105048763,102.95630640120963
workflow1,Q1,workflow1_Q1_q0020,1.1,greedy,84.02334774291053,2030.127563492614,92.4256825172016,84.02334774291053,95.889972750127,109.97989766820653
workflow1,Q1,workflow1_Q1_q0021,1.1,greedy,98.17020670067028,2218.76096288583,107.98722737073732,98.17020670067028,108.9045322921191,130.1371418398644
workflow1,Q1,workflow1_Q1_q0022,1.1,greedy,54.08903379337274,1526.2129882130089,59.497937172710024,54.08903379337274,59.52912580516783,59.35383800340064
workflow1,Q1,workflow1_Q1_q0023,1.1,greedy,63.18874695381204,1636.2307638154443,69.50762164919325,63.18874695381204,69.49922092372192,70.8747768969377
workflow1,Q1,workflow1_Q1_q0024,1.1,single_cloud,45.12021927164869,1368.9057801372117,49.63224119881357,46.37616040941461,51.04888244630227,45.12021927164869
workflow1,Q1,workflow1_Q1_q0025,1.1,greedy,72.63300364082346,1800.823722608311,79.89630400490582,72.63300364082346,82.01245702466689,87.95939734685551
workflow1,Q1,workflow1_Q1_q0026,1.1,greedy,100.12977257604517,2217.6139167412366,110.1427498336497,100.12977257604517,112.68827043911733,130.56227361343707
workflow1,Q1,workflow1_Q1_q0027,1.1,greedy,81.932447435673,1925.0686759789687,90.1256921792403,81.932447435673,91.3429928009108,99.90838704995006
workflow1,Q1,workflow1_Q1_q0028,1.1,greedy,73.237321846652,1820.8798606475848,80.5610540313172,73.237321846652,82.57139563654071,90.17416374347755
workflow1,Q1,workflow1_Q1_q0029,1.1,greedy,63.673421395478435,1620.875925620889,70.04076353502629,63.673421395478435,69.53555264271075,71.87340667461615
workflow1,Q1,workflow1_Q1_q0030,1.1,greedy,93.36830628324013,2136.484577641557,102.70513691156415,93.36830628324013,104.90004849075727,122.61197134945267
workflow1,Q1,workflow1_Q1_q0031,1.1,greedy,69.07100570004799,1723.9597637845245,75.97810627005279,69.07100570004799,75.4101062700959,78.75595315599084
workflow1,Q1,workflow1_Q1_q0032,1.1,single_cloud,46.478656092381264,1366.4857765266786,51.126521701619396,47.887719842090114,50.71201190162568,46.478656092381264
workflow1,Q1,workflow1_Q1_q0033,1.1,greedy,60.80853407190764,1594.2631647143455,66.8893874790984,60.80853407190764,66.77051405466413,67.85024351302667
workflow1,Q1,workflow1_Q1_q0034,1.1,single_cloud,38.44797847575576,1300.226335483898,42.29277632333134,44.886414919391406,47.01466730164046,38.44797847575576
workflow1,Q1,workflow1_Q1_q0035,1.1,greedy,50.570871546697695,1433.1513311611386,55.62795870136747,50.570871546697695,54.24243384469333,53.64184553862192
workflow1,Q1,workflow1_Q1_q0036,1.1,single_cloud,34.88358757546457,1251.4214180659137,38.371946333011024,41.25643167613123,42.09159169965809,34.88358757546457
workflow1,Q1,workflow1_Q1_q0037,1.1,greedy,66.18933815101971,1680.933997669161,72.8082719661217,66.18933815101971,72.70021074575715,75.04223606715034
workflow1,Q1,workflow1_Q1_q0038,1.1,greedy,76.57995347936216,1859.656701242472,84.23794882729838,76.57995347936216,83.84093551064218,95.03215952582266
workflow1,Q1,workflow1_Q1_q0039,1.1,greedy,60.229830888907145,1572.4863679056032,66.25281397779787,60.229830888907145,64.66663809586208,65.77787155412736
workflow1,Q1,workflow1_Q1_q0040,1.1,greedy,65.42629396068223,1648.4964267042033,71.96892335675047,65.42629396068223,71.69136574274613,74.98760863288871
workflow1,Q1,workflow1_Q1_q0041,1.1,greedy,96.98148454320747,2179.780343024752,106.67963299752823,96.98148454320747,110.6492394771531,125.93467614260413
workflow1,Q1,workflow1_Q1_q0042,1.1,greedy,83.0161436604488,1975.435637872867,91.31775802649369,83.0161436604488,91.95688394931382,104.36129934194828
workflow1,Q1,workflow1_Q1_q0043,1.1,greedy,70.4146893478106,1767.284644027722,77.45615828259166,70.4146893478106,78.24222787386041,85.44124856682079
workflow1,Q1,workflow1_Q1_q0044,1.1,greedy,56.22758687895053,1514.5573028602598,61.85034556684559,56.22758687895053,60.566498526022194,59.117150247028995
workflow1,Q1,workflow1_Q1_q0045,1.1,greedy,92.57233831196346,2118.4388435901733,101.82957214315982,92.57233831196346,104.06196842312868,119.55544710120468
workflow1,Q1,workflow1_Q1_q0046,1.1,greedy,53.22108176454024,1465.8057572443302,58.54318994099427,53.22108176454024,56.33752425737842,54.55226343044628
workflow1,Q1,workflow1_Q1_q0047,1.1,greedy,58.108333107617455,1554.7879322894437,63.919166418379206,58.108333107617455,64.15669524261719,62.832166190454565
workflow1,Q1,workflow1_Q1_q0048,1.1,greedy,91.36427273675542,2130.337907021027,100.50070001043098,91.36427273675542,102.77087967726861,119.11972797273062
workflow1,Q1,workflow1_Q1_q0049,1.1,greedy,70.41010876821473,1756.1284665110811,77.4511196450362,70.41010876821473,76.91571859348066,82.72605140501975
workflow1,Q1,workflow1_Q1_q0050,1.1,greedy,81.73725412110471,1965.925498126125,89.9109795332152,81.73725412110471,92.30636203550124,105.20339118270685
workflow1,Q1,workflow1_Q1_q0051,1.1,greedy,70.98981133122906,1816.4743670454732,78.08879246435198,70.98981133122906,80.27156472408427,90.59587745501732
workflow1,Q1,workflow1_Q1_q0052,1.1,greedy,77.03674913571054,1878.2910600833625,84.7404240492816,77.03674913571054,86.6011951951837,95.49665104765344
workflow1,Q1,workflow1_Q1_q0053,1.1,greedy,59.847890393349545,1529.191925433618,65.8326794326845,59.847890393349545,62.7461569449217,61.74240956425712
workflow1,Q1,workflow1_Q1_q0054,1.1,single_cloud,53.52898934511479,1471.9928527638897,58.881888279626274,55.495907101935366,60.40747107015189,53.52898934511479
workflow1,Q1,workflow1_Q1_q0055,1.1,greedy,59.61412019349872,1551.977454308304,65.5755322128486,59.61412019349872,62.877848942991996,66.09570636035909
workflow1,Q1,workflow1_Q1_q0056,1.1,single_cloud,48.889726392173436,1387.2653821862546,53.778699031390786,49.33556335506582,51.16590116688809,48.889726392173436
