workflow,quality_level,query_count,full_wall_time_sec,decomposed_wall_time_sec,wall_speedup_full_over_decomp,full_solver_runtime_sec,decomposed_solver_runtime_sec,full_max_rss_mb,decomposed_max_rss_mb,memory_ratio_full_over_decomp
workflow1,Q1,100,29.310928874998353,18.169049457996152,1.6132340298131935,12.726513000001432,3.1271649169939337,1058.21875,930.0,1.137869623655914
workflow1,Q1,200,53.72290887498821,28.3734634170105,1.8934209083118199,27.498519040993415,7.153814334000344,1317.890625,1132.875,1.1633151274412445
workflow1,Q1,300,72.01547208300326,36.66837679198943,1.9639667305572073,36.79166470900236,10.681171750009526,1852.828125,1462.953125,1.2664986275619734
workflow1,Q1,400,97.84463437499652,48.4856483330077,2.0180122931013087,53.19665795798937,16.247511708003003,2148.140625,1733.453125,1.2392262553970128
workflow1,Q1,500,125.23118433299533,58.860667832996114,2.1275868749622515,71.83016033300373,20.36873212500359,2341.765625,2032.03125,1.1524259900038447
workflow1,Q1,600,155.25258958399354,68.93027645800612,2.2523134616843867,91.10495979100232,24.540917125006672,3071.625,2264.546875,1.3563971821073477
workflow1,Q1,700,181.12071866700717,77.32133525000245,2.342441682898918,108.0744704999961,27.99701425000967,3267.875,2508.671875,1.3026314969947992
workflow1,Q1,800,221.19015899999067,91.27223479100212,2.423411232413433,135.95188599999528,35.92963037500158,3050.546875,2789.25,1.0936799766962446
workflow1,Q1,900,245.04683041700628,101.00435012500384,2.4261017482290046,152.47379287499643,40.07617862499319,3083.421875,3035.125,1.015912647749269
workflow1,Q1,1000,290.90452516700316,110.46727808300056,2.63339995531011,188.11323670799905,43.22689900000114,3841.734375,3302.46875,1.163291666272391
workflow1,Q2,100,25.8706302500068,17.96418637500028,1.440122569982321,9.20529450000322,3.0677457919955486,1036.734375,903.15625,1.147901456697
workflow1,Q2,200,46.698716041995795,26.99485800000548,1.7299115276689478,21.668117541004904,6.431236667005578,1372.828125,1143.453125,1.2005985160082535
workflow1,Q2,300,70.4778302909981,36.758553666004445,1.9173178284263774,35.16952075000154,10.09429716700106,1915.015625,1407.15625,1.3609118568033933
workflow1,Q2,400,90.50562541600084,43.45126249999157,2.0829228015185612,48.34054741699947,13.074267999996664,2308.890625,1659.9375,1.3909503369855793
workflow1,Q2,500,115.06924479101144,55.8499147919938,2.0603298182203647,63.40912895799556,17.86478691600496,2415.78125,1928.453125,1.2527041589356755
workflow1,Q2,600,147.83028191700578,63.52318787500553,2.327186132533071,85.87933658401016,21.468688417007797,2739.609375,2215.40625,1.236617155431425
workflow1,Q2,700,169.42655141699652,75.27015804100665,2.2509126568419604,98.45174387498992,26.701574500009883,3169.125,2430.75,1.3037642702869485
workflow1,Q2,800,188.12499241699695,80.15590258299198,2.3469886353311997,108.69055291700352,28.22117779200198,3432.859375,2637.140625,1.301735426035538
workflow1,Q2,900,212.71601958300744,90.78936954200616,2.3429617438260615,126.42471008299616,32.73410587500257,2977.171875,2836.796875,1.0494836275508799
workflow1,Q2,1000,245.47447441700209,97.94203312500032,2.5063240631702097,147.42993687500712,34.73679574999551,3376.46875,3134.4375,1.0772168052481506
workflow1,Q3,100,26.22913933300879,27.797740125010023,0.9435709239331315,10.462523624999449,6.775643125001807,1175.265625,1088.484375,1.07972668417955
workflow1,Q3,200,52.50253691599937,59.90208995901048,0.8764725396380253,27.261924417005503,19.44783641700633,1511.84375,1507.359375,1.0029749873018834
workflow1,Q3,300,70.3005604580103,83.6851692499913,0.8400599662767319,35.84165945799032,30.75738429100602,1958.765625,1918.15625,1.0211710464150143
workflow1,Q3,400,92.81123445898992,80.04182720898825,1.1595341797565526,50.49399925000034,30.27098808300798,2407.390625,2319.09375,1.0380738704504724
workflow1,Q3,500,119.305369040987,139.2099770829955,0.857017374335594,66.500720541997,58.18058187498536,2663.203125,2789.390625,0.9547616246828105
workflow1,Q3,600,137.85033504200692,165.8068750000093,0.8313909483065716,77.62001700000837,71.68155108300562,2615.796875,2857.765625,0.9153293930463594
workflow1,Q3,700,183.75404670799617,199.0259756250016,0.9232666546713465,113.26691154099537,88.10035054200853,2472.453125,3212.171875,0.7697138326385478
workflow1,Q3,800,195.90102054199087,148.77278325000952,1.3167799664860966,117.08559925000009,62.62136812499375,3343.0,2970.734375,1.1253109763473887
workflow1,Q3,900,219.34745345800184,318.54626045799523,0.6885890078967851,133.58564333400864,147.7849394580262,3569.46875,3983.0625,0.8961618729306909
workflow1,Q3,1000,239.1589929589973,347.0952156669955,0.6890299323181894,143.37765045800188,158.6529868330108,3642.421875,4151.359375,0.8774046152051098
workflow2,Q1,100,124.52137825000682,53.284308000002056,2.336924001152497,77.58167154100374,19.80904962499335,2781.65625,1595.890625,1.743011837042404
workflow2,Q1,200,286.0738237080077,90.78537500000677,3.1511003144282475,199.0645655420085,38.84583108300285,3647.09375,2735.90625,1.3330477789580693
workflow2,Q1,300,434.9665668749949,135.19168116600486,3.2174063013602874,307.1929499999969,61.91154404099507,4438.90625,3779.359375,1.1745128762728472
workflow2,Q1,400,634.2391619590053,182.0103242089972,3.4846328894548138,466.1944960420078,85.77205849999154,5703.375,4848.34375,1.1763553275280862
