workflow,quality,method,logical_node,provider,region,endpoint_id,execution_cost,storage_cost,service_cost
workflow2,Q1,SkyFlow,Video Caption,AWS,us-west-2,video_caption_aws_us-west-2_q1,0.26764673624519264,7.796167329118172e-07,0.2676475158619256
workflow2,Q1,SkyFlow,OCR,Azure,eastus,ocr_azure_eastus_q1,0.0034674907143378442,6.242994047226192e-07,0.003468115013742567
workflow2,Q1,SkyFlow,Label Detection,Aliyun,cn-shanghai,label_detection_aliyun_cn-shanghai_q1,0.001005572307157929,5.907014670801321e-07,0.0010061630086250091
workflow2,Q1,SkyFlow,Speech Transcription,Aliyun,cn-shanghai,speech_transcription_aliyun_cn-shanghai_q1,0.09463412160066142,8.753977578168793e-05,0.0947216613764431
workflow2,Q1,SkyFlow,Database,Aliyun,cn-shanghai,database_aliyun_cn-shanghai_q1,1.2253333333340943,3.32342718102217e-06,1.2253366567612753
workflow2,Q1,SkyFlow,Q/A,AWS,eu-central-1,q_a_aws_eu-central-1_q1,0.017204175827157213,4.130803433942985e-08,0.017204217135191553
workflow2,Q1,Greedy,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q1,0.4654137127901212,0.00017473214477581138,0.46558844493489704
workflow2,Q1,Greedy,Speech Transcription,Aliyun,cn-shanghai,speech_transcription_aliyun_cn-shanghai_q1,0.09463412160066142,8.753977578168793e-05,0.0947216613764431
workflow2,Q1,Greedy,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q1,0.01706516946897131,8.795188869022822e-05,0.017153121357661543
workflow2,Q1,Greedy,Video Caption,Azure,eastus,video_caption_azure_eastus_q1,0.26764673624519264,6.23693386329457e-07,0.26764735993857897
workflow2,Q1,Greedy,OCR,Azure,eastus,ocr_azure_eastus_q1,0.0034674907143378442,6.242994047226192e-07,0.003468115013742567
workflow2,Q1,Greedy,Label Detection,Aliyun,cn-shanghai,label_detection_aliyun_cn-shanghai_q1,0.001005572307157929,5.907014670801321e-07,0.0010061630086250091
workflow2,Q1,Greedy,Database,Aliyun,cn-shanghai,database_aliyun_cn-shanghai_q1,1.2253333333340943,3.32342718102217e-06,1.2253366567612753
workflow2,Q1,Greedy,Q/A,Azure,westus2,q_a_azure_westus2_q1,0.017204175827157213,3.1023176810020614e-08,0.01720420685033402
workflow2,Q1,Murakkab-style,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q1,0.4654137127901212,0.00017473214477581138,0.46558844493489704
workflow2,Q1,Murakkab-style,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q1,0.01706516946897131,8.795188869022822e-05,0.017153121357661543
workflow2,Q1,Murakkab-style,Video Caption,Anthropic,global,video_caption_anthropic_global_q1,0.26764673624519264,0.0,0.26764673624519264
workflow2,Q1,Murakkab-style,OCR,AWS,ap-southeast-1,ocr_aws_ap-southeast-1_q1,0.0034674907143378442,8.482328868513871e-07,0.0034683389472246954
workflow2,Q1,Murakkab-style,Label Detection,Aliyun,ap-southeast-1,label_detection_aliyun_ap-southeast-1_q1,0.001005572307157929,5.804580890382767e-07,0.0010061527652469673
workflow2,Q1,Murakkab-style,Speech Transcription,Aliyun,cn-beijing,speech_transcription_aliyun_cn-beijing_q1,0.09463412160066142,8.753977578168793e-05,0.0947216613764431
workflow2,Q1,Murakkab-style,Database,Aliyun,cn-beijing,database_aliyun_cn-beijing_q1,1.2253333333340943,3.32342718102217e-06,1.2253366567612753
workflow2,Q1,Murakkab-style,Q/A,Anthropic,global,q_a_anthropic_global_q1,0.017204175827157213,0.0,0.017204175827157213
workflow2,Q2,SkyFlow,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q2,0.4544175731746092,0.00017060381978995344,0.4545881769943992
workflow2,Q2,SkyFlow,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q2,0.01666197768306908,8.672744439610993e-05,0.01674870512746519
workflow2,Q2,SkyFlow,Video Caption,Azure,eastus,video_caption_azure_eastus_q2,1.9684117272861923,1.5199707050761624e-06,1.9684132472568971
workflow2,Q2,SkyFlow,OCR,Azure,eastus,ocr_azure_eastus_q2,0.008437845833339314,1.5191792911420923e-06,0.008439365012630455
workflow2,Q2,SkyFlow,Label Detection,Aliyun,cn-shanghai,label_detection_aliyun_cn-shanghai_q2,0.002446975291668253,1.4373530208645227e-06,0.0024484126446891173
workflow2,Q2,SkyFlow,Speech Transcription,Aliyun,cn-shanghai,speech_transcription_aliyun_cn-shanghai_q2,0.09239823987883,8.547147011253388e-05,0.09248371134894254
workflow2,Q2,SkyFlow,Database,Aliyun,cn-shanghai,database_aliyun_cn-shanghai_q2,1.2253333333340943,3.462864617827906e-06,1.225336796198712
workflow2,Q2,SkyFlow,Q/A,Anthropic,global,q_a_anthropic_global_q2,0.06762706989943468,0.0,0.06762706989943468
workflow2,Q2,Greedy,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q2,0.4544175731746092,0.00017060381978995344,0.4545881769943992
workflow2,Q2,Greedy,Speech Transcription,Aliyun,cn-shanghai,speech_transcription_aliyun_cn-shanghai_q2,0.09239823987883,8.547147011253388e-05,0.09248371134894254
workflow2,Q2,Greedy,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q2,0.01666197768306908,8.672744439610993e-05,0.01674870512746519
workflow2,Q2,Greedy,Video Caption,Azure,westus2,video_caption_azure_westus2_q2,1.9684117272861923,1.5199707050761624e-06,1.9684132472568971
workflow2,Q2,Greedy,OCR,Azure,eastus,ocr_azure_eastus_q2,0.008437845833339314,1.5191792911420923e-06,0.008439365012630455
workflow2,Q2,Greedy,Label Detection,Aliyun,cn-shanghai,label_detection_aliyun_cn-shanghai_q2,0.002446975291668253,1.4373530208645227e-06,0.0024484126446891173
workflow2,Q2,Greedy,Database,Aliyun,cn-shanghai,database_aliyun_cn-shanghai_q2,1.2253333333340943,3.462864617827906e-06,1.225336796198712
workflow2,Q2,Greedy,Q/A,Azure,eastus,q_a_azure_eastus_q2,0.06762706989943468,3.460016600057923e-08,0.06762710449960069
workflow2,Q2,Murakkab-style,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q2,0.4544175731746092,0.00017060381978995344,0.4545881769943992
workflow2,Q2,Murakkab-style,Video Split & Sample,Aliyun,ap-southeast-1,video_split_and_sample_aliyun_ap-southeast-1_q2,0.01666197768306908,8.522350027363431e-05,0.016747201183342712
workflow2,Q2,Murakkab-style,Video Caption,Anthropic,global,video_caption_anthropic_global_q2,1.9684117272861923,0.0,1.9684117272861923
workflow2,Q2,Murakkab-style,OCR,AWS,ap-southeast-1,ocr_aws_ap-southeast-1_q2,0.008437845833339314,2.064102297747403e-06,0.008439909935637062
workflow2,Q2,Murakkab-style,Label Detection,Aliyun,ap-southeast-1,label_detection_aliyun_ap-southeast-1_q2,0.002446975291668253,1.4124278239709063e-06,0.002448387719492224
workflow2,Q2,Murakkab-style,Speech Transcription,Aliyun,cn-beijing,speech_transcription_aliyun_cn-beijing_q2,0.09239823987883,8.547147011253388e-05,0.09248371134894254
workflow2,Q2,Murakkab-style,Database,Aliyun,cn-beijing,database_aliyun_cn-beijing_q2,1.2253333333340943,3.462864617827906e-06,1.225336796198712
workflow2,Q2,Murakkab-style,Q/A,AWS,us-west-2,q_a_aws_us-west-2_q2,0.06762706989943468,4.3250207500724476e-08,0.06762711314964218
workflow2,Q3,SkyFlow,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q3,0.4601375130566539,0.00017275127985850536,0.4603102643365124
workflow2,Q3,SkyFlow,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q3,0.016871708812077196,8.925136427398926e-05,0.016960960176351184
workflow2,Q3,SkyFlow,Video Caption,Azure,eastus,video_caption_azure_eastus_q3,6.699509583525596,3.0738477041206246e-06,6.699512657373299
workflow2,Q3,SkyFlow,OCR,AWS,eu-central-1,ocr_aws_eu-central-1_q3,0.01702162849138304,4.0806272549470814e-06,0.01702570911863799
workflow2,Q3,SkyFlow,Label Detection,Aliyun,cn-shanghai,label_detection_aliyun_cn-shanghai_q3,0.0049362722625008225,2.8997502298390593e-06,0.0049391720127306615
workflow2,Q3,SkyFlow,Speech Transcription,Aliyun,cn-shanghai,speech_transcription_aliyun_cn-shanghai_q3,0.09356129432151247,8.654733511058625e-05,0.09364784165662306
workflow2,Q3,SkyFlow,Database,Aliyun,cn-shanghai,database_aliyun_cn-shanghai_q3,1.2253333333340943,3.975204959028211e-06,1.2253373085390533
workflow2,Q3,SkyFlow,Q/A,Anthropic,global,q_a_anthropic_global_q3,0.164579172044239,0.0,0.164579172044239
workflow2,Q3,Greedy,Speech Transcription,Aliyun,cn-shanghai,speech_transcription_aliyun_cn-shanghai_q3,0.09356129432151247,8.654733511058625e-05,0.09364784165662306
workflow2,Q3,Greedy,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q3,0.4601375130566539,0.00017275127985850536,0.4603102643365124
workflow2,Q3,Greedy,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q3,0.016871708812077196,8.925136427398926e-05,0.016960960176351184
workflow2,Q3,Greedy,Video Caption,Azure,westus2,video_caption_azure_westus2_q3,6.699509583525596,3.0738477041206246e-06,6.699512657373299
workflow2,Q3,Greedy,OCR,Azure,westus2,ocr_azure_westus2_q3,0.01702162849138304,3.064634346572484e-06,0.01702469312572961
workflow2,Q3,Greedy,Label Detection,Aliyun,cn-shanghai,label_detection_aliyun_cn-shanghai_q3,0.0049362722625008225,2.8997502298390593e-06,0.0049391720127306615
workflow2,Q3,Greedy,Database,Aliyun,cn-shanghai,database_aliyun_cn-shanghai_q3,1.2253333333340943,3.975204959028211e-06,1.2253373085390533
workflow2,Q3,Greedy,Q/A,Azure,eastus,q_a_azure_eastus_q3,0.164579172044239,4.281946475134841e-08,0.16457921486370375
workflow2,Q3,Murakkab-style,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q3,0.4601375130566539,0.00017275127985850536,0.4603102643365124
workflow2,Q3,Murakkab-style,Video Split & Sample,Aliyun,ap-southeast-1,video_split_and_sample_aliyun_ap-southeast-1_q3,0.016871708812077196,8.770365275478703e-05,0.016959412464831982
workflow2,Q3,Murakkab-style,Video Caption,Anthropic,global,video_caption_anthropic_global_q3,6.699509583525596,0.0,6.699509583525596
workflow2,Q3,Murakkab-style,OCR,AWS,ap-southeast-1,ocr_aws_ap-southeast-1_q3,0.01702162849138304,4.163905362190897e-06,0.017025792396745232
workflow2,Q3,Murakkab-style,Label Detection,Aliyun,ap-southeast-1,label_detection_aliyun_ap-southeast-1_q3,0.0049362722625008225,2.84946554377244e-06,0.0049391217280445945
workflow2,Q3,Murakkab-style,Speech Transcription,Aliyun,cn-beijing,speech_transcription_aliyun_cn-beijing_q3,0.09356129432151247,8.654733511058625e-05,0.09364784165662306
workflow2,Q3,Murakkab-style,Database,Aliyun,cn-beijing,database_aliyun_cn-beijing_q3,1.2253333333340943,3.975204959028211e-06,1.2253373085390533
workflow2,Q3,Murakkab-style,Q/A,Anthropic,global,q_a_anthropic_global_q3,0.164579172044239,0.0,0.164579172044239
