workflow,quality_level,query_id,budget_factor,best_baseline,baseline_p90_min,sla_sec_old,sla_sec_new,p90_greedy,p90_murakkab_profile,p90_single_cloud
workflow1,Q1,workflow1_Q1_q0000,1.1,greedy,73.10257182053586,1629.7365797476405,80.41282900258945,73.10257182053586,78.59597969305943,84.22257602723201
workflow1,Q1,workflow1_Q1_q0001,1.1,greedy,112.44366096920457,2117.095993044325,123.68802706612504,112.44366096920457,126.06453257882112,135.34771620846288
workflow1,Q1,workflow1_Q1_q0002,1.1,greedy,97.09372109430984,1896.2102295318768,106.80309320374083,97.09372109430984,106.84718412853496,115.19190446095087
workflow1,Q1,workflow1_Q1_q0003,1.1,greedy,65.31465159399968,1468.331146273549,71.84611675339966,65.31465159399968,70.04065121939654,75.00733206988255
workflow1,Q1,workflow1_Q1_q0004,1.1,greedy,109.34418123035937,2074.842193817066,120.27859935339531,109.34418123035937,120.24419949490067,128.42155979969647
workflow1,Q1,workflow1_Q1_q0005,1.1,greedy,71.3093569463599,1577.1589834817812,78.44029264099589,71.3093569463599,75.83964046634044,81.44636832341534
workflow1,Q1,workflow1_Q1_q0006,1.1,greedy,109.37693739432721,2075.3978457480425,120.31463113375995,109.37693739432721,123.3406309175216,133.5508561264191
workflow1,Q1,workflow1_Q1_q0007,1.1,greedy,70.62318661370264,1528.7584400032408,77.68550527507291,70.62318661370264,75.6789520560933,80.70655625027756
workflow1,Q1,workflow1_Q1_q0008,1.1,greedy,86.85179452016213,1816.055767370785,95.53697397217834,86.85179452016213,96.71999543705334,104.64172414756072
workflow1,Q1,workflow1_Q1_q0009,1.1,greedy,78.46515793181011,1625.3829067993645,86.31167372499112,78.46515793181011,85.08367864764,90.92576642116929
workflow1,Q1,workflow1_Q1_q0010,1.1,greedy,69.09791811034167,1504.977500044496,76.00770992137583,69.09791811034167,73.34341116592527,77.99231204166259
workflow1,Q1,workflow1_Q1_q0011,1.1,greedy,108.86784561654729,2108.1457563014637,119.75463017820202,108.86784561654729,122.9819929755642,132.81119246875693
workflow1,Q1,workflow1_Q1_q0012,1.1,greedy,60.14484059667763,1418.9673703923386,66.1593246563454,60.14484059667763,64.06594218378795,68.4231628883743
workflow1,Q1,workflow1_Q1_q0013,1.1,greedy,54.518087298646165,1317.6242289584625,59.96989602851079,54.518087298646165,56.85855891051649,60.54230847229857
workflow1,Q1,workflow1_Q1_q0014,1.1,greedy,72.50662992831805,1571.139961406021,79.75729292114985,72.50662992831805,77.68621767145598,82.7160080573253
workflow1,Q1,workflow1_Q1_q0015,1.1,greedy,95.82835345528086,1941.5921995745853,105.41118880080896,95.82835345528086,107.34840790571863,116.21765182079105
workflow1,Q1,workflow1_Q1_q0016,1.1,greedy,104.07345306732091,2030.127563492614,114.48079837405301,104.07345306732091,116.35639012257859,124.91067040818189
workflow1,Q1,workflow1_Q1_q0017,1.1,greedy,120.83856422504336,2218.76096288583,132.9224206475477,120.83856422504336,133.17098023044136,143.7547052872508
workflow1,Q1,workflow1_Q1_q0018,1.1,greedy,67.2724865278811,1526.2129882130089,73.99973518066922,67.2724865278811,72.68292839584632,77.92098076204631
workflow1,Q1,workflow1_Q1_q0019,1.1,greedy,74.3427459003418,1636.2307638154443,81.77702049037599,74.3427459003418,80.71613994550765,86.8749187629869
workflow1,Q1,workflow1_Q1_q0020,1.1,greedy,58.02854983911622,1368.9057801372117,63.83140482302785,58.02854983911622,61.05429236633815,65.1976728262276
