workflow,quality_level,query_count,sample_count,scenario_count,method,status,objective_value,solver_runtime_sec,wall_time_sec,max_rss_mb,num_iterations,active_scenario_count,active_scenario_fraction,error,process_exitcode
workflow2,Q2,25,10,250,full_milp,FAILED,,,1.182633334014099,187.671875,0,0,,"GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
Traceback (most recent call last):
  File ""/Users/heng/Documents/skybridge/sim/scripts/run_decomposition_scaling_sweep.py"", line 68, in _worker
    result = solve_full_milp(workflow, endpoints, queries, scenarios, quality, config)
  File ""/Users/heng/Documents/skybridge/sim/src/milp_full.py"", line 48, in solve_full_milp
    x_sol, y_sol, alpha_val, z_sol, status, runtime, obj = solve_model(artifacts)
  File ""/Users/heng/Documents/skybridge/sim/src/milp_model.py"", line 362, in solve_model
    artifacts.model.optimize()
  File ""src/gurobipy/_model.pyx"", line 926, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
",0
workflow2,Q2,25,10,250,decomposition,OPTIMAL,3.856903942192424,0.1318461259943433,3.3258557089720853,283.3125,2,63,0.252,,0
workflow2,Q2,40,2,80,full_milp,OPTIMAL,3.81141718679801,0.07990675000473857,1.4550821669981815,217.0625,1,80,1.0,,0
workflow2,Q2,40,2,80,decomposition,OPTIMAL,3.8113959796445784,0.028075250040274113,1.9413556670187972,244.65625,1,16,0.2,,0
workflow2,Q2,40,6,240,full_milp,FAILED,,,1.2509450420038775,181.453125,0,0,,"GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
Traceback (most recent call last):
  File ""/Users/heng/Documents/skybridge/sim/scripts/run_decomposition_scaling_sweep.py"", line 68, in _worker
    result = solve_full_milp(workflow, endpoints, queries, scenarios, quality, config)
  File ""/Users/heng/Documents/skybridge/sim/src/milp_full.py"", line 48, in solve_full_milp
    x_sol, y_sol, alpha_val, z_sol, status, runtime, obj = solve_model(artifacts)
  File ""/Users/heng/Documents/skybridge/sim/src/milp_model.py"", line 362, in solve_model
    artifacts.model.optimize()
  File ""src/gurobipy/_model.pyx"", line 926, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
",0
workflow2,Q2,40,6,240,decomposition,OPTIMAL,3.816329908504138,0.04990083398297429,2.264277709007729,255.546875,1,48,0.2,,0
workflow2,Q2,40,10,400,full_milp,FAILED,,,1.511732084036339,211.03125,0,0,,"GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
Traceback (most recent call last):
  File ""/Users/heng/Documents/skybridge/sim/scripts/run_decomposition_scaling_sweep.py"", line 68, in _worker
    result = solve_full_milp(workflow, endpoints, queries, scenarios, quality, config)
  File ""/Users/heng/Documents/skybridge/sim/src/milp_full.py"", line 48, in solve_full_milp
    x_sol, y_sol, alpha_val, z_sol, status, runtime, obj = solve_model(artifacts)
  File ""/Users/heng/Documents/skybridge/sim/src/milp_model.py"", line 362, in solve_model
    artifacts.model.optimize()
  File ""src/gurobipy/_model.pyx"", line 926, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
",0
workflow2,Q2,40,10,400,decomposition,OPTIMAL,3.8239717950313046,0.08378387498669326,2.7403023749939166,277.875,1,80,0.2,,0
workflow2,Q2,50,2,100,full_milp,OPTIMAL,3.780425242486672,0.09452920797048137,1.5354026249842718,219.421875,1,100,1.0,,0
workflow2,Q2,50,2,100,decomposition,OPTIMAL,3.780424175377657,0.033108417002949864,2.1395512919989415,247.71875,1,20,0.2,,0
workflow2,Q2,50,6,300,full_milp,FAILED,,,1.2994576250202954,192.671875,0,0,,"GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
Traceback (most recent call last):
  File ""/Users/heng/Documents/skybridge/sim/scripts/run_decomposition_scaling_sweep.py"", line 68, in _worker
    result = solve_full_milp(workflow, endpoints, queries, scenarios, quality, config)
  File ""/Users/heng/Documents/skybridge/sim/src/milp_full.py"", line 48, in solve_full_milp
    x_sol, y_sol, alpha_val, z_sol, status, runtime, obj = solve_model(artifacts)
  File ""/Users/heng/Documents/skybridge/sim/src/milp_model.py"", line 362, in solve_model
    artifacts.model.optimize()
  File ""src/gurobipy/_model.pyx"", line 926, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
",0
workflow2,Q2,50,6,300,decomposition,OPTIMAL,3.773832552602814,0.06243516696849838,2.5134655840229243,258.296875,1,60,0.2,,0
workflow2,Q2,50,10,500,full_milp,FAILED,,,1.7343241249909624,224.40625,0,0,,"GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
Traceback (most recent call last):
  File ""/Users/heng/Documents/skybridge/sim/scripts/run_decomposition_scaling_sweep.py"", line 68, in _worker
    result = solve_full_milp(workflow, endpoints, queries, scenarios, quality, config)
  File ""/Users/heng/Documents/skybridge/sim/src/milp_full.py"", line 48, in solve_full_milp
    x_sol, y_sol, alpha_val, z_sol, status, runtime, obj = solve_model(artifacts)
  File ""/Users/heng/Documents/skybridge/sim/src/milp_model.py"", line 362, in solve_model
    artifacts.model.optimize()
  File ""src/gurobipy/_model.pyx"", line 926, in gurobipy._model.Model.optimize
gurobipy._exception.GurobiError: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
",0
workflow2,Q2,50,10,500,decomposition,OPTIMAL,3.7754329612134923,0.12090829201042652,3.034087833017111,288.375,1,100,0.2,,0
