workflow,quality,component,cost_mean,cost_share,latency_mean_on_critical_path,latency_p95_on_critical_path,latency_share
workflow1,Q1,edge:ClientSource->Shot Detection,0.0,0.0,126.68907928030418,239.45386700738106,0.23993990479749777
workflow1,Q1,edge:Q/A->ClientSink,2.5757517782571784e-08,2.1233416503207715e-08,0.06522202778976698,0.06523086660167936,0.00012352577844497274
workflow1,Q1,edge:Shot Detection->Video Split & Sample,0.0,0.0,9.105332810771863e-06,1.7210301928655515e-05,1.724483830948312e-08
workflow1,Q1,edge:Video Caption->Q/A,0.0,0.0,1.5261334726679594e-10,4.5591820064576213e-10,2.8903858345204136e-13
workflow1,Q1,edge:Video Split & Sample->Video Caption,0.0070381983360051584,0.005801995283943837,10.160751657331955,19.654740565394096,0.019243724867059383
workflow1,Q1,node:Q/A,0.039444252422210495,0.03251618604744415,1.6350339374188618,1.8161440447331842,0.003096635396780805
workflow1,Q1,node:Shot Detection,0.9207886363914021,0.7590595022765889,56.51482284931928,93.22052138818202,0.10703496537464584
workflow1,Q1,node:Video Caption,0.20724575316784977,0.17084469989229523,316.1027169379012,942.2804787525412,0.5986755625597305
workflow1,Q1,node:Video Split & Sample,0.038548293678303244,0.031777595266311284,16.835738162716257,29.63081378778818,0.031885663980713394
workflow1,Q2,edge:ClientSource->Shot Detection,0.0,0.0,97.68803831668055,182.82288422344837,0.04975359859587287
workflow1,Q2,edge:Q/A->ClientSink,2.575299338150186e-08,9.087682668438543e-09,0.0635030517014185,0.06351161904060551,3.234280673876365e-05
workflow1,Q2,edge:Shot Detection->Video Split & Sample,0.0,0.0,9.133265019359631e-06,1.7093373111642423e-05,4.65167291178324e-09
workflow1,Q2,edge:Video Caption->Q/A,0.0,0.0,3.828974335523941e-10,1.1569361464737042e-09,1.950138987395633e-13
workflow1,Q2,edge:Video Split & Sample->Video Caption,0.017592891461219663,0.0062081565607315274,17.389966841845354,33.28856567058773,0.008856902490353057
workflow1,Q2,node:Q/A,0.29519068131162685,0.10416650207222604,3.0938369084849344,3.503075335978035,0.0015757253632922193
workflow1,Q2,node:Shot Detection,0.9236133173549033,0.3259234610953677,47.198744728517894,76.97169843528206,0.02403884282985718
workflow1,Q2,node:Video Caption,1.558720079798621,0.5500391059125489,1783.9435088984162,5386.741881768514,0.9085821640896755
workflow1,Q2,node:Video Split & Sample,0.0387180226737546,0.013662765271443202,14.059029340830676,24.520663677826814,0.007160419172342504
workflow1,Q3,edge:ClientSource->Shot Detection,0.0,0.0,217.31777198933497,415.2511010787874,0.055448830446111576
workflow1,Q3,edge:Q/A->ClientSink,2.4886064563521576e-08,3.609239277428721e-09,0.06524619155229446,0.06525208770202749,1.664762609850077e-05
workflow1,Q3,edge:Shot Detection->Video Split & Sample,0.0,0.0,8.773966407631898e-06,1.676552456961854e-05,2.238685640954093e-09
workflow1,Q3,edge:Video Caption->Q/A,0.0,0.0,7.360768763812791e-10,2.191431823986705e-09,1.8781069555494973e-13
workflow1,Q3,edge:Video Split & Sample->Video Caption,0.03365632392685533,0.004881194691937294,24.84270423498741,48.550779227221824,0.006338638954094911
workflow1,Q3,node:Q/A,0.9440534786012893,0.13691658181886618,3.4820275218699828,3.9138071023204035,0.000888442541543901
workflow1,Q3,node:Shot Detection,0.8872787774072024,0.1286825164851957,36.86208323217713,60.67928408943147,0.009405394617849068
workflow1,Q3,node:Video Caption,4.992834311588716,0.7241134353357863,3625.8030837232204,10790.627441165318,0.9251270090796985
workflow1,Q3,node:Video Split & Sample,0.03727675712850247,0.005406268058975236,10.876051107908296,19.3628009874626,0.002775034495730275
workflow2,Q1,edge:ClientSource->Shot Detection,0.0,0.0,127.42764073579548,238.0931795859952,0.2080592250087687
workflow2,Q1,edge:ClientSource->Speech Transcription,0.0,0.0,0.0,0.0,0.0
