setting,method,expected_cost,avg_latency,p95_latency,network_cost,egress_cost_pct_of_total,internal_network_latency_critical_path_mean_sec,internal_network_latency_total_mean_sec,internal_critical_net_latency_pct_of_mean,internal_total_net_latency_pct_of_mean,internal_critical_net_latency_pct_of_p95,network_latency_critical_path_mean_sec,network_latency_total_mean_sec,all_critical_net_latency_pct_of_mean,all_total_net_latency_pct_of_mean,all_critical_net_latency_pct_of_p95
W1-Q1,SkyFlow,1.2130651597532884,528.0033739582669,1260.508716279426,0.0070382240935229,0.5802016517360309,10.16076076281738,10.16076076281738,1.9243742112186732,1.9243742112186732,0.8060841334606822,136.91506207091135,136.91506207091135,25.930717268812952,25.930717268812952,10.861889354881733
W1-Q1,Greedy,1.2130559674648498,610.4063506904079,1513.9528082061663,0.007038223234939,0.5802059776061358,4.6743576207200155,4.6743576207200155,0.7657780125375536,0.7657780125375536,0.30875187095550954,131.42897412641673,131.42897412641673,21.531390356237665,21.531390356237665,8.681180378544472
W1-Q1,MLS,1.2131385026870742,587.9261201467829,1445.4395056623728,0.0071575241765826,0.59000057790012,6.081561322417279,6.081561322417279,1.0344091058412141,1.0344091058412141,0.420741324600119,132.8363250712551,132.8363250712551,22.594050599094135,22.594050599094135,9.19003006012229
W1-Q1,SC,1.843148898531035,1275.7573306567697,2598.393870660869,6.582476766657235e-08,3.5713212165893824e-06,9.166562670695987e-06,9.166562670695987e-06,7.18519302254526e-07,7.18519302254526e-07,3.5277802854286236e-07,814.0139745618063,814.0139745618063,63.806333304998184,63.806333304998184,31.32758215577117
W1-Q2,SkyFlow,2.8338120419615924,2304.1140592025663,6687.79038237684,0.0175929163557799,0.6208215680953176,8.726455554570594,8.726455554570594,0.37873366206492154,0.37873366206492154,0.1304833892157549,106.47815427714023,106.47815427714023,4.621218895473924,4.621218895473924,1.592127566643288
W1-Q2,Greedy,2.8338120419615924,2304.1140592025663,6687.79038237684,0.0175929163557799,0.6208215680953176,8.726455554570594,8.726455554570594,0.37873366206492154,0.37873366206492154,0.1304833892157549,106.47815427714023,106.47815427714023,4.621218895473924,4.621218895473924,1.592127566643288
W1-Q2,MLS,9.969290947283524,2724.7553283395505,7332.87590705352,7.153254406774293,71.7528903971194,429.4341018480977,429.4341018480977,15.760464706010586,15.760464706010586,5.856284864101185,527.187974059605,527.187974059605,19.348084893217557,19.348084893217557,7.189375365707484
W1-Q2,SC,3.45763853045911,2842.5361017516184,7037.060175845236,2.5752993381501863e-08,7.448145072030517e-07,9.286318432524446e-06,9.286318432524446e-06,3.2669131015792766e-07,3.2669131015792766e-07,1.3196303854839563e-07,998.2994232051929,998.2994232051924,35.12002618330948,35.12002618330946,14.186313577818524
W1-Q3,SkyFlow,6.89509967353863,3919.248976775753,11274.446680512328,0.0336563488129198,0.48811983011765575,24.84271300968989,24.84271300968989,0.6338641192968363,0.6338641192968363,0.22034529687944737,242.2257311905771,242.2257311905771,6.180411926517841,6.180411926517841,2.148448948800829
W1-Q3,Greedy,6.89509967353863,3917.605293710296,11272.928557222336,0.0336563488129198,0.48811983011765575,23.199522489151125,23.199522489151125,0.5921863166357747,0.5921863166357747,0.20579854091497515,240.58204812512085,240.58204812512085,6.141048678675584,6.141048678675584,2.134157480941231
W1-Q3,MLS,13.750067030853176,4256.645928242482,11713.742797111683,6.8888880603831355,50.10075983575541,431.0532096759564,431.0532096759564,10.126593025178702,10.126593025178702,3.6798930721122147,648.4344798311699,648.4344798311699,15.233460587568784,15.233460587568784,5.535672850790762
W1-Q3,SC,7.477678436754993,4250.921482282006,11443.037913291952,2.574420472088439e-08,3.442807141096632e-07,9.066770922653192e-06,9.066770922653192e-06,2.1328954111346962e-07,2.1328954111346962e-07,7.923394985977852e-08,836.7401031917628,836.7401031917628,19.683734613290927,19.683734613290927,7.31221996756496
W2-Q1,SkyFlow,2.8695574875864516,529.9732303969854,1268.2975626628715,0.0141627507425685,0.49355173415538056,10.352207003936664,15.788029229458376,1.9533452654169285,2.97902390610033,0.8162285656531222,137.84553218651146,269.82816277314265,26.00990470466894,50.91354568437792,10.868548221215216
W2-Q1,Greedy,2.8695478132929337,612.6367057563125,1520.6115583579908,0.0141622815423043,0.49353704708103296,4.974528062936125,9.74579561531876,0.8119866172228398,1.5907952500638003,0.32713996126057293,132.46755000971453,263.7856259232067,21.62252910494167,43.057430846811236,8.711465415451505
W2-Q1,MLS,2.917979968457664,721.7481357785485,1451.0398079932477,0.0626186737822791,2.145959686466834,8.653105548045682,17.654428173061746,1.1989093035497196,2.4460649495156566,0.5963382603550149,555.252511294405,700.2691119850487,76.93161696849484,97.02402781126264,38.26583586719827
W2-Q1,SC,8.371949321914501,1405.772131032078,2595.8111360332937,0.0014869428709246,0.01776101136962646,0.9160881388893,1.1330047521769098,0.06516619007212314,0.08059661499656347,0.03529101659873418,1234.5017755756155,2053.412077639545,87.81663459705089,146.07005163290495,47.55745741433563
W2-Q2,SkyFlow,4.549769587638231,2239.0328009837735,6420.484324189009,0.0344452166932077,0.7570760679133224,11.487043003526717,20.102392413006186,0.5130359411652926,0.8978158964073107,0.17891240634681682,107.1169440684176,210.16040068773427,4.784072123523745,9.386213573798258,1.6683623642667775
W2-Q2,Greedy,4.549769576876212,2239.487672972488,6420.969281391245,0.0344452072516797,0.7570758621874901,11.485393141150643,20.100742550630113,0.5128580648048846,0.8975598657326054,0.1788731986997153,107.11501333487509,210.1584699541917,4.783014196845325,9.38422088634437,1.6682062885008266
W2-Q2,MLS,11.52851850691602,2650.9887315540964,7057.930970787807,7.0133417925059645,60.8347186006478,420.2476491404493,422.32014195142506,15.852487192357334,15.930665299503072,5.9542612541808575,515.8778564457508,1014.3866605785788,19.45982833896568,38.264465197628816,7.309193849882162
W2-Q2,SC,10.565307770502049,2768.4327207388624,6809.573258054225,2.5749621860837044e-08,2.4371861587155124e-07,9.08519137435645e-06,9.402019043240994e-06,3.2817092885434897e-07,3.3961522607389586e-07,1.334179254714775e-07,976.5985849056514,1942.5766168758132,35.27622606067915,70.16882159799651,14.341553396911477
W2-Q3,SkyFlow,8.855713198150843,4012.459194024754,11571.991761597868,0.0695775261185983,0.785679533220732,31.42677758874963,57.20008004665126,0.7832298365937164,1.4255616638253188,0.2715762181324799,255.67357036642815,403.76458943915816,6.3719917886559525,10.062771231179958,2.2094171481774767
W2-Q3,Greedy,8.855713187397791,4011.1742056670346,11570.868842315796,0.0695775166889343,0.7856794276936077,24.13990298436732,39.19192839919982,0.6018163696371547,0.97706871827778,0.20862653715411017,248.38625572955056,385.7559977592114,6.192357723547072,9.617034264286273,2.1466517261104694
W2-Q3,MLS,15.923955681481992,4361.451893250786,11996.672529299072,7.138030407793003,44.82573646002944,444.8514921279794,449.8662185713549,10.199619370246259,10.31459774364379,3.708123990560995,669.0960968412375,1253.4437724404402,15.34113210962256,28.739140156059186,5.577347345333687
W2-Q3,SC,15.211521916204376,4357.179721053583,11700.831038170836,2.5717265601165937e-08,1.6906438253078483e-07,9.355056706491332e-06,9.977143244448026e-06,2.1470440297168284e-07,2.2898167813090606e-07,7.995207072021601e-08,1191.060710968805,2054.158173315636,27.335588321355768,47.14421494688615,10.179283053342857
