workflow,quality,method,logical_node,provider,region,endpoint_id,execution_cost,storage_cost,service_cost
workflow1,Q3,SkyFlow,Video Caption,AWS,us-east-2,video_caption_aws_us-east-2_q3,16.255591946499052,0.00021988712732030297,16.25581183362637
workflow1,Q3,SkyFlow,Q/A,AWS,us-east-2,q_a_aws_us-east-2_q3,4.218821986144963,1.369348071915583e-06,4.218823355493035
workflow1,Q3,Greedy,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q3,0.8773966407632011,0.009882136644012225,0.8872787774072134
workflow1,Q3,Greedy,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q3,0.03217121016131471,0.005105638228196041,0.03727684838951075
workflow1,Q3,Greedy,Video Caption,Azure,westus2,video_caption_azure_westus2_q3,16.255591946499052,0.00017590970185624337,16.255767856200908
workflow1,Q3,Greedy,Q/A,Azure,westus2,q_a_azure_westus2_q3,4.218821986144963,1.0954784575324598e-06,4.2188230816234205
workflow1,Q3,Murakkab-style,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q3,0.8773966407632011,0.009882136644012225,0.8872787774072134
workflow1,Q3,Murakkab-style,Video Split & Sample,Aliyun,ap-southeast-1,video_split_and_sample_aliyun_ap-southeast-1_q3,0.03217121016131471,0.005017101149094393,0.0371883113104091
workflow1,Q3,Murakkab-style,Video Caption,AWS,ap-southeast-1,video_caption_aws_ap-southeast-1_q3,16.255591946499052,0.00023900774708728584,16.25583095424614
workflow1,Q3,Murakkab-style,Q/A,Anthropic,global,q_a_anthropic_global_q3,4.218821986144963,0.0,4.218821986144963
workflow1,Q3,Single-Cloud,Shot Detection,AWS,us-east-2,shot_detection_aws_us-east-2_q3,1.4623277346047725,0.013138100740594254,1.4754658353453667
workflow1,Q3,Single-Cloud,Video Split & Sample,AWS,us-east-2,video_split_and_sample_aws_us-east-2_q3,0.0584931093842199,0.0067878427311277335,0.06528095211534764
workflow1,Q3,Single-Cloud,Video Caption,AWS,us-east-2,video_caption_aws_us-east-2_q3,16.255591946499052,0.00021988712732030297,16.25581183362637
workflow1,Q3,Single-Cloud,Q/A,AWS,us-east-2,q_a_aws_us-east-2_q3,4.218821986144963,1.369348071915583e-06,4.218823355493035
workflow2,Q1,SkyFlow,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q1,0.9158416915385675,0.010315144051833374,0.926156835590401
workflow2,Q1,SkyFlow,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q1,0.0335808620230779,0.005192155591227507,0.038773017614305405
workflow2,Q1,SkyFlow,Video Caption,Azure,eastus,video_caption_azure_eastus_q1,0.36745014355722583,3.6819632123663005e-05,0.3674869631893495
workflow2,Q1,SkyFlow,OCR,Azure,eastus,ocr_azure_eastus_q1,0.20470272183880112,3.685540978633598e-05,0.20473957724858746
workflow2,Q1,SkyFlow,Label Detection,Aliyun,cn-shanghai,label_detection_aliyun_cn-shanghai_q1,0.059363789333249914,3.487196811802339e-05,0.059398661301367936
workflow2,Q1,SkyFlow,Speech Transcription,Aliyun,cn-shanghai,speech_transcription_aliyun_cn-shanghai_q1,0.18622114394616968,0.005167826436589346,0.191388970382759
workflow2,Q1,SkyFlow,Database,Aliyun,cn-shanghai,database_aliyun_cn-shanghai_q1,1.2253333333340943,0.00019619461024436655,1.2255295279443388
workflow2,Q1,SkyFlow,Q/A,AWS,us-east-2,q_a_aws_us-east-2_q1,1.0155982165620658,2.2891994260832856e-06,1.0156005057614919
workflow2,Q1,Greedy,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q1,0.9158416915385675,0.010315144051833374,0.926156835590401
workflow2,Q1,Greedy,Speech Transcription,Aliyun,cn-shanghai,speech_transcription_aliyun_cn-shanghai_q1,0.18622114394616968,0.005167826436589346,0.191388970382759
workflow2,Q1,Greedy,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q1,0.0335808620230779,0.005192155591227507,0.038773017614305405
workflow2,Q1,Greedy,Video Caption,Azure,eastus,video_caption_azure_eastus_q1,0.36745014355722583,3.6819632123663005e-05,0.3674869631893495
workflow2,Q1,Greedy,OCR,Azure,westus2,ocr_azure_westus2_q1,0.20470272183880112,3.685540978633598e-05,0.20473957724858746
workflow2,Q1,Greedy,Label Detection,Aliyun,cn-shanghai,label_detection_aliyun_cn-shanghai_q1,0.059363789333249914,3.487196811802339e-05,0.059398661301367936
workflow2,Q1,Greedy,Database,Aliyun,cn-shanghai,database_aliyun_cn-shanghai_q1,1.2253333333340943,0.00019619461024436655,1.2255295279443388
workflow2,Q1,Greedy,Q/A,Azure,eastus,q_a_azure_eastus_q1,1.0155982165620658,1.8313595408666455e-06,1.0156000479216067
workflow2,Q1,Murakkab-style,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q1,0.9158416915385675,0.010315144051833374,0.926156835590401
workflow2,Q1,Murakkab-style,Video Split & Sample,Aliyun,ap-southeast-1,video_split_and_sample_aliyun_ap-southeast-1_q1,0.0335808620230779,0.005102118211032847,0.03868298023411074
workflow2,Q1,Murakkab-style,Video Caption,Anthropic,global,video_caption_anthropic_global_q1,0.36745014355722583,0.0,0.36745014355722583
workflow2,Q1,Murakkab-style,OCR,AWS,ap-southeast-1,ocr_aws_ap-southeast-1_q1,0.20470272183880112,5.0075285035782945e-05,0.2047527971238369
workflow2,Q1,Murakkab-style,Label Detection,Aliyun,ap-southeast-1,label_detection_aliyun_ap-southeast-1_q1,0.059363789333249914,3.426725190788429e-05,0.059398056585157795
workflow2,Q1,Murakkab-style,Speech Transcription,Aliyun,cn-beijing,speech_transcription_aliyun_cn-beijing_q1,0.18622114394616968,0.005167826436589346,0.191388970382759
workflow2,Q1,Murakkab-style,Database,Aliyun,cn-beijing,database_aliyun_cn-beijing_q1,1.2253333333340943,0.00019619461024436655,1.2255295279443388
workflow2,Q1,Murakkab-style,Q/A,Anthropic,global,q_a_anthropic_global_q1,1.0155982165620658,0.0,1.0155982165620658
workflow2,Q1,Single-Cloud,Shot Detection,GCP,asia-east1,shot_detection_gcp_asia-east1_q1,1.526402819230374,0.011925022025241035,1.538327841255615
workflow2,Q1,Single-Cloud,Speech Transcription,GCP,asia-east1,speech_transcription_gcp_asia-east1_q1,0.4884489021538651,0.005974365822646708,0.4944232679765118
workflow2,Q1,Single-Cloud,Video Split & Sample,GCP,asia-east1,video_split_and_sample_gcp_asia-east1_q1,0.03663366766154232,0.006002492012979782,0.042636159674522105
workflow2,Q1,Single-Cloud,Video Caption,GCP,asia-east1,video_caption_gcp_asia-east1_q1,0.40419515791294636,4.0021339264851206e-05,0.4042351792522112
workflow2,Q1,Single-Cloud,OCR,GCP,asia-east1,ocr_gcp_asia-east1_q1,0.30705408275820517,4.006022802862613e-05,0.3070941429862338
workflow2,Q1,Single-Cloud,Label Detection,GCP,asia-east1,label_detection_gcp_asia-east1_q1,0.30705408275820517,4.031441400927615e-05,0.30709439717221443
workflow2,Q1,Single-Cloud,Database,GCP,us-west1,database_gcp_us-west1_q1,5.450666666669828,0.00022637518539472468,5.450893041855222
workflow2,Q1,Single-Cloud,Q/A,GCP,asia-east1,q_a_gcp_asia-east1_q1,1.1171580382182695,1.9906081965941734e-06,1.117160028826466
workflow2,Q2,SkyFlow,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q2,0.89347023507935,0.010063173871661888,0.9035334089510119
workflow2,Q2,SkyFlow,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q2,0.032760575286243626,0.005115674461874682,0.03787624974811831
workflow2,Q2,SkyFlow,Video Caption,Azure,eastus,video_caption_azure_eastus_q2,3.542751134858096,8.965801555794069e-05,3.542840792873654
workflow2,Q2,SkyFlow,OCR,Azure,eastus,ocr_azure_eastus_q2,0.4977203853690713,8.961131269678732e-05,0.4978099966817681
workflow2,Q2,SkyFlow,Label Detection,Aliyun,cn-shanghai,label_detection_aliyun_cn-shanghai_q2,0.1443389117570239,8.47846642790396e-05,0.14442369642130296
workflow2,Q2,SkyFlow,Speech Transcription,Aliyun,cn-shanghai,speech_transcription_aliyun_cn-shanghai_q2,0.18167228113280712,0.005041588485573311,0.18671386961838043
workflow2,Q2,SkyFlow,Database,Aliyun,cn-shanghai,database_aliyun_cn-shanghai_q2,1.2253333333340943,0.00020426119895642017,1.2255375945330507
workflow2,Q2,SkyFlow,Q/A,AWS,us-east-2,q_a_aws_us-east-2_q2,3.9894788300253277,2.5514001430666035e-06,3.989481381425471
workflow2,Q2,Greedy,Speech Transcription,Aliyun,cn-shanghai,speech_transcription_aliyun_cn-shanghai_q2,0.18167228113280712,0.005041588485573311,0.18671386961838043
workflow2,Q2,Greedy,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q2,0.89347023507935,0.010063173871661888,0.9035334089510119
workflow2,Q2,Greedy,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q2,0.032760575286243626,0.005115674461874682,0.03787624974811831
workflow2,Q2,Greedy,Video Caption,Azure,eastus,video_caption_azure_eastus_q2,3.542751134858096,8.965801555794069e-05,3.542840792873654
workflow2,Q2,Greedy,OCR,Azure,eastus,ocr_azure_eastus_q2,0.4977203853690713,8.961131269678732e-05,0.4978099966817681
workflow2,Q2,Greedy,Label Detection,Aliyun,cn-shanghai,label_detection_aliyun_cn-shanghai_q2,0.1443389117570239,8.47846642790396e-05,0.14442369642130296
workflow2,Q2,Greedy,Database,Aliyun,cn-shanghai,database_aliyun_cn-shanghai_q2,1.2253333333340943,0.00020426119895642017,1.2255375945330507
workflow2,Q2,Greedy,Q/A,Azure,eastus,q_a_azure_eastus_q2,3.9894788300253277,2.0411201144532767e-06,3.989480871145442
workflow2,Q2,Murakkab-style,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q2,0.89347023507935,0.010063173871661888,0.9035334089510119
workflow2,Q2,Murakkab-style,Video Split & Sample,Aliyun,ap-southeast-1,video_split_and_sample_aliyun_ap-southeast-1_q2,0.032760575286243626,0.005026963344038718,0.03778753863028234
workflow2,Q2,Murakkab-style,Video Caption,Anthropic,global,video_caption_anthropic_global_q2,3.542751134858096,0.0,3.542751134858096
workflow2,Q2,Murakkab-style,OCR,AWS,ap-southeast-1,ocr_aws_ap-southeast-1_q2,0.4977203853690713,0.00012175450094672093,0.497842139870018
workflow2,Q2,Murakkab-style,Label Detection,Aliyun,ap-southeast-1,label_detection_aliyun_ap-southeast-1_q2,0.1443389117570239,8.331440998518364e-05,0.1444222261670091
workflow2,Q2,Murakkab-style,Speech Transcription,Aliyun,cn-beijing,speech_transcription_aliyun_cn-beijing_q2,0.18167228113280712,0.005041588485573311,0.18671386961838043
workflow2,Q2,Murakkab-style,Database,Aliyun,cn-beijing,database_aliyun_cn-beijing_q2,1.2253333333340943,0.00020426119895642017,1.2255375945330507
workflow2,Q2,Murakkab-style,Q/A,Anthropic,global,q_a_anthropic_global_q2,3.9894788300253277,0.0,3.9894788300253277
workflow2,Q2,Single-Cloud,Shot Detection,AWS,us-east-2,shot_detection_aws_us-east-2_q2,1.489117058464868,0.013378786072150654,1.5024958445370187
workflow2,Q2,Single-Cloud,Speech Transcription,AWS,us-east-2,speech_transcription_aws_us-east-2_q2,0.714776188063476,0.006702689894114716,0.7214788779575907
workflow2,Q2,Single-Cloud,Video Split & Sample,AWS,us-east-2,video_split_and_sample_aws_us-east-2_q2,0.05956468233862042,0.006801185700758236,0.06636586803937865
workflow2,Q2,Single-Cloud,Video Caption,AWS,us-east-2,video_caption_aws_us-east-2_q2,3.542751134858096,0.00011207251944742536,3.5428632073775432
workflow2,Q2,Single-Cloud,OCR,AWS,us-east-2,ocr_aws_us-east-2_q2,0.4977203853690713,0.00011201414087098381,0.4978323995099423
workflow2,Q2,Single-Cloud,Label Detection,AWS,us-east-2,label_detection_aws_us-east-2_q2,0.4977203853690713,0.00011271949586230714,0.49783310486493365
workflow2,Q2,Single-Cloud,Database,AWS,us-east-2,database_aws_us-east-2_q2,5.760000000004034,9.060269553422175e-05,5.760090602699568
workflow2,Q2,Single-Cloud,Q/A,AWS,us-east-2,q_a_aws_us-east-2_q2,3.9894788300253277,2.5514001430666035e-06,3.989481381425471
workflow2,Q3,SkyFlow,Shot Detection,Aliyun,cn-shanghai,shot_detection_aliyun_cn-shanghai_q3,0.9051073541497052,0.010194242986191069,0.9153015971358963
workflow2,Q3,SkyFlow,Video Split & Sample,Aliyun,cn-shanghai,video_split_and_sample_aliyun_cn-shanghai_q3,0.03318726965215482,0.005266820415079954,0.03845409006723478
workflow2,Q3,SkyFlow,Video Caption,Azure,eastus,video_caption_azure_eastus_q3,16.745673526648897,0.000181390321542728,16.74585491697044
workflow2,Q3,SkyFlow,OCR,Azure,eastus,ocr_azure_eastus_q3,1.0044606711664446,0.00018084665965795,1.0046415178261026
workflow2,Q3,SkyFlow,Label Detection,Aliyun,cn-shanghai,label_detection_aliyun_cn-shanghai_q3,0.29129359463825416,0.0001711167006740927,0.29146471133892826
workflow2,Q3,SkyFlow,Speech Transcription,Aliyun,cn-shanghai,speech_transcription_aliyun_cn-shanghai_q3,0.18403849534377215,0.00510725344093593,0.18914574878470808
