workflow,quality,method,src,dst,src_provider,src_region,dst_provider,dst_region,egress_cost_per_gb,mean_output_mb,network_cost
workflow1,Q3,SkyFlow,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,8773.96640763117,0.0
workflow1,Q3,SkyFlow,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,8773.96640763117,0.0
workflow1,Q3,SkyFlow,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,AWS,us-east-2,0.118,292.23049237865723,0.033674998145196644
workflow1,Q3,SkyFlow,Video Caption,Q/A,AWS,us-east-2,AWS,us-east-2,0.0,1.462227242203192,0.0
workflow1,Q3,SkyFlow,Q/A,ClientSink,AWS,us-east-2,client,local,0.09,0.3667454868945166,3.223349005908821e-05
workflow1,Q3,Greedy,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,8773.96640763117,0.0
workflow1,Q3,Greedy,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,8773.96640763117,0.0
workflow1,Q3,Greedy,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,Azure,westus2,0.118,292.23049237865723,0.033674998145196644
workflow1,Q3,Greedy,Video Caption,Q/A,Azure,westus2,Azure,westus2,0.0,1.462227242203192,0.0
workflow1,Q3,Greedy,Q/A,ClientSink,Azure,westus2,client,local,0.087,0.3667454868945166,3.115904039045229e-05
workflow1,Q3,Murakkab-style,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,8773.96640763117,0.0
workflow1,Q3,Murakkab-style,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,ap-southeast-1,0.8,8773.96640763117,6.854661255962251
workflow1,Q3,Murakkab-style,Video Split & Sample,Video Caption,Aliyun,ap-southeast-1,AWS,ap-southeast-1,0.1,292.23049237865723,0.028538134021352825
workflow1,Q3,Murakkab-style,Video Caption,Q/A,AWS,ap-southeast-1,Anthropic,global,0.12,1.462227242203192,0.00017135475494568762
workflow1,Q3,Murakkab-style,Q/A,ClientSink,Anthropic,global,client,local,0.12,0.3667454868945166,4.297798674545053e-05
workflow1,Q3,Single-Cloud,ClientSource,Shot Detection,client,local,AWS,us-east-2,0.0,8773.96640763117,0.0
workflow1,Q3,Single-Cloud,Shot Detection,Video Split & Sample,AWS,us-east-2,AWS,us-east-2,0.0,8773.96640763117,0.0
workflow1,Q3,Single-Cloud,Video Split & Sample,Video Caption,AWS,us-east-2,AWS,us-east-2,0.0,292.23049237865723,0.0
workflow1,Q3,Single-Cloud,Video Caption,Q/A,AWS,us-east-2,AWS,us-east-2,0.0,1.462227242203192,0.0
workflow1,Q3,Single-Cloud,Q/A,ClientSink,AWS,us-east-2,client,local,0.09,0.3667454868945166,3.223349005908821e-05
workflow2,Q1,SkyFlow,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,9158.416915385473,0.0
workflow2,Q1,SkyFlow,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,9158.416915385473,0.0
workflow2,Q1,SkyFlow,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,Azure,eastus,0.118,61.410816551641545,0.007076637063568076
workflow2,Q1,SkyFlow,Video Caption,Database,Azure,eastus,Aliyun,cn-shanghai,0.087,0.06196055916993397,5.264227195101812e-06
workflow2,Q1,SkyFlow,Video Split & Sample,OCR,Aliyun,cn-shanghai,Azure,eastus,0.118,61.410816551641545,0.007076637063568076
workflow2,Q1,SkyFlow,OCR,Database,Azure,eastus,Aliyun,cn-shanghai,0.087,0.12169370032842346,1.0339210867746863e-05
workflow2,Q1,SkyFlow,Video Split & Sample,Label Detection,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,61.410816551641545,0.0
workflow2,Q1,SkyFlow,Label Detection,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,0.5121233666064755,0.0
workflow2,Q1,SkyFlow,ClientSource,Speech Transcription,client,local,Aliyun,cn-shanghai,0.0,9158.416915385473,0.0
workflow2,Q1,SkyFlow,Speech Transcription,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,18.208988200040796,0.0
workflow2,Q1,SkyFlow,Database,Q/A,Aliyun,cn-shanghai,AWS,us-east-2,0.118,2.8301726040994266,0.00032613317117551803
workflow2,Q1,SkyFlow,Q/A,ClientSink,AWS,us-east-2,client,local,0.09,0.227401585869224,1.998646750803733e-05
workflow2,Q1,Greedy,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,9158.416915385473,0.0
workflow2,Q1,Greedy,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,9158.416915385473,0.0
workflow2,Q1,Greedy,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,Azure,eastus,0.118,61.410816551641545,0.007076637063568076
workflow2,Q1,Greedy,Video Caption,Database,Azure,eastus,Aliyun,cn-shanghai,0.087,0.06196055916993397,5.264227195101812e-06
workflow2,Q1,Greedy,Video Split & Sample,OCR,Aliyun,cn-shanghai,Azure,westus2,0.118,61.410816551641545,0.007076637063568076
workflow2,Q1,Greedy,OCR,Database,Azure,westus2,Aliyun,cn-shanghai,0.087,0.12169370032842346,1.0339210867746863e-05
workflow2,Q1,Greedy,Video Split & Sample,Label Detection,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,61.410816551641545,0.0
workflow2,Q1,Greedy,Label Detection,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,0.5121233666064755,0.0
workflow2,Q1,Greedy,ClientSource,Speech Transcription,client,local,Aliyun,cn-shanghai,0.0,9158.416915385473,0.0
workflow2,Q1,Greedy,Speech Transcription,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,18.208988200040796,0.0
workflow2,Q1,Greedy,Database,Q/A,Aliyun,cn-shanghai,Azure,eastus,0.118,2.8301726040994266,0.00032613317117551803
workflow2,Q1,Greedy,Q/A,ClientSink,Azure,eastus,client,local,0.087,0.227401585869224,1.932025192443609e-05
workflow2,Q1,Murakkab-style,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,9158.416915385473,0.0
workflow2,Q1,Murakkab-style,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,ap-southeast-1,0.8,9158.416915385473,7.15501321514511
workflow2,Q1,Murakkab-style,Video Split & Sample,Video Caption,Aliyun,ap-southeast-1,Anthropic,global,0.12,61.410816551641545,0.00719658006464547
workflow2,Q1,Murakkab-style,Video Caption,Database,Anthropic,global,Aliyun,cn-beijing,0.12,0.06196055916993397,7.261003027726481e-06
workflow2,Q1,Murakkab-style,Video Split & Sample,OCR,Aliyun,ap-southeast-1,AWS,ap-southeast-1,0.1,61.410816551641545,0.005997150053871189
workflow2,Q1,Murakkab-style,OCR,Database,AWS,ap-southeast-1,Aliyun,cn-beijing,0.12,0.12169370032842346,1.4260980507237159e-05
workflow2,Q1,Murakkab-style,Video Split & Sample,Label Detection,Aliyun,ap-southeast-1,Aliyun,ap-southeast-1,0.0,61.410816551641545,0.0
workflow2,Q1,Murakkab-style,Label Detection,Database,Aliyun,ap-southeast-1,Aliyun,cn-beijing,0.8,0.5121233666064755,0.00040009638016131596
workflow2,Q1,Murakkab-style,ClientSource,Speech Transcription,client,local,Aliyun,cn-beijing,0.0,9158.416915385473,0.0
workflow2,Q1,Murakkab-style,Speech Transcription,Database,Aliyun,cn-beijing,Aliyun,cn-beijing,0.0,18.208988200040796,0.0
workflow2,Q1,Murakkab-style,Database,Q/A,Aliyun,cn-beijing,Anthropic,global,0.12,2.8301726040994266,0.0003316608520429023
workflow2,Q1,Murakkab-style,Q/A,ClientSink,Anthropic,global,client,local,0.12,0.227401585869224,2.664862334404986e-05
workflow2,Q1,Single-Cloud,ClientSource,Shot Detection,client,local,GCP,asia-east1,0.0,9158.416915385473,0.0
workflow2,Q1,Single-Cloud,Shot Detection,Video Split & Sample,GCP,asia-east1,GCP,asia-east1,0.0,9158.416915385473,0.0
workflow2,Q1,Single-Cloud,Video Split & Sample,Video Caption,GCP,asia-east1,GCP,asia-east1,0.0,61.410816551641545,0.0
workflow2,Q1,Single-Cloud,Video Caption,Database,GCP,asia-east1,GCP,us-west1,0.08,0.06196055916993397,4.8406686851510725e-06
workflow2,Q1,Single-Cloud,Video Split & Sample,OCR,GCP,asia-east1,GCP,asia-east1,0.0,61.410816551641545,0.0
workflow2,Q1,Single-Cloud,OCR,Database,GCP,asia-east1,GCP,us-west1,0.08,0.12169370032842346,9.507320338157995e-06
workflow2,Q1,Single-Cloud,Video Split & Sample,Label Detection,GCP,asia-east1,GCP,asia-east1,0.0,61.410816551641545,0.0
workflow2,Q1,Single-Cloud,Label Detection,Database,GCP,asia-east1,GCP,us-west1,0.08,0.5121233666064755,4.000963801613117e-05
workflow2,Q1,Single-Cloud,ClientSource,Speech Transcription,client,local,GCP,asia-east1,0.0,9158.416915385473,0.0
workflow2,Q1,Single-Cloud,Speech Transcription,Database,GCP,asia-east1,GCP,us-west1,0.08,18.208988200040796,0.0014225772031281614
workflow2,Q1,Single-Cloud,Database,Q/A,GCP,us-west1,GCP,asia-east1,0.08,2.8301726040994266,0.00022110723469526914
workflow2,Q1,Single-Cloud,Q/A,ClientSink,GCP,asia-east1,client,local,0.23,0.227401585869224,5.107652807609578e-05
workflow2,Q2,SkyFlow,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,8934.702350793239,0.0
workflow2,Q2,SkyFlow,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,8934.702350793239,0.0
workflow2,Q2,SkyFlow,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,Azure,eastus,0.118,149.3161156107247,0.017206349259829556
workflow2,Q2,SkyFlow,Video Caption,Database,Azure,eastus,Aliyun,cn-shanghai,0.087,0.37378862514089467,3.1757432018806194e-05
workflow2,Q2,SkyFlow,Video Split & Sample,OCR,Aliyun,cn-shanghai,Azure,eastus,0.118,149.3161156107247,0.017206349259829556
workflow2,Q2,SkyFlow,OCR,Database,Azure,eastus,Aliyun,cn-shanghai,0.087,0.2958151526067431,2.513273269217431e-05
workflow2,Q2,SkyFlow,Video Split & Sample,Label Detection,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,149.3161156107247,0.0
workflow2,Q2,SkyFlow,Label Detection,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,1.2379240801488363,0.0
workflow2,Q2,SkyFlow,ClientSource,Speech Transcription,client,local,Aliyun,cn-shanghai,0.0,8934.702350793239,0.0
workflow2,Q2,SkyFlow,Speech Transcription,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,17.759977346040273,0.0
workflow2,Q2,SkyFlow,Database,Q/A,Aliyun,cn-shanghai,AWS,us-east-2,0.118,2.961070461195702,0.00034121710392684347
workflow2,Q2,SkyFlow,Q/A,ClientSink,AWS,us-east-2,client,local,0.09,0.4467126864132932,3.926185720429395e-05
workflow2,Q2,Greedy,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,8934.702350793239,0.0
workflow2,Q2,Greedy,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,8934.702350793239,0.0
workflow2,Q2,Greedy,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,Azure,eastus,0.118,149.3161156107247,0.017206349259829556
workflow2,Q2,Greedy,Video Caption,Database,Azure,eastus,Aliyun,cn-shanghai,0.087,0.37378862514089467,3.1757432018806194e-05
workflow2,Q2,Greedy,Video Split & Sample,OCR,Aliyun,cn-shanghai,Azure,eastus,0.118,149.3161156107247,0.017206349259829556
workflow2,Q2,Greedy,OCR,Database,Azure,eastus,Aliyun,cn-shanghai,0.087,0.2958151526067431,2.513273269217431e-05
workflow2,Q2,Greedy,Video Split & Sample,Label Detection,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,149.3161156107247,0.0
workflow2,Q2,Greedy,Label Detection,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,1.2379240801488363,0.0
workflow2,Q2,Greedy,ClientSource,Speech Transcription,client,local,Aliyun,cn-shanghai,0.0,8934.702350793239,0.0
workflow2,Q2,Greedy,Speech Transcription,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,17.759977346040273,0.0
workflow2,Q2,Greedy,Database,Q/A,Aliyun,cn-shanghai,Azure,eastus,0.118,2.961070461195702,0.00034121710392684347
workflow2,Q2,Greedy,Q/A,ClientSink,Azure,eastus,client,local,0.087,0.4467126864132932,3.795312863081772e-05
workflow2,Q2,Murakkab-style,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,8934.702350793239,0.0
workflow2,Q2,Murakkab-style,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,ap-southeast-1,0.8,8934.702350793239,6.9802362115577425
workflow2,Q2,Murakkab-style,Video Split & Sample,Video Caption,Aliyun,ap-southeast-1,Anthropic,global,0.12,149.3161156107247,0.01749798229813193
workflow2,Q2,Murakkab-style,Video Caption,Database,Anthropic,global,Aliyun,cn-beijing,0.12,0.37378862514089467,4.380335450869862e-05
workflow2,Q2,Murakkab-style,Video Split & Sample,OCR,Aliyun,ap-southeast-1,AWS,ap-southeast-1,0.1,149.3161156107247,0.014581651915109689
workflow2,Q2,Murakkab-style,OCR,Database,AWS,ap-southeast-1,Aliyun,cn-beijing,0.12,0.2958151526067431,3.466583819610276e-05
workflow2,Q2,Murakkab-style,Video Split & Sample,Label Detection,Aliyun,ap-southeast-1,Aliyun,ap-southeast-1,0.0,149.3161156107247,0.0
workflow2,Q2,Murakkab-style,Label Detection,Database,Aliyun,ap-southeast-1,Aliyun,cn-beijing,0.8,1.2379240801488363,0.000967128187616284
workflow2,Q2,Murakkab-style,ClientSource,Speech Transcription,client,local,Aliyun,cn-beijing,0.0,8934.702350793239,0.0
