workflow,quality_level,query_count,sample_count,scenario_count,method,status,objective_value,solver_runtime_sec,wall_time_sec,max_rss_mb,num_iterations,active_scenario_count,active_scenario_fraction,assignment_signature,expected_cost,avg_latency,p95_latency,p99_latency,violation_rate,error,process_exitcode
workflow1,Q2,50,2,100,full_milp,OPTIMAL,2.581311115328359,0.06606860004831105,7.333464900031686,384.375,1,100,1.0,"[[""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_azure_westus2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.5813105682187767,54.71095806655132,85.13010791310964,95.76846482879483,0.0,,0
workflow1,Q2,50,2,100,decomposition,OPTIMAL,2.5813109926367175,0.02339009998831898,10.572600699961185,515.78515625,1,20,0.2,"[[""Q/A"", ""q_a_aws_us-west-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.581310407248251,58.53884648912131,89.94013319619357,100.97886543215311,0.0,,0
workflow1,Q2,50,5,250,full_milp,OPTIMAL,2.589726434158607,0.1380226999754086,7.903418299974874,394.00390625,1,250,1.0,"[[""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.589725878615236,55.55433729513864,86.13120713046222,96.90517685705389,0.0,,0
workflow1,Q2,50,5,250,decomposition,OPTIMAL,2.5897263843744964,0.0385138998972252,10.889952300000004,521.46484375,1,50,0.2,"[[""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_azure_westus2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.5897258362954036,54.807909084347,85.23227533371792,95.89269098077149,0.0,,0
workflow1,Q2,50,10,500,full_milp,OPTIMAL,2.57130700256504,0.2885449000168592,8.440558700007387,401.2734375,1,500,1.0,"[[""Q/A"", ""q_a_aws_us-west-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_azure_westus2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.57130644522823,55.73368113730812,86.39217112033118,96.86426411394517,0.0,,0
workflow1,Q2,50,10,500,decomposition,OPTIMAL,2.571306914482995,0.0633988999761641,11.150523100048304,519.51953125,1,100,0.2,"[[""Q/A"", ""q_a_aws_us-west-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_us-west-2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.571306327413446,58.706954762629614,90.07447131923554,100.97716409122937,0.0,,0
workflow1,Q2,100,2,200,full_milp,OPTIMAL,2.549483645897964,0.11096109997015446,7.598074199981056,390.21484375,1,200,1.0,"[[""Q/A"", ""q_a_aws_us-west-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_azure_westus2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.5494830899937098,55.590425398706515,88.92393521087413,96.17250104883283,0.0,,0
workflow1,Q2,100,2,200,decomposition,OPTIMAL,2.549483663756096,0.033134100027382374,10.688086700043641,518.46875,1,40,0.2,"[[""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_azure_westus2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.549483116430852,54.7325243775453,87.94719045348464,95.08028809371976,0.0,,0
workflow1,Q2,100,5,500,full_milp,OPTIMAL,2.5579299162491567,0.27425350004341453,8.351424299995415,398.31640625,1,500,1.0,"[[""Q/A"", ""q_a_aws_us-west-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_azure_westus2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.55792936070489,55.554426810722,87.8741493325398,96.17169508524826,0.0,,0
workflow1,Q2,100,5,500,decomposition,OPTIMAL,2.557929933083218,0.06107370008248836,11.088966300012544,524.89453125,1,100,0.2,"[[""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_azure_westus2_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.5579293861357573,54.69474624526837,86.84932898282062,95.07935980766308,0.0,,0
workflow1,Q2,100,10,1000,full_milp,OPTIMAL,2.5560283069349383,0.5789893999462947,9.919967900030315,414.625,1,1000,1.0,"[[""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.5560277519636436,55.49712998866572,88.0856348372216,95.89401333543064,0.0,,0
workflow1,Q2,100,10,1000,decomposition,OPTIMAL,2.5560283069349383,0.1103169999551028,12.097892999998294,526.1484375,1,200,0.2,"[[""Q/A"", ""q_a_aws_ap-southeast-1_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",2.5560277519636436,55.49712998866572,88.0856348372216,95.89401333543064,0.0,,0
workflow2,Q2,10,2,20,full_milp,OPTIMAL,4.0930037790183995,0.11026710004080087,7.344625299912877,389.19140625,1,20,1.0,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_eastus_q2""], [""Q/A"", ""q_a_aws_us-east-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_azure_southeastasia_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",4.093003191516853,62.470615028159976,89.44723587876916,93.55711340941569,0.0,,0
