workflow,quality_level,query_id,budget_factor,best_baseline,baseline_p90_min,sla_sec_old,sla_sec_new,p90_greedy,p90_murakkab_profile,p90_single_cloud
workflow1,Q1,workflow1_Q1_q0000,1.1,murakkab_profile,39.844485790754376,34.217677773080226,43.82893436982982,40.26952036343133,39.844485790754376,43.36131764135646
workflow1,Q1,workflow1_Q1_q0001,1.1,murakkab_profile,67.84333912793096,69.73866521542709,74.62767304072406,69.73866521542709,67.84333912793096,87.07663842236997
workflow1,Q1,workflow1_Q1_q0002,1.1,murakkab_profile,77.79203214970313,79.42298942868192,85.57123536467346,79.42298942868192,77.79203214970313,95.58305208327688
workflow1,Q1,workflow1_Q1_q0003,1.1,murakkab_profile,42.68456918888291,34.77840579803543,46.95302610777121,43.172003565744944,42.68456918888291,46.146515013473
workflow1,Q1,workflow1_Q1_q0004,1.1,murakkab_profile,63.779220907229195,64.98946093320576,70.15714299795212,64.98946093320576,63.779220907229195,74.49557105579026
workflow1,Q1,workflow1_Q1_q0005,1.1,murakkab_profile,90.40562506576507,91.77991264000087,99.44618757234159,91.77991264000087,90.40562506576507,114.37284434827914
workflow1,Q1,workflow1_Q1_q0006,1.1,murakkab_profile,79.93519772739526,80.77087758458623,87.9287175001348,80.77087758458623,79.93519772739526,97.62825408974338
workflow1,Q1,workflow1_Q1_q0007,1.1,murakkab_profile,54.06004436750163,54.38759636524432,59.4660488042518,55.394325912931784,54.06004436750163,65.4752661011573
workflow1,Q1,workflow1_Q1_q0008,1.1,murakkab_profile,88.02849790104284,89.44635675655266,96.83134769114713,89.44635675655266,88.02849790104284,109.4303435892863
workflow1,Q1,workflow1_Q1_q0009,1.1,murakkab_profile,61.159504795037996,61.9731059533954,67.2754552745418,61.9731059533954,61.159504795037996,73.83500742753927
workflow1,Q1,workflow1_Q1_q0010,1.1,murakkab_profile,86.12821484822932,87.2944441559419,94.74103633305226,87.2944441559419,86.12821484822932,115.00723875707601
workflow1,Q1,workflow1_Q1_q0011,1.1,murakkab_profile,54.76675953760513,55.45070772836298,60.24343549136565,55.45070772836298,54.76675953760513,64.48452235437406
workflow1,Q1,workflow1_Q1_q0012,1.1,murakkab_profile,73.7516640572229,74.56697562619786,81.1268304629452,74.56697562619786,73.7516640572229,90.6891406111298
workflow1,Q1,workflow1_Q1_q0013,1.1,murakkab_profile,62.94269023437187,63.97892413745918,69.23695925780906,63.97892413745918,62.94269023437187,75.20351588618361
workflow1,Q1,workflow1_Q1_q0014,1.1,murakkab_profile,55.83196556140641,57.07038051539594,61.41516211754706,57.07038051539594,55.83196556140641,65.98334865504529
workflow1,Q1,workflow1_Q1_q0015,1.1,murakkab_profile,90.53413818442598,92.63756108579344,99.58755200286859,92.63756108579345,90.53413818442598,114.36831356090349
workflow1,Q1,workflow1_Q1_q0016,1.1,murakkab_profile,48.623636210499875,49.12418852965268,53.48599983154987,49.12418852965268,48.623636210499875,58.57086981637592
workflow1,Q1,workflow1_Q1_q0017,1.1,murakkab_profile,44.95941802829204,40.79124287329864,49.45535983112125,45.390669060047635,44.95941802829204,51.176604839553335
workflow1,Q1,workflow1_Q1_q0018,1.1,murakkab_profile,61.09861837039326,62.62327109762741,67.20848020743259,62.62327109762741,61.09861837039326,71.67084248389301
workflow1,Q1,workflow1_Q1_q0019,1.1,murakkab_profile,81.82718104163814,84.55427974890564,90.00989914580197,84.55427974890564,81.82718104163814,103.25237008427844
