workflow,quality_level,sky_cost,best_baseline_cost,cost_delta_pct,sky_svr,best_baseline_svr,svr_delta,sky_p95,best_baseline_p95
workflow1,Q1,0.7744035915665162,0.7744035915665162,0.0,0.002,0.002,0.0,94.73124108824074,95.64134908342868
workflow1,Q2,2.474628329190369,2.474628329190369,0.0,0.004,0.004,0.0,83.6279337773293,83.6279337773293
workflow1,Q3,7.468954112669554,7.468952674470894,1.9255693835574357e-05,0.0,0.0,0.0,65.06512746061911,64.61105323831347
workflow2,Q1,2.148641375958404,2.1486413726204208,1.5535320438751456e-07,0.0,0.0,0.0,101.56944461134474,101.28374342065652
workflow2,Q2,3.775432858255549,3.7754339542760302,-2.9030317953203013e-05,0.0,0.0,0.0,81.35061415756137,87.32006478984344
workflow2,Q3,9.748908020793774,9.748907959063633,6.332005723930375e-07,0.0,0.0,0.0,69.2610861168179,69.4067494918291
