workflow,quality_level,query_id,budget_factor,best_baseline,baseline_p90_min,sla_sec_old,sla_sec_new,p90_greedy,p90_murakkab_profile,p90_single_cloud
workflow1,Q1,workflow1_Q1_q0000,1.0,single_cloud,34.217677773080226,1238.437123190504,34.217677773080226,40.26952036343133,42.32830873793584,34.217677773080226
workflow1,Q1,workflow1_Q1_q0001,1.0,greedy,69.73866521542709,1741.424531326721,69.73866521542709,69.73866521542709,78.04337108978541,82.09563296653783
workflow1,Q1,workflow1_Q1_q0002,1.0,greedy,79.42298942868192,1901.8053757732955,79.42298942868192,79.42298942868192,87.84561093321436,97.67619050939177
workflow1,Q1,workflow1_Q1_q0003,1.0,single_cloud,34.77840579803543,1263.1927870808126,34.77840579803543,43.172003565744944,45.87134898148576,34.77840579803543
workflow1,Q1,workflow1_Q1_q0004,1.0,greedy,64.98946093320576,1629.7365797476405,64.98946093320576,64.98946093320576,69.30321577291504,69.69415050023828
workflow1,Q1,workflow1_Q1_q0005,1.0,greedy,91.77991264000087,2117.095993044325,91.77991264000087,91.77991264000087,103.45150163166453,117.9482072473955
workflow1,Q1,workflow1_Q1_q0006,1.0,greedy,80.77087758458623,1896.2102295318768,80.77087758458623,80.77087758458623,88.3021848228545,94.95057171511912
workflow1,Q1,workflow1_Q1_q0007,1.0,single_cloud,54.38759636524432,1468.331146273549,54.38759636524432,55.394325912931784,58.5943312732862,54.38759636524432
workflow1,Q1,workflow1_Q1_q0008,1.0,greedy,89.44635675655266,2074.842193817066,89.44635675655266,89.44635675655266,101.14997630540323,112.4610866546977
workflow1,Q1,workflow1_Q1_q0009,1.0,greedy,61.9731059533954,1577.1589834817812,61.9731059533954,61.9731059533954,65.49498572278512,66.03847149891807
workflow1,Q1,workflow1_Q1_q0010,1.0,greedy,87.2944441559419,2075.3978457480425,87.2944441559419,87.2944441559419,101.05643475786685,115.65572316251027
workflow1,Q1,workflow1_Q1_q0011,1.0,greedy,55.45070772836298,1528.7584400032408,55.45070772836298,55.45070772836298,59.88285341395048,60.94500098014932
workflow1,Q1,workflow1_Q1_q0012,1.0,greedy,74.56697562619786,1816.055767370785,74.56697562619786,74.56697562619786,83.43544705122902,88.89433929546949
workflow1,Q1,workflow1_Q1_q0013,1.0,greedy,63.97892413745918,1625.3829067993645,63.97892413745918,63.97892413745918,71.06235971345937,71.40158191396465
workflow1,Q1,workflow1_Q1_q0014,1.0,greedy,57.07038051539594,1504.977500044496,57.07038051539594,57.07038051539594,60.74272639227462,59.252223728203134
workflow1,Q1,workflow1_Q1_q0015,1.0,greedy,92.63756108579345,2108.1457563014637,92.63756108579345,92.63756108579345,104.87878112415127,119.2583299690233
workflow1,Q1,workflow1_Q1_q0016,1.0,greedy,49.12418852965268,1418.9673703923386,49.12418852965268,49.12418852965268,51.85589592657349,50.77534863198625
