workflow,quality_level,query_count,eta,calibration_scenarios_per_query,initial_active_fraction,initial_active_strategy,active_batch_fraction,test_scenarios_per_query,calibration_scenario_count,test_scenario_count,method,solver_method,status,reused_last_feasible,objective_value,expected_cost,avg_latency,p95_latency,p99_latency,violation_rate,success_rate,solver_runtime_sec,wall_time_sec,max_rss_mb,num_iterations,active_scenario_count,active_scenario_fraction,assignment_signature,error,process_exitcode
workflow2,Q1,200,0.1,50,0.3,qbr,0.05,50.0,10000.0,10000.0,full_milp,full_milp,OPTIMAL,False,3.379784994389746,3.377792065108809,3693.749945624112,6994.126932678502,7302.562923284831,0.035,0.965,299.35793120000744,466.7707327000098,7843.28125,1,10000,1.0,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_anthropic_global_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-west-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow2,Q1,200,0.1,50,0.3,qbr,0.05,50.0,10000.0,10000.0,decomposed_milp,decomposition,OPTIMAL,False,3.379766345197626,3.377792065108809,3693.749945624112,6994.126932678502,7302.562923284831,0.035,0.965,157.5264698000101,293.6595859999943,2744.52734375,2,3454,0.3454,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_anthropic_global_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-west-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow2,Q1,400,0.1,50,0.3,qbr,,,,,full_milp,,WALL_TIME_LIMIT,False,,,,,,,,,600.0,15638.671875,0,0,,,wall time limit exceeded (600.0s),15
workflow2,Q1,400,0.1,50,0.3,qbr,,,,,decomposed_milp,,WALL_TIME_LIMIT,False,,,,,,,,,600.0,5384.51171875,0,0,,,wall time limit exceeded (600.0s),15
workflow2,Q1,600,0.1,50,0.3,qbr,,,,,full_milp,,WALL_TIME_LIMIT,False,,,,,,,,,600.0,17654.10546875,0,0,,,wall time limit exceeded (600.0s),15
workflow2,Q1,600,0.1,50,0.3,qbr,,,,,decomposed_milp,,WALL_TIME_LIMIT,False,,,,,,,,,600.0,7257.51171875,0,0,,,wall time limit exceeded (600.0s),15
workflow2,Q1,800,0.1,50,0.3,qbr,,,,,full_milp,,WALL_TIME_LIMIT,False,,,,,,,,,600.0,20217.01953125,0,0,,,wall time limit exceeded (600.0s),15
workflow2,Q1,800,0.1,50,0.3,qbr,,,,,decomposed_milp,,WALL_TIME_LIMIT,False,,,,,,,,,300.0,9239.0859375,0,0,,,wall time limit exceeded (300.0s),15
workflow2,Q1,1000,0.1,50,0.3,qbr,,,,,full_milp,,WALL_TIME_LIMIT,False,,,,,,,,,300.0,7903.56640625,0,0,,,wall time limit exceeded (300.0s),15
workflow2,Q1,1000,0.1,50,0.3,qbr,,,,,decomposed_milp,,WALL_TIME_LIMIT,False,,,,,,,,,300.0,8679.3203125,0,0,,,wall time limit exceeded (300.0s),15
