workflow,quality,method,execution_cost,network_cost,storage_cost,expected_cost,source_results_root,scenario_count
workflow1,Q1,skyflow,0.7457128379698117,0.00011897202207751907,0.000261984581955899,0.7460937945738436,results/main_Q1000_S50_eta010,50000
workflow1,Q1,greedy,0.7457128379698117,0.00011894906485569182,0.0002618296278272287,0.7460936166624932,results/main_Q1000_S50_eta010,50000
workflow1,Q1,murakkab,0.7457128379698117,0.00012096768905429524,0.0002612101034524374,0.746095015762317,results/main_Q1000_S50_eta010,50000
workflow1,Q2,skyflow,2.500001237609564,0.00029875371596152186,0.0002649667037789015,2.500564958029303,results/main_Q1000_S50_eta010,50000
workflow1,Q2,greedy,2.500001237609564,0.0002979652509899872,0.0002644143956542007,2.5005636172562062,results/main_Q1000_S50_eta010,50000
workflow1,Q2,murakkab,2.500001237609564,0.12113285391895302,0.00026343046526306483,2.621397521993777,results/main_Q1000_S50_eta010,50000
workflow1,Q3,skyflow,7.038542538516114,0.0005717982035813498,0.0002580015370165897,7.039372338256765,results/main_Q1000_S50_eta010,50000
workflow1,Q3,greedy,7.038542538516114,0.00057177997525497,0.00025725087326861816,7.039371569364691,results/main_Q1000_S50_eta010,50000
workflow1,Q3,murakkab,7.038542538516114,0.1168621296187796,0.00025274630130874085,7.155657414436257,results/main_Q1000_S50_eta010,50000
workflow2,Q1,skyflow,2.091770312286931,0.0002458751146078106,0.00035558316206779877,2.092371770563609,results/main_Q1000_S50_eta010,50000
workflow2,Q1,greedy,2.091770312286931,0.0002458607541042357,0.000355416953863689,2.0923715899949014,results/main_Q1000_S50_eta010,50000
workflow2,Q1,murakkab,2.091770312286931,0.0010676807650894385,0.0003549759274046356,2.0931929689794275,results/main_Q1000_S50_eta010,50000
workflow2,Q2,skyflow,3.835734742380461,0.0005911319768936448,0.00035074210193349303,3.8366766164592794,results/main_Q1000_S50_eta010,50000
workflow2,Q2,greedy,3.83573474238046,0.0005907899133867782,0.0003507767020994896,3.836676308995939,results/main_Q1000_S50_eta010,50000
workflow2,Q2,murakkab,3.835734742380461,0.1189059308342633,0.00034828143512315765,3.954988954649839,results/main_Q1000_S50_eta010,50000
workflow2,Q3,skyflow,8.681950505847311,0.0011883196231359124,0.0003625794093910164,8.683501404879797,results/main_Q1000_S50_eta010,50000
workflow2,Q3,greedy,8.681950505847311,0.0011877182914180717,0.0003616062359473977,8.683499830374634,results/main_Q1000_S50_eta010,50000
workflow2,Q3,murakkab,8.681950505847311,0.12097045704082658,0.0003579908435888721,8.803278953731684,results/main_Q1000_S50_eta010,50000
