workflow,quality_level,method,expected_cost,avg_latency,p95_latency,violation_rate,cvar_value,status
workflow1,Q1,decomposition,0.7729092102652622,61.58803538356694,95.03959673666438,0.032,3.5582170829802244,OPTIMAL
workflow1,Q1,greedy,0.7729091250205746,65.17449734391207,99.61673416609894,0.052,7.33942761990741,optimal
workflow1,Q1,logical_optimal,1.1221670032459383,82.44815302608846,123.35482843559694,0.344,29.174180068821553,optimal
workflow1,Q1,single_cloud,1.1075795394556336,68.67363819898914,106.91169727868612,0.064,12.123610630734298,optimal
workflow1,Q1,murakkab_profile,0.7729091250205746,65.17449734391207,99.61673416609894,0.052,7.33942761990741,optimal
workflow1,Q2,decomposition,2.4795345865994514,53.15622377055992,82.19286555784363,0.012,0.17233696172612886,OPTIMAL
workflow1,Q2,greedy,2.479534460105483,54.809527638612664,84.05833059344224,0.028,0.8986287579093677,optimal
workflow1,Q2,logical_optimal,2.788251785370406,61.642608045029874,95.7459947275437,0.112,5.777880854252063,optimal
workflow1,Q2,single_cloud,2.8003327405679874,59.78217591599122,98.58571794330052,0.032,4.333752492261165,optimal
workflow1,Q2,murakkab_profile,2.479534460105483,54.809527638612664,84.05833059344224,0.028,0.8986287579093677,optimal
workflow1,Q3,decomposition,7.467030064262068,42.134508590629146,65.33135235104443,0.04,0.838375018514894,OPTIMAL
workflow1,Q3,greedy,7.467030064262068,42.134508590629146,65.33135235104443,0.04,0.838375018514894,optimal
workflow1,Q3,logical_optimal,7.784339256657359,56.54483846356325,90.54214940264114,0.412,19.13239024443539,optimal
workflow1,Q3,single_cloud,7.796499779901573,45.69321345690815,74.3853504015203,0.06,4.369013780936443,optimal
workflow1,Q3,murakkab_profile,7.467030517651094,44.72637932268871,68.53757471617452,0.084,3.9875475408684746,optimal
workflow2,Q1,decomposition,2.150797291147287,65.30049791890053,101.53422666109161,0.008,0.32038138025905444,OPTIMAL
workflow2,Q1,greedy,2.1507969260354827,65.14347867577229,101.40773139188634,0.008,0.277915828832007,optimal
workflow2,Q1,logical_optimal,6.903775820464636,84.77356523786317,129.74561282866924,0.352,17.778924814566967,optimal
workflow2,Q1,single_cloud,6.908018936339543,84.77356523786317,129.74561282866924,0.352,17.778924814566967,optimal
workflow2,Q1,murakkab_profile,2.162401988442658,75.30169469572425,119.89251780782793,0.092,5.742226877962228,optimal
workflow2,Q2,decomposition,3.7779774552178598,53.486506272928715,81.86639562844337,0.0,0.0,OPTIMAL
workflow2,Q2,greedy,3.7779560858678334,55.25849243633863,88.24309357922142,0.0,0.0,optimal
workflow2,Q2,logical_optimal,8.450981710879402,60.374595740647436,92.91415596284152,0.052,2.6861065126252712,optimal
workflow2,Q2,single_cloud,8.891265559390558,69.83832443942707,106.69280984037454,0.32,13.754139291323897,optimal
workflow2,Q2,murakkab_profile,3.788343629454297,61.82927639163564,95.38734302069683,0.076,3.9812331965987924,optimal
workflow2,Q3,decomposition,9.685176412111133,45.89947734931163,68.0699069550066,0.008,0.7120608715191808,OPTIMAL
workflow2,Q3,greedy,9.685176412111131,45.89947734931163,68.0699069550066,0.008,0.7120608715191808,optimal
workflow2,Q3,logical_optimal,14.443666207255458,60.88864486060713,92.67145408061228,0.312,17.9343185513872,optimal
workflow2,Q3,single_cloud,14.908478423911184,67.16448352994371,103.41316728515743,0.52,28.029685328310347,optimal
workflow2,Q3,murakkab_profile,9.685609517729125,51.14291215806191,73.92666553749781,0.068,3.2395048033950897,optimal
