workflow,quality_level,method,objective_value,expected_cost,avg_latency,p95_latency,p99_latency,violation_rate,cvar_value,solver_runtime_sec,status
workflow1,Q1,decomposition,0.7205203391930227,0.720895543739806,67.09099713705773,106.21064817717391,117.9837963417004,0.0002,0.0005763565089036433,4.395623300108127,OPTIMAL
workflow1,Q1,full_milp,0.7205203391930227,0.720895543739806,67.09099713705773,106.21064817717391,117.9837963417004,0.0002,0.0005763565089036433,15.714005300076678,OPTIMAL
workflow1,Q1,greedy,0.0,0.720895543739806,67.09099713705773,106.21064817717391,117.9837963417004,0.0002,0.0005763565089036433,176.86205219989643,optimal
workflow1,Q1,murakkab_profile,0.0226,0.8373154386493019,74.13269445195814,118.72929070853715,131.3129853593148,0.0294,1.7046955246386177,3.508931800024584,optimal
workflow1,Q1,single_cloud,0.0506,1.0460943235901075,75.35671560128122,124.12247096760791,137.54164166568563,0.0532,5.259548582263245,6.820386999985203,optimal
workflow1,Q2,decomposition,2.5583728871505818,2.5520860558513583,55.26385888368492,87.68910083714042,95.4234417615991,0.0,0.0,8.814293900039047,OPTIMAL
workflow1,Q2,full_milp,2.558372895837886,2.552086052729951,53.99975204372022,86.16213275107718,93.8131513985435,0.0,0.0,10.608296199934557,OPTIMAL
workflow1,Q2,greedy,0.0,2.5520858118472582,55.43380889991664,87.76842830581694,95.55126645862056,0.0,0.0,163.21697020006832,optimal
workflow1,Q2,murakkab_profile,0.0404,2.675492101414096,61.70900647615666,99.16878983065249,107.86396619285374,0.042,2.328545412508645,3.644072699942626,optimal
workflow1,Q2,single_cloud,0.071,3.0754526643048536,62.93130536418059,102.88416614660657,112.21753762360619,0.0708,5.775311390995747,236.15851629991084,optimal
workflow1,Q3,decomposition,7.9652797618087545,7.962719024078168,48.50820852089731,74.65718055575871,82.13062033126559,0.0,0.0,13.403701600036584,OPTIMAL
workflow1,Q3,full_milp,7.9652797618087545,7.962719024078168,48.50820852089731,74.65718055575871,82.13062033126559,0.0,0.0,12.548724799999036,OPTIMAL
workflow1,Q3,greedy,0.0,7.962720463345662,50.70574370747941,77.21463562298162,84.81217393763082,0.0014,0.020795942603937648,162.436204800033,optimal
workflow1,Q3,murakkab_profile,0.0,7.962720463345662,50.70574370747941,77.21463562298162,84.81217393763082,0.0014,0.020795942603937648,153.1886132999789,optimal
workflow1,Q3,single_cloud,0.0426,8.313847904992185,54.79247082263917,83.93783007530396,92.24734386666495,0.0514,2.316306829754098,231.48664230003487,optimal
workflow2,Q1,decomposition,2.046791347188665,2.0459117947392094,63.192102618253685,101.16897760527822,112.10902517830509,0.0,0.0,58.241951799951494,OPTIMAL
workflow2,Q1,full_milp,2.046792303896322,2.0459127470146057,67.93804522007606,110.77667432442462,123.51874781799062,0.0034,0.05744399606265685,107.43368050002027,OPTIMAL
workflow2,Q1,greedy,0.0,2.9674795860613252,61.42224054377509,103.86956277799563,116.10103465150198,0.0,0.0,444.7298108000541,optimal
workflow2,Q1,murakkab_profile,0.035,2.160626394385123,73.78134855864319,117.95811375119587,130.0380080886242,0.0454,1.6077919076351035,3.8719784000422806,optimal
workflow2,Q1,single_cloud,0.0444,6.744231503343058,74.7878620157448,123.03480157950052,135.52762205592202,0.0456,3.8104933042015547,8.378699399996549,optimal
workflow2,Q2,decomposition,3.9287249574600036,3.9303967460301092,55.40440015629004,88.85177828008634,100.2305148813653,0.0,0.0,30.646465400001034,OPTIMAL
workflow2,Q2,full_milp,3.9287224606248015,3.93039426367749,54.87445985215187,84.91037668611364,95.17115990806911,0.0,0.0,103.28135279996786,OPTIMAL
workflow2,Q2,greedy,0.0,3.9303950080386856,55.66408868585611,89.79197452170034,101.28921594689074,0.0,0.0,427.57560250000097,optimal
workflow2,Q2,murakkab_profile,0.0208,4.052821099308756,61.71633291593094,97.01251684750711,108.25308544045667,0.031,1.2262790038578768,3.97503199998755,optimal
workflow2,Q2,single_cloud,0.3324,9.079173525963581,72.28241730129308,111.6376102126197,123.59273281283217,0.3302,14.718620702750238,7.7233785999706015,optimal
workflow2,Q3,decomposition,8.016456337220847,8.015188156867318,41.05946587376955,68.33163461994238,76.23234150943837,0.0,0.0,63.53933419997338,OPTIMAL
workflow2,Q3,full_milp,8.016456379637706,8.015188200168849,41.24555205724129,68.53939492534636,76.44945522450486,0.0,0.0,108.83512060006615,OPTIMAL
workflow2,Q3,greedy,0.0012,16.38988642132142,42.8275493095064,74.1769665713047,83.8123558670697,0.0032,0.13579096071936614,431.44634699996095,optimal
workflow2,Q3,murakkab_profile,0.011,8.01885077477731,44.096715755052166,73.93104740692233,83.47247740634387,0.0236,0.42169382804484956,789.1255244999193,optimal
workflow2,Q3,single_cloud,0.2368,13.101731720568804,49.92045463005051,81.8859962216889,91.02131840353199,0.245,6.887723507074729,7.837947099935263,optimal
