workflow,quality,method,src,dst,src_provider,src_region,dst_provider,dst_region,egress_cost_per_gb,mean_output_mb,network_cost
workflow1,Q3,Greedy,Q/A,ClientSink,Azure,westus2,client,local,0.087,0.006221935403704334,5.286214649631539e-07
workflow1,Q3,Murakkab-style,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,148.83899763916193,0.0
workflow1,Q3,Murakkab-style,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,ap-southeast-1,0.8,148.83899763916193,0.1162804669055953
workflow1,Q3,Murakkab-style,Video Split & Sample,Video Caption,Aliyun,ap-southeast-1,Anthropic,global,0.12,4.957299883737027,0.000580933580125429
workflow1,Q3,Murakkab-style,Video Caption,Q/A,Anthropic,global,Anthropic,global,0.0,0.024803257563965703,0.0
workflow1,Q3,Murakkab-style,Q/A,ClientSink,Anthropic,global,client,local,0.12,0.006221935403704334,7.291330551215991e-07
workflow2,Q1,SkyFlow,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,155.13790426337408,0.0
workflow2,Q1,SkyFlow,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,155.13790426337408,0.0
workflow2,Q1,SkyFlow,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,AWS,us-west-2,0.118,1.040247214301355,0.00011987223758550778
workflow2,Q1,SkyFlow,Video Caption,Database,AWS,us-west-2,Aliyun,cn-shanghai,0.09,0.0010495698312832631,9.224734845263108e-08
workflow2,Q1,SkyFlow,Video Split & Sample,OCR,Aliyun,cn-shanghai,Azure,eastus,0.118,1.040247214301355,0.00011987223758550778
workflow2,Q1,SkyFlow,OCR,Database,Azure,eastus,Aliyun,cn-shanghai,0.087,0.0020613570616191284,1.7513482847740465e-07
workflow2,Q1,SkyFlow,Video Split & Sample,Label Detection,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,1.040247214301355,0.0
workflow2,Q1,SkyFlow,Label Detection,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,0.008674697184275649,0.0
workflow2,Q1,SkyFlow,ClientSource,Speech Transcription,client,local,Aliyun,cn-shanghai,0.0,155.13790426337408,0.0
workflow2,Q1,SkyFlow,Speech Transcription,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,0.30844903220001185,0.0
workflow2,Q1,SkyFlow,Database,Q/A,Aliyun,cn-shanghai,AWS,eu-central-1,0.118,0.04794306821253062,5.524689501053361e-06
workflow2,Q1,SkyFlow,Q/A,ClientSink,AWS,eu-central-1,client,local,0.09,0.0038521487224604596,3.385677588100033e-07
workflow2,Q1,Greedy,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,155.13790426337408,0.0
workflow2,Q1,Greedy,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,155.13790426337408,0.0
workflow2,Q1,Greedy,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,Azure,eastus,0.118,1.040247214301355,0.00011987223758550778
workflow2,Q1,Greedy,Video Caption,Database,Azure,eastus,Aliyun,cn-shanghai,0.087,0.0010495698312832631,8.917243683754239e-08
workflow2,Q1,Greedy,Video Split & Sample,OCR,Aliyun,cn-shanghai,Azure,eastus,0.118,1.040247214301355,0.00011987223758550778
workflow2,Q1,Greedy,OCR,Database,Azure,eastus,Aliyun,cn-shanghai,0.087,0.0020613570616191284,1.7513482847740465e-07
workflow2,Q1,Greedy,Video Split & Sample,Label Detection,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,1.040247214301355,0.0
workflow2,Q1,Greedy,Label Detection,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,0.008674697184275649,0.0
workflow2,Q1,Greedy,ClientSource,Speech Transcription,client,local,Aliyun,cn-shanghai,0.0,155.13790426337408,0.0
workflow2,Q1,Greedy,Speech Transcription,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,0.30844903220001185,0.0
workflow2,Q1,Greedy,Database,Q/A,Aliyun,cn-shanghai,Azure,westus2,0.118,0.04794306821253062,5.524689501053361e-06
workflow2,Q1,Greedy,Q/A,ClientSink,Azure,westus2,client,local,0.087,0.0038521487224604596,3.272821668496698e-07
