workflow,quality_level,query_id,budget_factor,best_baseline,baseline_p90_min,sla_sec_old,sla_sec_new,p90_greedy,p90_logical_optimal,p90_single_cloud
workflow1,Q1,workflow1_Q1_q0000,1.25,greedy,93.53378320162878,104.0889952856476,116.91722900203598,93.53378320162878,125.34627101852818,108.43760309053158
workflow1,Q1,workflow1_Q1_q0001,1.25,greedy,61.559429385167576,68.64727596110257,76.94928673145947,61.559429385167576,82.59465100623902,68.98222553415674
workflow1,Q1,workflow1_Q1_q0002,1.25,greedy,79.15879929627266,88.20443142669126,98.94849912034083,79.15879929627266,102.57791814998038,86.49092942366181
workflow1,Q1,workflow1_Q1_q0003,1.25,greedy,53.4877379572146,59.85437500395036,66.85967244651825,53.4877379572146,71.25320979324115,56.3582060309206
workflow1,Q1,workflow1_Q1_q0004,1.25,greedy,82.00194528338308,91.3075135359366,102.50243160422885,82.00194528338308,108.44612852718039,92.90072113256367
workflow1,Q1,workflow1_Q1_q0005,1.25,single_cloud,51.70589992205988,56.87648991426587,64.63237490257485,52.287375172184134,67.73193237459671,51.70589992205988
workflow1,Q1,workflow1_Q1_q0006,1.25,greedy,86.073763903942,95.85702111274593,107.5922048799275,86.073763903942,113.01426965274898,96.31535045391381
workflow1,Q1,workflow1_Q1_q0007,1.25,greedy,93.47461335250895,103.98283049538882,116.8432666906362,93.47461335250895,120.17980381006939,103.98537805442865
workflow1,Q1,workflow1_Q1_q0008,1.25,single_cloud,48.672673436964914,53.53994078066141,60.84084179620614,50.63236915438898,65.65167390499171,48.672673436964914
workflow1,Q1,workflow1_Q1_q0009,1.25,greedy,84.08141847015739,93.71123503310594,105.10177308769673,84.08141847015739,107.60208611189465,90.31536878915554
workflow1,Q1,workflow1_Q1_q0010,1.25,single_cloud,44.252691075080655,48.67796018258873,55.31586384385082,46.91954362098435,60.811061293999394,44.252691075080655
workflow1,Q1,workflow1_Q1_q0011,1.25,greedy,86.1912087661593,95.99146963930012,107.73901095769914,86.1912087661593,113.5506881763188,97.11202446137828
workflow1,Q1,workflow1_Q1_q0012,1.25,single_cloud,44.52169661319929,48.973866274519224,55.65212076649911,47.60949741050257,61.5732172113137,44.52169661319929
workflow1,Q1,workflow1_Q1_q0013,1.25,greedy,98.6228128751116,109.6750753508499,123.27851609388951,98.6228128751116,127.9939326745442,111.62972777257994
workflow1,Q1,workflow1_Q1_q0014,1.25,single_cloud,45.19263176996859,49.71189494696546,56.49078971246074,46.282841048849654,60.59090176469113,45.19263176996859
workflow1,Q1,workflow1_Q1_q0015,1.25,greedy,100.54115172820559,111.79453413099758,125.67643966025699,100.54115172820559,133.87239893177352,117.45658417779971
workflow1,Q1,workflow1_Q1_q0016,1.25,greedy,96.03983269730266,106.89386092662112,120.04979087162832,96.03983269730266,122.05730907858376,104.79058488340233
workflow1,Q1,workflow1_Q1_q0017,1.25,greedy,83.66030776498376,93.28008615945632,104.5753847062297,83.66030776498376,110.6931165616225,93.08087556221996
workflow1,Q1,workflow1_Q1_q0018,1.25,greedy,76.84783135783164,85.52126652130163,96.05978919728955,76.84783135783164,102.31855138546172,88.20397181328872
workflow1,Q1,workflow1_Q1_q0019,1.25,greedy,83.98361543175783,93.46373278105251,104.97951928969728,83.98361543175783,113.06758915375644,97.7188137052628
workflow1,Q1,workflow1_Q1_q0020,1.25,greedy,103.5553358225789,115.15560782171916,129.44416977822362,103.5553358225789,130.947020261894,113.99487322619487
workflow1,Q1,workflow1_Q1_q0021,1.25,greedy,57.37329577287092,64.23728953937884,71.71661971608864,57.37329577287092,76.61793743879214,60.0109680403155
workflow1,Q1,workflow1_Q1_q0022,1.25,greedy,61.15456192038486,68.15189321028195,76.44320240048107,61.15456192038486,84.99149786006124,72.21592562525602
workflow1,Q1,workflow1_Q1_q0023,1.25,single_cloud,39.5306734040311,43.483740744434215,49.41334175503887,41.27093354260072,54.074885292590004,39.5306734040311
