workflow,quality_level,method,objective_value,expected_cost,avg_latency,p95_latency,p99_latency,violation_rate,cvar_value,solver_runtime_sec,status
workflow1,Q1,decomposition,0.7205205561566655,0.7208957611384529,65.35154861845093,103.57700931134261,114.79010633289887,0.0,0.0,4.492440799949691,OPTIMAL
workflow1,Q1,full_milp,0.7205205110512661,0.7208957154883718,64.73860597878918,102.95854290033871,114.12817072582303,0.0,0.0,11.68465039995499,OPTIMAL
workflow1,Q1,greedy,0.0,0.720895543739806,65.89553664911053,104.31492130183618,115.60588892570145,0.0,0.0,178.68489740008954,optimal
workflow1,Q1,murakkab_profile,0.0218,0.8373154386493019,72.87481186033544,116.2102860064984,128.83546046298758,0.0272,1.5200669206984014,3.5662541000638157,optimal
workflow1,Q1,single_cloud,0.0308,1.0460943235901075,72.72630340213378,119.33739121523764,131.85574654277113,0.0328,2.7534954646251992,7.246399599942379,optimal
workflow1,Q2,decomposition,2.558372895837886,2.552086052729951,54.58083936099289,87.13677815967327,94.98983763738174,0.0,0.0,4.060963100055233,OPTIMAL
workflow1,Q2,full_milp,2.558372895837886,2.552086052729951,54.58083936099289,87.13677815967327,94.98983763738174,0.0,0.0,13.278867000015453,OPTIMAL
workflow1,Q2,greedy,0.0,2.5520858118472582,56.07001356316432,88.90432534995819,96.74402418484145,0.0,0.0,163.9899675999768,optimal
workflow1,Q2,murakkab_profile,0.05,2.675492101414096,62.75190224556214,100.86689434250066,109.75509253372066,0.0488,3.0140880236337266,3.4513877000426874,optimal
workflow1,Q2,single_cloud,0.089,3.075658729962708,64.22268553420389,102.03395325250014,110.84831969809024,0.0906,4.420808327609709,234.10469630011357,optimal
workflow1,Q3,decomposition,7.9652797618087545,7.962719024078168,45.19112165846991,69.43616090089039,76.43989545636957,0.0,0.0,8.668844100087881,OPTIMAL
workflow1,Q3,full_milp,7.9652797618087545,7.962719024078168,45.19112165846991,69.43616090089039,76.43989545636957,0.0,0.0,13.577391500002705,OPTIMAL
workflow1,Q3,greedy,0.0,7.962719893338581,43.09451897163645,66.83027526992294,73.69455295281807,0.0,0.0,162.0909903999418,optimal
workflow1,Q3,murakkab_profile,0.0002,7.962720463345662,47.22215845553807,71.7232305757493,78.8035502930911,0.001,0.014289945187957643,150.64360650000162,optimal
workflow1,Q3,single_cloud,0.05,9.0441860117666,50.73618451983948,80.3904221053216,88.9589257154033,0.0518,3.281148581337633,236.85960920003708,optimal
workflow2,Q1,decomposition,2.046791526944267,2.0459119736722533,62.242395840114334,99.4133996119117,110.34579088123189,0.0,0.0,121.81339800020214,OPTIMAL
workflow2,Q1,full_milp,2.0467913760992804,2.0459118232897877,59.7030869398983,96.35889258778596,107.21694361767078,0.0,0.0,113.0416097000707,OPTIMAL
workflow2,Q1,greedy,0.0,2.0459116990489155,58.36880552533909,94.72351630886878,105.5617670404814,0.0,0.0,444.626175200101,optimal
workflow2,Q1,murakkab_profile,0.0296,2.160626394385123,74.27108175156832,122.07738326617596,135.68638138220027,0.0384,1.1417945595098937,3.8830223000841215,optimal
workflow2,Q1,single_cloud,0.004,6.744231503343058,72.23439074603262,118.28302770989411,130.33435642122083,0.0042,0.12936387159710738,7.881763899931684,optimal
workflow2,Q2,decomposition,3.9287249574600036,3.9303967460301092,59.933250897474444,101.48937084186628,114.19724890604098,0.0012,0.06281370279630903,86.50762739998754,OPTIMAL
workflow2,Q2,full_milp,3.9287249574600036,3.9303967460301092,59.933250897474444,101.48937084186628,114.19724890604098,0.0012,0.06281370279630903,97.12021810002625,OPTIMAL
workflow2,Q2,greedy,0.0,3.930393489197142,54.656247650592434,84.98179130403877,95.10407456384655,0.0,0.0,423.68151220004074,optimal
workflow2,Q2,murakkab_profile,0.008,4.052821099308756,63.554618562969715,101.7226819497798,114.19724890604098,0.0128,0.38424331391374805,4.263387700077146,optimal
workflow2,Q2,single_cloud,0.0704,8.85162187780904,67.46849631613352,106.54071722202174,118.28336816664084,0.0838,4.2635373728984245,8.11829549993854,optimal
workflow2,Q3,decomposition,8.016456682162639,8.01518849993006,39.07803200271585,64.46677906075736,71.61041443483064,0.0004,0.001655012891491239,102.34701359993778,OPTIMAL
workflow2,Q3,full_milp,8.016456332148872,8.015188151707223,38.57174341652119,63.67891154787445,70.80852862483378,0.0,0.0,167.95359879999887,OPTIMAL
workflow2,Q3,greedy,0.0,16.38988642132142,38.53520134671145,63.659446481632294,70.82011448189375,0.0,0.0,427.7039245000342,optimal
workflow2,Q3,murakkab_profile,0.0252,8.01885077477731,47.71691567954183,86.6688342055965,97.92630880372819,0.0424,2.267245087288713,784.5188730000518,optimal
workflow2,Q3,single_cloud,0.183,13.101731720568804,49.380905076412546,80.72892945866904,89.26967238932592,0.1906,6.485903304932352,8.224455400020815,optimal
