workflow,quality_level,query_id,budget_factor,best_baseline,baseline_p90_min,sla_sec_old,sla_sec_new,p90_greedy,p90_murakkab_profile,p90_single_cloud
workflow1,Q1,workflow1_Q1_q0000,1.1,greedy,68.45647622797871,1629.7365797476405,75.3021238507766,68.45647622797871,73.28792087717464,80.52795806452056
workflow1,Q1,workflow1_Q1_q0001,1.1,greedy,110.01442208780101,2117.095993044325,121.01586429658111,110.01442208780101,118.55504333225213,128.77115131685673
workflow1,Q1,workflow1_Q1_q0002,1.1,greedy,101.03257638421486,1896.2102295318768,111.13583402263636,101.03257638421486,107.35528776646542,116.36743080907348
workflow1,Q1,workflow1_Q1_q0003,1.1,greedy,69.013897903055,1468.331146273549,75.9152876933605,69.013897903055,70.08482348298979,75.53239985548576
workflow1,Q1,workflow1_Q1_q0004,1.1,greedy,111.62224234407313,2074.842193817066,122.78446657848045,111.62224234407313,119.84720109151543,130.14975380673965
workflow1,Q1,workflow1_Q1_q0005,1.1,greedy,78.68409372516625,1577.1589834817812,86.55250309768289,78.68409372516625,80.02284114738951,85.83100211705509
workflow1,Q1,workflow1_Q1_q0006,1.1,greedy,114.619852966195,2075.3978457480425,126.08183826281451,114.619852966195,123.43652645506012,135.21139496607873
workflow1,Q1,workflow1_Q1_q0007,1.1,greedy,69.72210454229716,1528.7584400032408,76.69431499652688,69.72210454229716,70.52573875414069,75.58587342618377
workflow1,Q1,workflow1_Q1_q0008,1.1,greedy,94.97466494136583,1816.055767370785,104.47213143550242,94.97466494136583,100.65506911642348,108.4678417005174
workflow1,Q1,workflow1_Q1_q0009,1.1,greedy,77.61881614659022,1625.3829067993645,85.38069776124925,77.61881614659022,79.6498714083048,85.39971737855223
workflow1,Q1,workflow1_Q1_q0010,1.1,greedy,58.77658002960185,1504.977500044496,64.65423803256205,58.77658002960185,60.61028359938297,65.69885472532306
workflow1,Q1,workflow1_Q1_q0011,1.1,greedy,114.92107967849391,2108.1457563014637,126.41318764634332,114.92107967849391,121.4544824497165,130.7266063643612
workflow1,Q1,workflow1_Q1_q0012,1.1,murakkab_profile,61.31757899496475,1418.9673703923386,67.44933689446123,61.77482300814411,61.31757899496475,65.49962359190553
