workflow,quality_level,query_count,full_status,decomposed_status,full_wall_time_sec,decomposed_wall_time_sec,wall_ratio_full_over_decomposed,full_solver_runtime_sec,decomposed_solver_runtime_sec,full_max_rss_mb,decomposed_max_rss_mb,memory_ratio_full_over_decomposed
workflow1,Q1,100,OPTIMAL,OPTIMAL,23.926029416994425,17.43884012500348,1.3719966032998796,7.587548499999684,2.778172000005725,1088.46875,934.59375,1.1646437288929012
workflow1,Q1,200,OPTIMAL,OPTIMAL,42.31670729200414,42.44798674999038,0.9969072865867715,16.703896083010477,11.605258501003846,1509.28125,1557.96875,0.9687493731822284
workflow1,Q1,300,OPTIMAL,OPTIMAL,62.44291300000623,58.69170212499739,1.0639138198278826,27.80201837500499,17.913179665993084,2257.296875,1973.984375,1.143523172517513
workflow1,Q1,400,OPTIMAL,OPTIMAL,85.58310929100844,76.14014312499785,1.1240208617746916,41.69344658400223,25.235840292996727,2780.015625,2413.09375,1.1520545461609188
workflow1,Q1,500,OPTIMAL,OPTIMAL,103.72082958300598,91.93164870899636,1.128238545044781,50.58599950000644,31.306099417008227,2857.734375,2828.015625,1.0105086937063865
workflow1,Q1,600,OPTIMAL,OPTIMAL,128.5705809170031,64.61345220799558,1.9898423087366497,65.20460795800318,21.157145124991075,3897.984375,2328.484375,1.6740436040074351
workflow1,Q1,700,OPTIMAL,OPTIMAL,150.48058254100033,125.58644108301088,1.1982231620174248,78.8679068749916,45.00918662501499,4434.421875,3710.078125,1.1952367916780728
workflow1,Q1,800,OPTIMAL,OPTIMAL,175.2931417919899,143.49594179200358,1.221589541856704,94.17949116601083,52.729072791014914,4613.546875,4131.96875,1.1165493144157976
workflow1,Q1,900,OPTIMAL,OPTIMAL,198.36311008399937,160.3120409999974,1.2373562762138532,108.46861087500292,59.87620045800577,5217.1875,4620.171875,1.1292193539877777
workflow1,Q1,1000,OPTIMAL,OPTIMAL,223.59802320798917,175.44877879200794,1.2744347652203467,123.56890154200664,65.38749558299605,5692.9375,4892.421875,1.1636235887772863
workflow1,Q2,100,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE,13.077004334001684,33.4059997919976,0.3914567567330907,,7.96360437500698,887.171875,1129.609375,0.7853793485026627
workflow1,Q2,200,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE,26.600639125012098,55.754429125008755,0.4771036049058985,,17.88438645901624,1371.296875,1568.25,0.8744121632392795
workflow1,Q2,300,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE,41.22855245799292,85.6583887500019,0.481313658354238,,35.504315750004025,1865.0625,1997.3125,0.9337860249710549
workflow1,Q2,400,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE,58.2154032089893,111.60465716700128,0.5216216301966488,,49.44008108298294,2474.953125,2423.421875,1.0212638379357701
workflow1,Q2,500,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE,142.75564962498902,146.30190254200716,0.9757607190651543,,71.89432958299585,2969.0625,2830.078125,1.0491097308488613
workflow1,Q2,600,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE,94.18290208399412,166.5284064170119,0.5655665847672026,,79.86889125099697,3453.625,3107.734375,1.1112999321249906
workflow1,Q2,700,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE,327.28780454199295,247.03084495798976,1.324886390594874,,147.44538200000534,4018.359375,3612.25,1.11242560038757
workflow1,Q2,800,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE,421.22822254100174,289.4338810000045,1.4553521553373194,,178.64005124900723,4443.765625,4012.5625,1.1074632793881716
workflow1,Q2,900,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE,402.40624195900455,304.2643833750044,1.3225545412032034,,178.4778732080158,4636.359375,4533.140625,1.022769809837964
workflow1,Q2,1000,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE,488.7859027920058,392.98064787499607,1.2437912793799573,,256.84517537600186,5129.625,4787.203125,1.0715285869554574
workflow1,Q3,100,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE,12.920910000000733,23.2921237499977,0.5547330135579418,,4.18083741699229,877.59375,1076.109375,0.8155246765692381
workflow1,Q3,200,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE,26.213810250003007,35.431811957998434,0.7398382640175832,,8.28958937501011,1392.96875,1549.953125,0.8987166950613426
workflow1,Q3,300,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE,40.67184054100653,48.56520037500013,0.8374688094964217,,13.246045626001433,1914.0625,1927.03125,0.993270088380767
workflow1,Q3,400,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE,56.1473165419884,64.61627170800057,0.86893463608852,,21.158626749995165,2447.015625,2391.65625,1.0231468778174122
workflow1,Q3,500,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE,202.50246541699744,78.89039479198982,2.5668836611977337,,27.70064954199188,2981.921875,2786.265625,1.0702216788824648
workflow1,Q3,600,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE,90.82825854099065,94.77179370900558,0.9583891470902887,,35.399366042009206,3402.0625,3105.28125,1.095573066046755
workflow1,Q3,700,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE,396.7062069999956,106.48576933299772,3.7254387087107665,,38.79080170800444,4117.71875,3568.09375,1.1540388337610243
workflow1,Q3,800,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE,322.6513340409874,127.99295749999874,2.520852243304016,,52.10305879100633,4464.03125,3938.65625,1.133389401524949
workflow1,Q3,900,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE,372.1062518749968,144.2570485000033,2.5794666932686363,,61.21224645800248,4705.828125,4281.734375,1.0990471880918582
workflow1,Q3,1000,FAILED,INFEASIBLE_REUSED_LAST_FEASIBLE,454.92694366700016,198.1823080000031,2.2954972533017077,,106.88495325000258,5136.109375,4726.859375,1.0865796859040258
