run_id,feature,index,image_name,image_path,gcs_uri,image_size_bytes,width,height,upload_sec,start_utc,end_utc,execution_time_sec,success,detection_count,response_size_bytes,response_json_path,error_message
20260607_131224_6bf2d9f4,text,13,frame_013_idx03070.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_013_idx03070.jpg,gs://skyflow-ae/frames_sample/frame_013_idx03070.jpg,209946,3840,2160,0.000000,2026-06-07T13:15:17.751818+00:00,2026-06-07T13:15:23.105182+00:00,5.353314,1,2,5384,/Users/heng/Documents/skybridge/sim/video_clips/scripts/results/gcp_ocr_text_detection_with_response_json/0013_frame_013_idx03070.jpg.json,
20260607_131224_6bf2d9f4,text,14,frame_014_idx03169.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_014_idx03169.jpg,gs://skyflow-ae/frames_sample/frame_014_idx03169.jpg,145962,3840,2160,0.000000,2026-06-07T13:15:23.106287+00:00,2026-06-07T13:15:26.933717+00:00,3.902032,1,2,5384,/Users/heng/Documents/skybridge/sim/video_clips/scripts/results/gcp_ocr_text_detection_with_response_json/0014_frame_014_idx03169.jpg.json,
20260607_131224_6bf2d9f4,text,15,frame_015_idx03309.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_015_idx03309.jpg,gs://skyflow-ae/frames_sample/frame_015_idx03309.jpg,431647,3840,2160,0.000000,2026-06-07T13:15:26.934789+00:00,2026-06-07T13:15:30.144100+00:00,3.209319,1,2,5384,/Users/heng/Documents/skybridge/sim/video_clips/scripts/results/gcp_ocr_text_detection_with_response_json/0015_frame_015_idx03309.jpg.json,
20260607_131224_6bf2d9f4,text,16,frame_016_idx03349.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_016_idx03349.jpg,gs://skyflow-ae/frames_sample/frame_016_idx03349.jpg,437404,3840,2160,0.000000,2026-06-07T13:15:30.144503+00:00,2026-06-07T13:15:33.833376+00:00,3.688888,1,2,5384,/Users/heng/Documents/skybridge/sim/video_clips/scripts/results/gcp_ocr_text_detection_with_response_json/0016_frame_016_idx03349.jpg.json,
20260607_131224_6bf2d9f4,text,17,frame_017_idx03358.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_017_idx03358.jpg,gs://skyflow-ae/frames_sample/frame_017_idx03358.jpg,445965,3840,2160,0.000000,2026-06-07T13:15:33.834704+00:00,2026-06-07T13:15:36.992682+00:00,3.157961,1,2,5384,/Users/heng/Documents/skybridge/sim/video_clips/scripts/results/gcp_ocr_text_detection_with_response_json/0017_frame_017_idx03358.jpg.json,
20260607_131224_6bf2d9f4,text,18,frame_018_idx03648.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_018_idx03648.jpg,gs://skyflow-ae/frames_sample/frame_018_idx03648.jpg,399150,3840,2160,0.000000,2026-06-07T13:15:36.993394+00:00,2026-06-07T13:15:40.177188+00:00,3.183797,1,2,5384,/Users/heng/Documents/skybridge/sim/video_clips/scripts/results/gcp_ocr_text_detection_with_response_json/0018_frame_018_idx03648.jpg.json,
20260607_131224_6bf2d9f4,text,19,frame_019_idx04090.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_019_idx04090.jpg,gs://skyflow-ae/frames_sample/frame_019_idx04090.jpg,329024,3840,2160,0.000000,2026-06-07T13:15:40.178664+00:00,2026-06-07T13:15:43.216730+00:00,3.038060,1,4,11530,/Users/heng/Documents/skybridge/sim/video_clips/scripts/results/gcp_ocr_text_detection_with_response_json/0019_frame_019_idx04090.jpg.json,
20260607_131224_6bf2d9f4,text,20,frame_020_idx04572.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_020_idx04572.jpg,gs://skyflow-ae/frames_sample/frame_020_idx04572.jpg,234510,3840,2160,0.000000,2026-06-07T13:15:43.218061+00:00,2026-06-07T13:15:46.981244+00:00,3.763160,1,2,5384,/Users/heng/Documents/skybridge/sim/video_clips/scripts/results/gcp_ocr_text_detection_with_response_json/0020_frame_020_idx04572.jpg.json,
20260607_131224_6bf2d9f4,text,21,frame_021_idx05094.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_021_idx05094.jpg,gs://skyflow-ae/frames_sample/frame_021_idx05094.jpg,340760,3840,2160,0.000000,2026-06-07T13:15:46.982574+00:00,2026-06-07T13:15:50.149729+00:00,3.167151,1,2,5384,/Users/heng/Documents/skybridge/sim/video_clips/scripts/results/gcp_ocr_text_detection_with_response_json/0021_frame_021_idx05094.jpg.json,
20260607_131224_6bf2d9f4,text,22,frame_022_idx05231.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_022_idx05231.jpg,gs://skyflow-ae/frames_sample/frame_022_idx05231.jpg,327565,3840,2160,0.000000,2026-06-07T13:15:50.150135+00:00,2026-06-07T13:15:53.275519+00:00,3.125390,1,2,5384,/Users/heng/Documents/skybridge/sim/video_clips/scripts/results/gcp_ocr_text_detection_with_response_json/0022_frame_022_idx05231.jpg.json,
