run_id,feature,index,image_name,image_path,gcs_uri,image_size_bytes,width,height,upload_sec,start_utc,end_utc,execution_time_sec,success,detection_count,error_message
20260606_122418_bcaf80fe,label,19,frame_019_idx04090.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_019_idx04090.jpg,gs://skyflow-ae/frames_sample/frame_019_idx04090.jpg,329024,3840,2160,1.536218,2026-06-06T12:28:49.691560+00:00,2026-06-06T12:28:53.757448+00:00,4.065974,1,10,
20260606_122418_bcaf80fe,label,20,frame_020_idx04572.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_020_idx04572.jpg,gs://skyflow-ae/frames_sample/frame_020_idx04572.jpg,234510,3840,2160,1.091195,2026-06-06T12:28:53.757542+00:00,2026-06-06T12:28:57.617919+00:00,3.860457,1,10,
20260606_122418_bcaf80fe,label,21,frame_021_idx05094.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_021_idx05094.jpg,gs://skyflow-ae/frames_sample/frame_021_idx05094.jpg,340760,3840,2160,1.026313,2026-06-06T12:28:57.618820+00:00,2026-06-06T12:29:00.674355+00:00,3.055592,1,10,
20260606_122418_bcaf80fe,label,22,frame_022_idx05231.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_022_idx05231.jpg,gs://skyflow-ae/frames_sample/frame_022_idx05231.jpg,327565,3840,2160,1.364246,2026-06-06T12:29:00.674447+00:00,2026-06-06T12:29:04.719218+00:00,4.044858,1,10,
20260606_122418_bcaf80fe,label,23,frame_023_idx05329.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_023_idx05329.jpg,gs://skyflow-ae/frames_sample/frame_023_idx05329.jpg,1512083,3840,2160,1.835737,2026-06-06T12:29:04.719308+00:00,2026-06-06T12:29:08.119782+00:00,3.400543,1,5,
20260606_122418_bcaf80fe,label,24,frame_024_idx06300.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_024_idx06300.jpg,gs://skyflow-ae/frames_sample/frame_024_idx06300.jpg,597653,3840,2160,1.627092,2026-06-06T12:29:08.119881+00:00,2026-06-06T12:29:11.319902+00:00,3.200084,1,10,
20260606_122418_bcaf80fe,label,25,frame_025_idx06515.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_025_idx06515.jpg,gs://skyflow-ae/frames_sample/frame_025_idx06515.jpg,1970577,3840,2160,1.730338,2026-06-06T12:29:11.320009+00:00,2026-06-06T12:29:15.876088+00:00,4.556171,1,10,
20260606_122418_bcaf80fe,label,26,frame_026_idx06865.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_026_idx06865.jpg,gs://skyflow-ae/frames_sample/frame_026_idx06865.jpg,722324,3840,2160,1.744717,2026-06-06T12:29:15.876258+00:00,2026-06-06T12:29:20.075714+00:00,4.199539,1,8,
20260606_122418_bcaf80fe,label,27,frame_027_idx07055.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_027_idx07055.jpg,gs://skyflow-ae/frames_sample/frame_027_idx07055.jpg,411726,3840,2160,1.164057,2026-06-06T12:29:20.075881+00:00,2026-06-06T12:29:23.754092+00:00,3.678281,1,8,
20260606_122418_bcaf80fe,label,28,frame_028_idx07164.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_028_idx07164.jpg,gs://skyflow-ae/frames_sample/frame_028_idx07164.jpg,1879543,3840,2160,2.031600,2026-06-06T12:29:23.754235+00:00,2026-06-06T12:29:28.144810+00:00,4.390665,1,8,
20260606_122418_bcaf80fe,label,29,frame_029_idx07223.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_029_idx07223.jpg,gs://skyflow-ae/frames_sample/frame_029_idx07223.jpg,1907101,3840,2160,1.466453,2026-06-06T12:29:28.144962+00:00,2026-06-06T12:29:32.765329+00:00,4.620461,1,8,
20260606_122418_bcaf80fe,label,30,frame_030_idx07314.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_030_idx07314.jpg,gs://skyflow-ae/frames_sample/frame_030_idx07314.jpg,1557952,3840,2160,1.639120,2026-06-06T12:29:32.765446+00:00,2026-06-06T12:29:37.372785+00:00,4.607432,1,6,
