run_id,feature,index,image_name,image_path,gcs_uri,image_size_bytes,width,height,upload_sec,start_utc,end_utc,execution_time_sec,success,detection_count,error_message
20260606_123400_0fb3969b,text,1,frame_001_idx00212.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_001_idx00212.jpg,gs://skyflow-ae/frames_sample/frame_001_idx00212.jpg,325855,3840,2160,0.000000,2026-06-06T12:35:48.370364+00:00,2026-06-06T12:35:54.371337+00:00,6.001073,1,2,
20260606_123400_0fb3969b,text,2,frame_002_idx00819.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_002_idx00819.jpg,gs://skyflow-ae/frames_sample/frame_002_idx00819.jpg,841818,3840,2160,0.000000,2026-06-06T12:35:54.371504+00:00,2026-06-06T12:35:57.615631+00:00,3.244179,1,2,
20260606_123400_0fb3969b,text,3,frame_003_idx00869.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_003_idx00869.jpg,gs://skyflow-ae/frames_sample/frame_003_idx00869.jpg,242573,3840,2160,0.000000,2026-06-06T12:35:57.615853+00:00,2026-06-06T12:36:00.656469+00:00,3.040662,1,2,
20260606_123400_0fb3969b,text,4,frame_004_idx00976.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_004_idx00976.jpg,gs://skyflow-ae/frames_sample/frame_004_idx00976.jpg,255499,3840,2160,0.000000,2026-06-06T12:36:00.656592+00:00,2026-06-06T12:36:03.654650+00:00,2.998108,1,2,
20260606_123400_0fb3969b,text,5,frame_005_idx01041.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_005_idx01041.jpg,gs://skyflow-ae/frames_sample/frame_005_idx01041.jpg,259684,3840,2160,0.000000,2026-06-06T12:36:03.654749+00:00,2026-06-06T12:36:06.718583+00:00,3.063884,1,2,
20260606_123400_0fb3969b,text,6,frame_006_idx01423.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_006_idx01423.jpg,gs://skyflow-ae/frames_sample/frame_006_idx01423.jpg,357458,3840,2160,0.000000,2026-06-06T12:36:06.718749+00:00,2026-06-06T12:36:09.769692+00:00,3.050988,1,2,
20260606_123400_0fb3969b,text,7,frame_007_idx01501.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_007_idx01501.jpg,gs://skyflow-ae/frames_sample/frame_007_idx01501.jpg,1123118,3840,2160,0.000000,2026-06-06T12:36:09.769833+00:00,2026-06-06T12:36:13.110712+00:00,3.340929,1,2,
20260606_123400_0fb3969b,text,8,frame_008_idx02279.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_008_idx02279.jpg,gs://skyflow-ae/frames_sample/frame_008_idx02279.jpg,500299,3840,2160,0.000000,2026-06-06T12:36:13.110831+00:00,2026-06-06T12:36:16.451557+00:00,3.340778,1,2,
20260606_123400_0fb3969b,text,9,frame_009_idx02582.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_009_idx02582.jpg,gs://skyflow-ae/frames_sample/frame_009_idx02582.jpg,359887,3840,2160,0.000000,2026-06-06T12:36:16.451713+00:00,2026-06-06T12:36:19.534392+00:00,3.082722,1,2,
20260606_123400_0fb3969b,text,10,frame_010_idx02614.jpg,/Users/heng/Documents/skybridge/sim/video_clips/frames_sample/frame_010_idx02614.jpg,gs://skyflow-ae/frames_sample/frame_010_idx02614.jpg,351911,3840,2160,0.000000,2026-06-06T12:36:19.534542+00:00,2026-06-06T12:36:22.537751+00:00,3.003257,1,2,
