sweep,fixed_dimension,fixed_value,Q,S,variant,batch_k,wall_clock_sec,master_iterations,peak_memory_bytes,objective_value,pulp_status,error
fixed_Q_S,Q_S,"80,20",80,20,no_warm_start,10,49.74072017602157,15,626872320,-21.827938925762233,Optimal,
fixed_Q_S,Q_S,"80,20",80,20,direct_milp,10,30.19568497900036,,803495936,-21.82787060450933,Optimal,
fixed_Q_S,Q_S,"80,40",80,40,full,10,181.92994618500234,29,972513280,-29.001528115964348,Optimal,
fixed_Q_S,Q_S,"80,40",80,40,no_warm_start,10,157.3349665919959,29,972513280,-29.001588832391704,Optimal,
fixed_Q_S,Q_S,"80,40",80,40,direct_milp,10,66.21275023100316,,1242443776,-29.001528115964344,Optimal,
fixed_Q_S,Q_S,"80,60",80,60,full,10,331.2993591649865,43,1110683648,-38.51861269005751,Optimal,
fixed_Q_S,Q_S,"80,60",80,60,no_warm_start,10,318.49788998198346,43,1110683648,-38.518612690057516,Optimal,
fixed_Q_S,Q_S,"80,60",80,60,direct_milp,10,101.81953430798603,,1649807360,-38.518537440567826,Optimal,
fixed_Q_S,Q_S,"80,80",80,80,full,10,471.79587196500506,54,1024913408,-25.75990745832244,Optimal,
fixed_Q_S,Q_S,"80,80",80,80,no_warm_start,10,491.0967175810074,54,1154584576,-25.759907458322434,Optimal,
fixed_Q_S,Q_S,"80,80",80,80,direct_milp,10,123.11596598100732,,2081968128,-25.75990745832247,Optimal,
fixed_Q_S,Q_S,"80,100",80,100,full,10,1406.4927957839973,120,1340313600,-75.9953812427848,Optimal,
fixed_Q_S,Q_S,"80,100",80,100,no_warm_start,10,1241.4856057369907,120,1410936832,-75.99584623953415,Optimal,
fixed_Q_S,Q_S,"80,100",80,100,direct_milp,10,164.66106839798158,,2533306368,-75.99538124278466,Optimal,
fixed_Q_S,Q_S,"100,20",100,20,full,10,122.81045083000208,31,643874816,-90.70475663441573,Optimal,
fixed_Q_S,Q_S,"100,20",100,20,no_warm_start,10,106.71579107097932,31,643874816,-90.70475663441573,Optimal,
fixed_Q_S,Q_S,"100,20",100,20,direct_milp,10,41.40870910999365,,873250816,-90.70475663441574,Optimal,
fixed_Q_S,Q_S,"100,40",100,40,full,10,245.46992418100126,34,1072898048,-26.006903060744243,Optimal,
fixed_Q_S,Q_S,"100,40",100,40,no_warm_start,10,224.82927089199075,34,1072898048,-26.006791460687218,Optimal,
fixed_Q_S,Q_S,"100,40",100,40,direct_milp,10,76.3317305270175,,1499373568,-26.006898732151715,Optimal,
fixed_Q_S,Q_S,"100,60",100,60,full,10,449.3687300439924,54,1170837504,-31.00938301345318,Optimal,
fixed_Q_S,Q_S,"100,60",100,60,no_warm_start,10,483.7128281929763,54,1170837504,-31.00938301345318,Optimal,
fixed_Q_S,Q_S,"100,60",100,60,direct_milp,10,120.12085906998254,,1936117760,-31.009383013453196,Optimal,
fixed_Q_S,Q_S,"100,80",100,80,full,10,1446.3716513040126,122,1343320064,-88.88105779948857,Optimal,
fixed_Q_S,Q_S,"100,80",100,80,no_warm_start,10,1276.6668930129963,122,1358163968,-88.8815217566733,Optimal,
fixed_Q_S,Q_S,"100,80",100,80,direct_milp,10,160.04000303300563,,2419339264,-88.88146488703003,Optimal,
fixed_Q_S,Q_S,"100,100",100,100,full,10,1169.9515805870178,87,1427582976,-34.02696883270381,Optimal,
fixed_Q_S,Q_S,"100,100",100,100,no_warm_start,10,1069.30880583002,87,1515986944,-34.02684155798439,Optimal,
fixed_Q_S,Q_S,"100,100",100,100,direct_milp,10,207.1761840680265,,3670470656,-34.02684155798436,Optimal,
