workflow,quality_level,logical_node,endpoint_id,provider,region,model_name
workflow2,Q1,Speech Transcription,speech_transcription_gcp_us-west1_q1,GCP,us-west1,
workflow2,Q1,Shot Detection,shot_detection_gcp_us-west1_q1,GCP,us-west1,
workflow2,Q1,Video Split & Sample,video_split_and_sample_gcp_us-west1_q1,GCP,us-west1,
workflow2,Q1,Video Caption,video_caption_gcp_us-west1_q1,GCP,us-west1,Claude Haiku 4.5
workflow2,Q1,OCR,ocr_gcp_us-west1_q1,GCP,us-west1,
workflow2,Q1,Label Detection,label_detection_gcp_us-west1_q1,GCP,us-west1,
workflow2,Q1,Database,database_gcp_us-west1_q1,GCP,us-west1,
workflow2,Q1,Q/A,q_a_gcp_us-west1_q1,GCP,us-west1,Claude Haiku 4.5
