Setting,SkyFlow Cost,SkyFlow SVR (%),MTGP-mod Cost,MTGP-mod SVR (%),Δ Cost (MTGP-SkyFlow),Δ SVR pp (MTGP-SkyFlow)
W1-Q1,1.6868636371831296,6.688,1.6868536266265322,7.718,-1.0010556597439546e-05,1.0300000000000002
W1-Q2,6.06417035382211,6.714,6.06417035382211,6.714,0.0,0.0
W1-Q3,,,17.291366163196308,8.508000000000001,,
W2-Q1,3.39651326978738,6.822,3.396519194218307,6.822,5.9244309267292294e-06,0.0
W2-Q2,8.394268987988642,6.734,8.394269558034434,6.734,5.700457919033397e-07,0.0
W2-Q3,20.83367473352273,7.092,20.8327362580659,7.164,-0.0009384754568309,0.0719999999999998
