setting,workflow,quality,modified_cost,modified_svr_percent,modified_mean_latency,modified_p95_latency,modified_status,old_cost,old_svr_percent,delta_cost_vs_old,delta_svr_pp_vs_old,skyflow_cost,skyflow_svr_percent,delta_cost_vs_skyflow,delta_svr_pp_vs_skyflow
W1-Q1,workflow1,Q1,1.6868536266265322,7.718,3732.3708626648067,6922.701954297392,optimal,1.6868669826266824,6.688,-1.3356000150288594e-05,1.0300000000000002,1.6868636371831296,6.688,-1.0010556597439546e-05,1.0300000000000002
W1-Q2,workflow1,Q2,6.06417035382211,6.714,4512.827894818881,8490.272492015703,optimal,6.06417035382211,6.714,0.0,0.0,6.06417035382211,6.714,0.0,0.0
W1-Q3,workflow1,Q3,17.291366163196308,8.508000000000001,5409.0345084704795,10464.582744524881,optimal,17.291366163196308,8.508000000000001,0.0,0.0,,,,
W2-Q1,workflow2,Q1,3.396519194218307,6.822,3720.941849806289,6959.177063683909,optimal,3.573522237726994,13.772,-0.17700304350868734,-6.950000000000001,3.39651326978738,6.822,5.9244309267292294e-06,0.0
W2-Q2,workflow2,Q2,8.394269558034434,6.734,4509.599573992894,8439.655445459513,optimal,8.39426954260847,6.732,1.5425964505766387e-08,0.0019999999999992246,8.394268987988642,6.734,5.700457919033397e-07,0.0
W2-Q3,workflow2,Q3,20.8327362580659,7.164,5505.356945620234,10497.738633974994,optimal,20.8327362580659,7.164,0.0,0.0,20.83367473352273,7.092,-0.0009384754568309006,0.07199999999999984
