run_id,index,repeat_index,audio_name,audio_path,audio_url,audio_size_bytes,audio_duration_sec,upload_sec,timestamp_utc,started_at_utc,finished_at_utc,execution_time_sec,client_wait_sec,submit_sec,poll_request_sec,poll_sleep_sec,request_time_ms,solve_time_ms,biz_duration_ms,success,task_id,request_id,status_text,status_code,sentence_count,error_code,error_message
20260529_074403_9a6e8da8,1,1,audio_1min.mp3,/Users/heng/Documents/skybridge/measurement/speech_audio_measurement/audio/audio_1min.mp3,https://ocr-measure-sh-88d28737.oss-cn-shanghai.aliyuncs.com/nls_filetrans_measure%2F20260529_074403_9a6e8da8%2Faudio_1min.mp3?x-oss-date=20260529T074404Z&x-oss-expires=3600&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=LTAI5t8fRppHPzcrJsf1goMR%2F20260529%2Fcn-shanghai%2Foss%2Faliyun_v4_request&x-oss-signature=712628b55d53dbae8d7f6f56da147b650e82f406f2c638f44ebe0cd4572df83d,780156,60.012000,0.281184,2026-05-29T07:44:08.417842+00:00,2026-05-29T07:44:08.417855+00:00,2026-05-29T07:44:14.901048+00:00,3.860000,6.483358,0.192751,0.281787,6.000000,1780040648560,1780040652420,60001,1,00d359ca0541428a8b3948aa61de5c81,22E01DAC-E0AF-5024-9F95-F501ABD4D12C,SUCCESS,21050000,5,,
20260529_074403_9a6e8da8,2,2,audio_1min.mp3,/Users/heng/Documents/skybridge/measurement/speech_audio_measurement/audio/audio_1min.mp3,https://ocr-measure-sh-88d28737.oss-cn-shanghai.aliyuncs.com/nls_filetrans_measure%2F20260529_074403_9a6e8da8%2Faudio_1min.mp3?x-oss-date=20260529T074404Z&x-oss-expires=3600&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=LTAI5t8fRppHPzcrJsf1goMR%2F20260529%2Fcn-shanghai%2Foss%2Faliyun_v4_request&x-oss-signature=712628b55d53dbae8d7f6f56da147b650e82f406f2c638f44ebe0cd4572df83d,780156,60.012000,0.281184,2026-05-29T07:44:15.406527+00:00,2026-05-29T07:44:15.406555+00:00,2026-05-29T07:44:21.718408+00:00,4.614000,6.312014,0.100673,0.204307,6.000000,1780040655541,1780040660155,60001,1,03ad95bf7f40414993bcb7afb51bb84c,6479AF8B-2E04-5D0C-90BC-1033D2C57C99,SUCCESS,21050000,5,,
20260529_074403_9a6e8da8,3,3,audio_1min.mp3,/Users/heng/Documents/skybridge/measurement/speech_audio_measurement/audio/audio_1min.mp3,https://ocr-measure-sh-88d28737.oss-cn-shanghai.aliyuncs.com/nls_filetrans_measure%2F20260529_074403_9a6e8da8%2Faudio_1min.mp3?x-oss-date=20260529T074404Z&x-oss-expires=3600&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=LTAI5t8fRppHPzcrJsf1goMR%2F20260529%2Fcn-shanghai%2Foss%2Faliyun_v4_request&x-oss-signature=712628b55d53dbae8d7f6f56da147b650e82f406f2c638f44ebe0cd4572df83d,780156,60.012000,0.281184,2026-05-29T07:44:22.221019+00:00,2026-05-29T07:44:22.221039+00:00,2026-05-29T07:44:28.533932+00:00,4.145000,6.313053,0.097063,0.212537,6.000000,1780040662356,1780040666501,60001,1,512ccd949a9e40d1b048e189897883ea,3D180C35-7A93-5478-ABE3-9FC935316083,SUCCESS,21050000,5,,
20260529_074403_9a6e8da8,4,1,audio_2min.mp3,/Users/heng/Documents/skybridge/measurement/speech_audio_measurement/audio/audio_2min.mp3,https://ocr-measure-sh-88d28737.oss-cn-shanghai.aliyuncs.com/nls_filetrans_measure%2F20260529_074403_9a6e8da8%2Faudio_2min.mp3?x-oss-date=20260529T074404Z&x-oss-expires=3600&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=LTAI5t8fRppHPzcrJsf1goMR%2F20260529%2Fcn-shanghai%2Foss%2Faliyun_v4_request&x-oss-signature=cdd26ad1bec181e4223959cee0040533f135c46bd5aa6da94b0d0adca52fb774,1552044,120.012000,0.204428,2026-05-29T07:44:29.040474+00:00,2026-05-29T07:44:29.040495+00:00,2026-05-29T07:44:35.390161+00:00,4.649000,6.349824,0.084512,0.255283,6.000000,1780040669162,1780040673811,120001,1,977271f4c8e04703820cf702d2bc57e3,A03F68FF-80E7-5964-8E5C-E84495E8FD9E,SUCCESS,21050000,13,,
20260529_074403_9a6e8da8,5,2,audio_2min.mp3,/Users/heng/Documents/skybridge/measurement/speech_audio_measurement/audio/audio_2min.mp3,https://ocr-measure-sh-88d28737.oss-cn-shanghai.aliyuncs.com/nls_filetrans_measure%2F20260529_074403_9a6e8da8%2Faudio_2min.mp3?x-oss-date=20260529T074404Z&x-oss-expires=3600&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=LTAI5t8fRppHPzcrJsf1goMR%2F20260529%2Fcn-shanghai%2Foss%2Faliyun_v4_request&x-oss-signature=cdd26ad1bec181e4223959cee0040533f135c46bd5aa6da94b0d0adca52fb774,1552044,120.012000,0.204428,2026-05-29T07:44:35.895669+00:00,2026-05-29T07:44:35.895707+00:00,2026-05-29T07:44:42.207216+00:00,4.729000,6.311668,0.087425,0.221741,6.000000,1780040676021,1780040680750,120001,1,7d968fbab6264ec5ab17cb7b513da809,368674A2-11F3-5E32-9D1D-9112EDF85522,SUCCESS,21050000,13,,
20260529_074403_9a6e8da8,6,3,audio_2min.mp3,/Users/heng/Documents/skybridge/measurement/speech_audio_measurement/audio/audio_2min.mp3,https://ocr-measure-sh-88d28737.oss-cn-shanghai.aliyuncs.com/nls_filetrans_measure%2F20260529_074403_9a6e8da8%2Faudio_2min.mp3?x-oss-date=20260529T074404Z&x-oss-expires=3600&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=LTAI5t8fRppHPzcrJsf1goMR%2F20260529%2Fcn-shanghai%2Foss%2Faliyun_v4_request&x-oss-signature=cdd26ad1bec181e4223959cee0040533f135c46bd5aa6da94b0d0adca52fb774,1552044,120.012000,0.204428,2026-05-29T07:44:42.712567+00:00,2026-05-29T07:44:42.712576+00:00,2026-05-29T07:44:52.129106+00:00,6.226000,9.416770,0.069557,0.335940,9.000000,1780040682819,1780040689045,120001,1,323d84e6399b40458ee22f0a48a0e533,4F42E19E-5955-545B-94FB-F01435DC995E,SUCCESS,21050000,13,,
20260529_074403_9a6e8da8,7,1,audio_3min.mp3,/Users/heng/Documents/skybridge/measurement/speech_audio_measurement/audio/audio_3min.mp3,https://ocr-measure-sh-88d28737.oss-cn-shanghai.aliyuncs.com/nls_filetrans_measure%2F20260529_074403_9a6e8da8%2Faudio_3min.mp3?x-oss-date=20260529T074404Z&x-oss-expires=3600&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=LTAI5t8fRppHPzcrJsf1goMR%2F20260529%2Fcn-shanghai%2Foss%2Faliyun_v4_request&x-oss-signature=8b70d1b4c84546a09f5468d98ea0adf4da53257106de44923bdf3699c22b5f0b,2330220,180.012000,0.228662,2026-05-29T07:44:52.635153+00:00,2026-05-29T07:44:52.635170+00:00,2026-05-29T07:45:05.042382+00:00,11.700000,12.407532,0.069328,0.329811,12.000000,1780040692748,1780040704448,180001,1,abdfffdad34d470fb122f0a428a23cb5,46AD788C-BFDB-53A4-AF63-49B868BAD92D,SUCCESS,21050000,20,,
20260529_074403_9a6e8da8,8,2,audio_3min.mp3,/Users/heng/Documents/skybridge/measurement/speech_audio_measurement/audio/audio_3min.mp3,https://ocr-measure-sh-88d28737.oss-cn-shanghai.aliyuncs.com/nls_filetrans_measure%2F20260529_074403_9a6e8da8%2Faudio_3min.mp3?x-oss-date=20260529T074404Z&x-oss-expires=3600&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=LTAI5t8fRppHPzcrJsf1goMR%2F20260529%2Fcn-shanghai%2Foss%2Faliyun_v4_request&x-oss-signature=8b70d1b4c84546a09f5468d98ea0adf4da53257106de44923bdf3699c22b5f0b,2330220,180.012000,0.228662,2026-05-29T07:45:05.548619+00:00,2026-05-29T07:45:05.548640+00:00,2026-05-29T07:45:24.190760+00:00,16.104000,18.642601,0.094550,0.521039,18.000000,1780040705682,1780040721786,180001,1,295591d559da42cf9fb240c98c6f97f6,E184C1BF-6BB6-5141-BCFF-3BA285808977,SUCCESS,21050000,20,,
20260529_074403_9a6e8da8,9,3,audio_3min.mp3,/Users/heng/Documents/skybridge/measurement/speech_audio_measurement/audio/audio_3min.mp3,https://ocr-measure-sh-88d28737.oss-cn-shanghai.aliyuncs.com/nls_filetrans_measure%2F20260529_074403_9a6e8da8%2Faudio_3min.mp3?x-oss-date=20260529T074404Z&x-oss-expires=3600&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=LTAI5t8fRppHPzcrJsf1goMR%2F20260529%2Fcn-shanghai%2Foss%2Faliyun_v4_request&x-oss-signature=8b70d1b4c84546a09f5468d98ea0adf4da53257106de44923bdf3699c22b5f0b,2330220,180.012000,0.228662,2026-05-29T07:45:24.695221+00:00,2026-05-29T07:45:24.695228+00:00,2026-05-29T07:45:40.161074+00:00,14.229000,15.466247,0.071523,0.379950,15.000000,1780040724805,1780040739034,180001,1,5c7d065cbaf5415dba6842ae3eb29614,60D59092-374F-5FA5-B25F-8B3C7A143149,SUCCESS,21050000,20,,
20260529_074403_9a6e8da8,10,1,audio_4min.mp3,/Users/heng/Documents/skybridge/measurement/speech_audio_measurement/audio/audio_4min.mp3,https://ocr-measure-sh-88d28737.oss-cn-shanghai.aliyuncs.com/nls_filetrans_measure%2F20260529_074403_9a6e8da8%2Faudio_4min.mp3?x-oss-date=20260529T074405Z&x-oss-expires=3600&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=LTAI5t8fRppHPzcrJsf1goMR%2F20260529%2Fcn-shanghai%2Foss%2Faliyun_v4_request&x-oss-signature=8aaaa22352bca95531616ab1e969780d81d9fbaaad15ef47f7903e38a621b952,3092436,240.012000,0.421093,2026-05-29T07:45:40.667176+00:00,2026-05-29T07:45:40.667210+00:00,2026-05-29T07:45:53.187497+00:00,10.587000,12.520606,0.099752,0.409393,12.000000,1780040740787,1780040751374,240001,1,b2d32cd7e6de4bb986c687402816fa34,6F30F25E-42E2-55F4-A8A2-6BBAEAA04253,SUCCESS,21050000,27,,
