node_id,provider,region,direction,size_mib,sample_count,success_count,failure_count,failure_rate,elapsed_sec_mean,elapsed_sec_std,elapsed_sec_p50,elapsed_sec_p90,elapsed_sec_p95,elapsed_sec_min,elapsed_sec_max,throughput_mib_per_sec_mean,throughput_mib_per_sec_p10,throughput_mib_per_sec_p50
aliyun_ap_southeast_1,aliyun,ap-southeast-1,download,5,1,1,0,0.0,2.823250300018117,nan,2.823250300018117,2.823250300018117,2.823250300018117,2.823250300018117,2.823250300018117,1.7710084011920286,1.7710084011920286,1.7710084011920286
aliyun_ap_southeast_1,aliyun,ap-southeast-1,upload,5,1,1,0,0.0,2.8312426999909803,nan,2.8312426999909803,2.8312426999909803,2.8312426999909803,2.8312426999909803,2.8312426999909803,1.766008968434931,1.766008968434931,1.766008968434931
aliyun_cn_beijing,aliyun,cn-beijing,download,5,1,1,0,0.0,1.2742470999946818,nan,1.2742470999946818,1.2742470999946818,1.2742470999946818,1.2742470999946818,1.2742470999946818,3.9238857204547437,3.9238857204547437,3.9238857204547437
aliyun_cn_beijing,aliyun,cn-beijing,upload,5,1,1,0,0.0,2.803207900025882,nan,2.803207900025882,2.803207900025882,2.803207900025882,2.803207900025882,2.803207900025882,1.783670772315473,1.783670772315473,1.783670772315473
aliyun_cn_shanghai,aliyun,cn-shanghai,download,5,1,1,0,0.0,0.2871671000029892,nan,0.2871671000029892,0.2871671000029892,0.2871671000029892,0.2871671000029892,0.2871671000029892,17.411465310434078,17.411465310434078,17.411465310434078
aliyun_cn_shanghai,aliyun,cn-shanghai,upload,5,1,1,0,0.0,0.3732708999887109,nan,0.3732708999887109,0.3732708999887109,0.3732708999887109,0.3732708999887109,0.3732708999887109,13.395097234076427,13.395097234076427,13.395097234076427
aliyun_us_east_1,aliyun,us-east-1,download,5,1,1,0,0.0,3.498650599969551,nan,3.498650599969551,3.498650599969551,3.498650599969551,3.498650599969551,3.498650599969551,1.429122416523535,1.429122416523535,1.429122416523535
aliyun_us_east_1,aliyun,us-east-1,upload,5,1,1,0,0.0,3.1052740000304766,nan,3.1052740000304766,3.1052740000304766,3.1052740000304766,3.1052740000304766,3.1052740000304766,1.6101638695815337,1.6101638695815337,1.6101638695815337
aws_ap_southeast_1,aws,ap-southeast-1,download,5,1,1,0,0.0,16.50360900000669,nan,16.50360900000669,16.50360900000669,16.50360900000669,16.50360900000669,16.50360900000669,0.3029640365327349,0.3029640365327349,0.3029640365327349
aws_ap_southeast_1,aws,ap-southeast-1,upload,5,1,1,0,0.0,9.756078999955207,nan,9.756078999955207,9.756078999955207,9.756078999955207,9.756078999955207,9.756078999955207,0.512500975035458,0.512500975035458,0.512500975035458
aws_eu_central_1,aws,eu-central-1,download,5,1,1,0,0.0,16.112475199974142,nan,16.112475199974142,16.112475199974142,16.112475199974142,16.112475199974142,16.112475199974142,0.310318553663811,0.310318553663811,0.310318553663811
aws_eu_central_1,aws,eu-central-1,upload,5,1,1,0,0.0,10.074378699995577,nan,10.074378699995577,10.074378699995577,10.074378699995577,10.074378699995577,10.074378699995577,0.4963085217356575,0.4963085217356575,0.4963085217356575
aws_us_east_2,aws,us-east-2,download,5,1,1,0,0.0,13.375082999991719,nan,13.375082999991719,13.375082999991719,13.375082999991719,13.375082999991719,13.375082999991719,0.37382945586229976,0.37382945586229976,0.37382945586229976
aws_us_east_2,aws,us-east-2,upload,5,1,1,0,0.0,9.490001300000586,nan,9.490001300000586,9.490001300000586,9.490001300000586,9.490001300000586,9.490001300000586,0.5268703177100399,0.5268703177100399,0.5268703177100399
aws_us_west_2,aws,us-west-2,download,5,1,1,0,0.0,15.23102409997955,nan,15.23102409997955,15.23102409997955,15.23102409997955,15.23102409997955,15.23102409997955,0.32827733494340106,0.32827733494340106,0.32827733494340106
aws_us_west_2,aws,us-west-2,upload,5,1,1,0,0.0,9.511607900029048,nan,9.511607900029048,9.511607900029048,9.511607900029048,9.511607900029048,9.511607900029048,0.5256734773502102,0.5256734773502102,0.5256734773502102
gcp_asia_east1,gcp,asia-east1,download,5,1,1,0,0.0,19.90091109997593,nan,19.90091109997593,19.90091109997593,19.90091109997593,19.90091109997593,19.90091109997593,0.25124477843660376,0.25124477843660376,0.25124477843660376
gcp_asia_east1,gcp,asia-east1,upload,5,1,1,0,0.0,11.1039653000189,nan,11.1039653000189,11.1039653000189,11.1039653000189,11.1039653000189,11.1039653000189,0.4502895915922477,0.4502895915922477,0.4502895915922477
gcp_europe_west1,gcp,europe-west1,download,5,1,1,0,0.0,10.24385450000409,nan,10.24385450000409,10.24385450000409,10.24385450000409,10.24385450000409,10.24385450000409,0.48809752227523373,0.48809752227523373,0.48809752227523373
gcp_europe_west1,gcp,europe-west1,upload,5,1,1,0,0.0,11.55647199996747,nan,11.55647199996747,11.55647199996747,11.55647199996747,11.55647199996747,11.55647199996747,0.4326579945864165,0.4326579945864165,0.4326579945864165
gcp_us_east1,gcp,us-east1,download,5,1,1,0,0.0,9.196539800032042,nan,9.196539800032042,9.196539800032042,9.196539800032042,9.196539800032042,9.196539800032042,0.5436827446756202,0.5436827446756202,0.5436827446756202
